Num Rows;GEMV double;GEMV float;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
512;1.3311999849975109e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.1264000087976456e-02;1.1264000087976456e-02
1024;2.2528000175952911e-02;1.7408000305294991e-02;2.1503999829292297e-02;1.8432000651955605e-02;2.0479999482631683e-02;1.3311999849975109e-02
1536;3.2767999917268753e-02;2.5599999353289604e-02;3.3792000263929367e-02;2.5599999353289604e-02;3.2767999917268753e-02;2.2528000175952911e-02
2048;4.9152001738548279e-02;2.8672000393271446e-02;4.8128001391887665e-02;2.9696000739932060e-02;4.8128001391887665e-02;2.9696000739932060e-02
2560;6.9632001221179962e-02;3.9935998618602753e-02;6.9632001221179962e-02;4.0959998965263367e-02;7.1680001914501190e-02;4.0959998965263367e-02
3072;9.5232002437114716e-02;5.3247999399900436e-02;9.5232002437114716e-02;5.5296000093221664e-02;9.6256002783775330e-02;5.4271999746561050e-02
3584;1.2595200538635254e-01;7.2704002261161804e-02;1.2697599828243256e-01;7.3728002607822418e-02;1.3209599256515503e-01;7.2704002261161804e-02
4096;1.6281600296497345e-01;8.6015999317169189e-02;1.6179199516773224e-01;9.0112000703811646e-02;1.6179199516773224e-01;8.7039999663829803e-02
4608;2.0275199413299561e-01;1.0649599879980087e-01;2.0275199413299561e-01;1.0854399949312210e-01;2.0479999482631683e-01;1.1161600053310394e-01
5120;2.4780799448490143e-01;1.3312000036239624e-01;2.4678400158882141e-01;1.3209599256515503e-01;2.4780799448490143e-01;1.3107199966907501e-01
5632;2.9695999622344971e-01;1.5564799308776855e-01;2.9695999622344971e-01;1.5564799308776855e-01;3.0310401320457458e-01;1.6588799655437469e-01
6144;3.5020801424980164e-01;1.8124799430370331e-01;3.5020801424980164e-01;1.8022400140762329e-01;4.1471999883651733e-01;1.8739199638366699e-01
6656;4.0857601165771484e-01;2.0889599621295929e-01;4.0857601165771484e-01;2.0992000401020050e-01;4.5568001270294189e-01;2.4678400158882141e-01
7168;4.7104001045227051e-01;2.4371199309825897e-01;4.7001600265502930e-01;2.4473600089550018e-01;5.0790399312973022e-01;2.7545601129531860e-01
7680;5.3862398862838745e-01;2.7443200349807739e-01;5.3862398862838745e-01;2.7545601129531860e-01;5.5193597078323364e-01;3.0924800038337708e-01
8192;6.1235201358795166e-01;3.1231999397277832e-01;6.1132800579071045e-01;3.1129598617553711e-01;6.1849600076675415e-01;3.2972800731658936e-01
8704;6.8915200233459473e-01;3.5020801424980164e-01;6.8915200233459473e-01;3.5020801424980164e-01;7.0143997669219971e-01;3.6966401338577271e-01
9216;7.7107197046279907e-01;3.9014399051666260e-01;7.7004802227020264e-01;3.9219200611114502e-01;7.8233599662780762e-01;4.1471999883651733e-01
9728;8.5606402158737183e-01;4.3315199017524719e-01;8.5504001379013062e-01;4.3417599797248840e-01;8.7244802713394165e-01;4.5465600490570068e-01
10240;9.4617599248886108e-01;4.8025599122047424e-01;9.4617599248886108e-01;4.7923201322555542e-01;9.5334398746490479e-01;4.9561598896980286e-01
10752;1.0434559583663940e+00;5.2838397026062012e-01;1.0424319505691528e+00;5.2838397026062012e-01;1.0536960363388062e+00;5.4988801479339600e-01
11264;1.1448320150375366e+00;5.7855999469757080e-01;1.1448320150375366e+00;5.7855999469757080e-01;1.1560959815979004e+00;6.3078397512435913e-01
11776;1.2492799758911133e+00;6.2976002693176270e-01;1.2492799758911133e+00;6.3078397512435913e-01;1.3496320247650146e+00;6.4921599626541138e-01
12288;1.3578239679336548e+00;6.8607997894287109e-01;1.3578239679336548e+00;6.8607997894287109e-01;1.4356479644775391e+00;7.0451200008392334e-01
12800;1.4725120067596436e+00;7.4444800615310669e-01;1.4725120067596436e+00;7.4342399835586548e-01;1.5196160078048706e+00;7.7619200944900513e-01
13312;1.5964159965515137e+00;8.0486398935317993e-01;1.5953919887542725e+00;8.0383998155593872e-01;1.6363519430160522e+00;8.7551999092102051e-01
13824;1.7151999473571777e+00;8.6527997255325317e-01;1.7151999473571777e+00;8.6527997255325317e-01;1.7336319684982300e+00;9.2672002315521240e-01
14336;1.8442239761352539e+00;9.3081599473953247e-01;1.8442239761352539e+00;9.2876797914505005e-01;1.8728959560394287e+00;9.8201602697372437e-01
14848;1.9793920516967773e+00;9.9839997291564941e-01;1.9783680438995361e+00;9.9635201692581177e-01;2.0039680004119873e+00;1.0496000051498413e+00
15360;2.1155838966369629e+00;1.0670080184936523e+00;2.1155838966369629e+00;1.0659840106964111e+00;2.1350400447845459e+00;1.1028480529785156e+00
15872;2.2609920501708984e+00;1.1458560228347778e+00;2.2609920501708984e+00;1.1468800306320190e+00;2.2958080768585205e+00;1.1796480417251587e+00
16384;2.4094719886779785e+00;1.2134399414062500e+00;2.4084479808807373e+00;1.2093440294265747e+00;2.4258561134338379e+00;1.2369920015335083e+00
16896;2.5610239505767822e+00;1.2922879457473755e+00;2.5599999427795410e+00;1.2912640571594238e+00;2.6040320396423340e+00;1.3373440504074097e+00
17408;2.7156479358673096e+00;1.3639680147171021e+00;2.7146239280700684e+00;1.3629440069198608e+00;2.8405759334564209e+00;1.4008320569992065e+00
17920;2.8784639835357666e+00;1.4489599466323853e+00;2.8774399757385254e+00;1.4499839544296265e+00;2.9972479343414307e+00;1.4868479967117310e+00
18432;3.0423040390014648e+00;1.5288319587707520e+00;3.0433280467987061e+00;1.5267839431762695e+00;3.1150081157684326e+00;1.5779839754104614e+00
18944;3.2337920665740967e+00;1.6660480499267578e+00;3.2337920665740967e+00;1.6844799518585205e+00;3.3177599906921387e+00;1.6926720142364502e+00
19456;3.3914880752563477e+00;1.7039359807968140e+00;3.3914880752563477e+00;1.7049599885940552e+00;3.4457600116729736e+00;1.8165760040283203e+00
19968;3.5696640014648438e+00;1.7889280319213867e+00;3.5706880092620850e+00;1.7889280319213867e+00;3.6096000671386719e+00;1.8718719482421875e+00
20480;3.7560319900512695e+00;1.8821120262145996e+00;3.7570559978485107e+00;1.8810880184173584e+00;3.7908480167388916e+00;1.9496959447860718e+00
20992;3.9454720020294189e+00;1.9763200283050537e+00;3.9464960098266602e+00;1.9783680438995361e+00;3.9895040988922119e+00;2.0531198978424072e+00
21504;4.1666560173034668e+00;2.0736000537872314e+00;4.1656317710876465e+00;2.0766720771789551e+00;4.2014718055725098e+00;2.1503999233245850e+00
22016;4.3786239624023438e+00;2.1760001182556152e+00;4.3806719779968262e+00;2.1780478954315186e+00;4.4247040748596191e+00;2.2292480468750000e+00
22528;4.5649919509887695e+00;2.2886400222778320e+00;4.5660161972045898e+00;2.2937600612640381e+00;4.6868481636047363e+00;2.3582720756530762e+00
23040;4.7534079551696777e+00;2.3797760009765625e+00;4.7534079551696777e+00;2.3818240165710449e+00;4.8394241333007812e+00;2.4473600387573242e+00
23552;4.9653759002685547e+00;2.4842240810394287e+00;4.9664001464843750e+00;2.4852480888366699e+00;5.1097598075866699e+00;2.5589759349822998e+00
24064;5.1875839233398438e+00;2.5978879928588867e+00;5.1855359077453613e+00;2.5978879928588867e+00;5.3073921203613281e+00;2.6828799247741699e+00
24576;5.4056959152221680e+00;2.7074561119079590e+00;5.4036478996276855e+00;2.7084798812866211e+00;5.4784002304077148e+00;2.7883520126342773e+00
