Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
524288;0.0000000000000000e+00;2.4796211971850312e-07;2.4442413652240317e-16;4.7053409255565501e-11;5.3328911974374849e-16;3.4267402054594643e-08
4747489;0.0000000000000000e+00;5.6349915152386846e-07;3.3340109760973573e-16;1.9960527964003420e-12;1.3532164382674056e-15;3.3838315231631409e-08
8970690;0.0000000000000000e+00;5.5970677113825707e-07;1.8681966717121171e-16;1.4880539050701437e-11;9.5485608438615954e-16;4.6722125212333958e-08
13193891;0.0000000000000000e+00;6.8414142172501695e-07;2.8239206182544836e-16;2.3515958893219139e-11;1.2001662828803621e-15;3.0927516114533779e-08
17417092;0.0000000000000000e+00;7.9899649030775901e-07;2.7803496891951777e-16;1.2116207711607613e-11;8.5549221020306613e-16;4.7912220074376411e-08
21640293;0.0000000000000000e+00;5.1201691040438736e-07;3.4423051544735417e-16;1.1524682514347627e-11;1.3597105110143811e-15;4.1206036525763823e-08
25863494;0.0000000000000000e+00;6.8730495886122833e-07;1.8723778034362484e-16;6.5612726472896715e-12;1.3970818843683057e-15;2.8005527197699886e-08
30086695;0.0000000000000000e+00;3.9936075632703480e-07;1.7336024132839609e-16;4.6870665206837976e-12;7.6773820684662078e-16;4.1591475286467377e-08
34309896;0.0000000000000000e+00;3.9696503460103332e-07;2.6060914517430273e-16;6.6849938508771430e-12;1.0424365820301444e-15;3.7972225971180535e-08
38533097;0.0000000000000000e+00;4.4180888355011379e-07;2.1271203051043885e-16;1.3956616730607281e-12;1.7016962687691682e-15;4.5519891564229744e-08
42756298;0.0000000000000000e+00;9.0653962648719872e-07;2.9627531169577219e-16;1.9683660362306132e-12;1.4290926847456208e-15;4.7593020798211240e-08
46979499;0.0000000000000000e+00;7.5844621615460316e-07;2.6965172724787501e-16;1.1481611962559924e-12;7.7723144787728461e-16;4.1143709783129279e-08
51202700;0.0000000000000000e+00;4.0327615358197507e-07;2.3284982281004399e-16;2.2431151075973420e-12;8.0042126550518679e-16;4.0914985049854087e-08
55425901;0.0000000000000000e+00;4.8550561751897401e-07;1.4787338245665020e-16;1.9938305514770195e-12;1.0619997321143077e-15;3.3963952166291398e-08
59649102;0.0000000000000000e+00;5.9832391857760489e-07;1.8737111161675825e-16;1.8790074743535788e-12;6.9951881831422632e-16;3.4625739425476999e-08
63872303;0.0000000000000000e+00;6.1749363117512109e-07;2.6830828057267346e-16;3.0073508751434890e-12;7.9325926322101180e-16;2.7415877089165940e-08
68095504;0.0000000000000000e+00;3.6588846242915087e-07;2.6260486111926798e-16;1.4280671135459858e-12;9.6288448492907387e-16;1.9588154017317260e-08
72318705;0.0000000000000000e+00;5.8489154826915726e-07;2.4726014958366916e-16;3.3011084340623510e-12;1.5041659067534543e-15;3.2813231432261932e-08
76541906;0.0000000000000000e+00;7.0411531948601231e-07;2.7255673207673573e-16;3.5714276710113615e-12;9.7341690060525088e-16;5.1470163066621080e-08
80765107;0.0000000000000000e+00;6.6603699652808757e-07;2.0295868044518178e-16;1.9841609643437937e-12;1.1439489317597789e-15;2.3795202069105617e-08
84988308;0.0000000000000000e+00;4.8783948155307469e-07;3.5067319669534773e-16;3.1490102344984082e-12;1.0870869058943934e-15;4.1000642259064533e-08
89211509;0.0000000000000000e+00;7.7581052127590721e-07;1.8374048318110528e-16;2.4307863810698561e-12;9.6881345969581171e-16;3.8832350481375970e-08
93434710;0.0000000000000000e+00;7.1432771522286447e-07;2.2328473276271591e-16;1.2523721703870232e-12;8.1339438583918687e-16;4.5021282581670654e-08
97657911;0.0000000000000000e+00;5.9150472009302586e-07;2.4414951654840993e-16;1.4211943398448296e-12;1.0681541412630853e-15;4.5597352762112191e-08
101881112;0.0000000000000000e+00;5.5436037766540451e-07;3.8029788524452230e-16;1.7608523371247973e-12;6.7283471814401231e-16;5.2126442383975151e-08
106104313;0.0000000000000000e+00;6.8763650137416404e-07;2.2470945711985020e-16;2.3772294366683463e-12;8.1457178587600274e-16;4.1812913361966481e-08
110327514;0.0000000000000000e+00;5.4617226596746847e-07;1.7559009376583401e-16;1.9956894679467182e-12;9.4548512072340162e-16;1.9846529077419332e-08
114550715;0.0000000000000000e+00;6.5607040907275015e-07;2.4716864236588633e-16;2.4069802730422102e-12;1.0927455758149401e-15;2.4782091204889093e-08
118773916;0.0000000000000000e+00;5.6373051283433596e-07;1.5055759422846917e-16;2.6909535236836507e-12;1.5432153417591625e-15;2.3836039159835976e-08
122997117;0.0000000000000000e+00;6.4826371990532766e-07;1.8173521875363773e-16;2.6412185139724056e-12;7.9963496307367299e-16;3.7099745595792886e-08
127220318;0.0000000000000000e+00;6.2456152457025085e-07;2.3427353334649751e-16;2.4837562659099000e-12;5.6225647189163583e-16;1.5026930653869159e-08
131443519;0.0000000000000000e+00;4.1652384955527167e-07;2.2674737707896543e-16;2.5036651751211428e-12;8.1629055944845853e-16;1.9592545257998443e-08
135666720;0.0000000000000000e+00;3.6122699442808189e-07;3.0755833597045892e-16;1.3036079807505039e-12;1.0544857249880899e-15;4.3477979178355946e-08
139889921;0.0000000000000000e+00;5.8267236079365521e-07;3.1957815411935128e-16;1.3059667753706370e-12;1.5552803435357860e-15;4.7330255903365296e-08
144113122;0.0000000000000000e+00;6.6380831006476337e-07;1.4476621641144652e-16;1.0291430294047088e-12;9.9268262135136223e-16;6.4173355442140682e-08
148336323;0.0000000000000000e+00;6.9641853942994273e-07;2.4110398063344893e-16;1.2429713865450734e-12;1.8082798525727640e-15;2.4766560195994965e-08
152559524;0.0000000000000000e+00;4.4568268973442020e-07;1.5628863117963331e-16;7.4399249375158274e-13;1.6801027890885037e-15;2.4754198968371692e-08
156782725;0.0000000000000000e+00;4.4523110294278547e-07;1.7109063128837640e-16;1.1418018421322614e-12;1.0835740009505226e-15;4.6730665951866462e-08
161005926;0.0000000000000000e+00;7.0542599773507258e-07;4.4426362585523831e-16;1.2199664247655313e-12;1.5549226873444602e-15;4.4290554891856891e-08
165229127;0.0000000000000000e+00;7.2423126222950908e-07;1.8038103764460932e-16;9.8462792766309832e-13;6.3133362984078379e-16;5.0967502062611276e-08
169452328;0.0000000000000000e+00;6.3564523446770372e-07;4.2213241586926538e-16;3.5826729895695115e-13;9.1462023361265973e-16;4.2575955184215775e-08
173675529;0.0000000000000000e+00;7.1112594894400018e-07;2.5741730217799688e-16;1.4724269675194722e-13;1.2527642010807618e-15;1.0741133601341098e-08
177898730;0.0000000000000000e+00;5.5710835392459496e-07;1.1727422520912812e-16;5.5554475754412507e-13;8.7117995753385159e-16;4.4844251580393982e-08
182121931;0.0000000000000000e+00;4.7428494092592470e-07;2.7820808800876242e-16;3.5178594560548192e-13;1.0146412645972475e-15;6.3047981873947347e-08
186345132;0.0000000000000000e+00;7.3252483566919379e-07;2.2392207704501315e-16;7.2632324564146897e-13;1.0556326476133927e-15;5.0812792732423480e-08
190568333;0.0000000000000000e+00;6.9127271471563322e-07;1.5640133922915852e-16;9.4930921018381560e-13;1.1886501804563877e-15;2.5031389359871459e-08
194791534;0.0000000000000000e+00;5.4568506904242128e-07;1.6831200270917485e-16;5.4025092675826839e-13;8.7216219342568662e-16;5.1366196777646226e-08
199014735;0.0000000000000000e+00;4.9340298815764326e-07;2.8455877290677613e-16;6.2966865683631668e-13;6.8893176684636150e-16;6.5955423251165012e-08
203237936;0.0000000000000000e+00;5.8974859318210978e-07;2.3464993029508534e-16;8.5522567002251368e-13;1.3052402407057543e-15;5.1418432684419545e-08
207461137;0.0000000000000000e+00;7.5558060508653359e-07;2.1550294024209797e-16;9.0278491632318328e-13;1.5659880288279820e-15;4.0548278547584390e-08
211684338;0.0000000000000000e+00;5.8729790245250404e-07;2.1119983722894940e-16;1.2828700503144494e-12;1.1967990770838122e-15;1.9860721835718253e-08
215907539;0.0000000000000000e+00;8.0079519881263216e-07;1.6565542630359087e-16;1.0837454077250107e-12;1.2148064589226501e-15;4.0474656383568209e-08
220130740;0.0000000000000000e+00;4.4648412283351947e-07;2.0309437889627509e-16;1.8411317791829805e-12;8.2591713935661623e-16;1.9598028637061914e-08
224353941;0.0000000000000000e+00;6.4957027292985259e-07;1.7270034304344888e-16;1.8890627760735254e-12;9.4320956865409352e-16;3.1407212986729220e-08
228577142;0.0000000000000000e+00;5.9629549795111285e-07;2.8686071246972772e-16;1.2650035850565295e-12;8.7362126156607601e-16;4.5180635411212624e-08
232800343;0.0000000000000000e+00;7.2851919999127003e-07;1.7923575175396133e-16;1.2986910460188522e-12;1.3442681377977851e-15;4.7667825160015020e-08
237023544;0.0000000000000000e+00;3.9783897900200596e-07;1.7604462669249942e-16;6.9727504223537161e-13;1.3077600841761967e-15;3.2712915229000101e-08
241246745;0.0000000000000000e+00;6.3286165925193952e-07;1.9767024399260214e-16;9.7650336187716375e-13;7.9068097946249915e-16;2.9939431415475328e-08
245469946;0.0000000000000000e+00;5.3454072837655428e-07;2.6712110638871546e-16;1.2325453570635582e-12;8.1350519151526499e-16;2.7177622171115252e-08
249693147;0.0000000000000000e+00;6.8638953749990938e-07;2.1485828681997781e-16;1.6550295101732667e-12;1.0265451463317522e-15;1.1697661828012167e-08
253916348;0.0000000000000000e+00;4.5471281203069447e-07;1.4085809218025129e-16;1.7035964581104268e-12;1.0329593438213736e-15;2.8377343061409922e-08
258139549;0.0000000000000000e+00;6.2318113129155178e-07;2.1937717290755384e-16;2.0244702874970232e-12;7.0431619067120760e-16;3.8430972801927754e-08
