Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
512;0.0000000000000000e+00;9.1947162564102424e-08;0.0000000000000000e+00;3.9307822485301472e-08;2.4912302224104245e-16;1.1359160016313809e-07
1024;0.0000000000000000e+00;9.1355823555419297e-08;0.0000000000000000e+00;3.9569713060946450e-08;2.3927375857204861e-16;1.1517184814239978e-07
1536;0.0000000000000000e+00;9.5322050287205428e-08;0.0000000000000000e+00;3.9394849372677647e-08;2.5885363516350556e-16;1.2149659037364216e-07
2048;0.0000000000000000e+00;9.7493452694607499e-08;0.0000000000000000e+00;3.8714810000123685e-08;2.6802822622502808e-16;1.2237837806940734e-07
2560;0.0000000000000000e+00;1.0175356256106797e-07;0.0000000000000000e+00;4.0100825050134454e-08;2.7471989649066048e-16;1.2555648100549853e-07
3072;0.0000000000000000e+00;1.0502366523122273e-07;0.0000000000000000e+00;4.0069385074732228e-08;2.9004017308316976e-16;1.3349213315403257e-07
3584;0.0000000000000000e+00;1.0311461231864128e-07;0.0000000000000000e+00;3.9720994706900525e-08;2.8579564088869838e-16;1.3301952526816953e-07
4096;0.0000000000000000e+00;1.0513741735785336e-07;0.0000000000000000e+00;3.9819085667413402e-08;2.9581940472173538e-16;1.3695803095452186e-07
4608;0.0000000000000000e+00;1.1090386900964240e-07;0.0000000000000000e+00;4.0613665640741850e-08;3.0566995499191758e-16;1.3857802813216198e-07
5120;0.0000000000000000e+00;1.0858662557401490e-07;0.0000000000000000e+00;4.0174753347400523e-08;3.0140768240176983e-16;1.4034547054902221e-07
5632;0.0000000000000000e+00;1.0984608604001665e-07;0.0000000000000000e+00;4.0564428700241134e-08;3.1416839191965148e-16;1.4355760502027881e-07
6144;0.0000000000000000e+00;1.0908315444162528e-07;0.0000000000000000e+00;4.0281000006647503e-08;3.1462616971339820e-16;1.4468682960388326e-07
6656;0.0000000000000000e+00;1.1341819371550954e-07;0.0000000000000000e+00;4.0191881828627092e-08;3.2021547503026576e-16;1.4533780906398378e-07
7168;0.0000000000000000e+00;1.1357306126892534e-07;0.0000000000000000e+00;4.0392926961336555e-08;3.1855988034545384e-16;1.4961380416065963e-07
7680;0.0000000000000000e+00;1.1612857790723040e-07;0.0000000000000000e+00;4.0098406714496223e-08;3.3374598197597240e-16;1.5495780687611560e-07
8192;0.0000000000000000e+00;1.1634729851504972e-07;0.0000000000000000e+00;3.9740488403789884e-08;3.2949940515872871e-16;1.5214750366706041e-07
8704;0.0000000000000000e+00;1.1858056395109491e-07;0.0000000000000000e+00;4.0420938141542589e-08;3.4443212031404234e-16;1.5393105367447300e-07
9216;0.0000000000000000e+00;1.1869589146288812e-07;0.0000000000000000e+00;3.9862481411575606e-08;3.3907020967073820e-16;1.5807379959339558e-07
9728;0.0000000000000000e+00;1.2087827696900342e-07;0.0000000000000000e+00;3.9954778051775132e-08;3.5222626525001698e-16;1.5953856072267483e-07
10240;0.0000000000000000e+00;1.2272929727727198e-07;0.0000000000000000e+00;4.0076216230360646e-08;3.5166651869054990e-16;1.6276665749132561e-07
10752;0.0000000000000000e+00;1.2307191906520219e-07;0.0000000000000000e+00;3.9979174305211659e-08;3.5334290608830793e-16;1.6312423201789460e-07
11264;0.0000000000000000e+00;1.2578581505631234e-07;0.0000000000000000e+00;4.0661012956152390e-08;3.6829816121745507e-16;1.6826656766470421e-07
11776;0.0000000000000000e+00;1.2562209652259285e-07;0.0000000000000000e+00;3.9560679810773690e-08;3.6836861704067071e-16;1.6882623796617718e-07
12288;0.0000000000000000e+00;1.2623241870896538e-07;0.0000000000000000e+00;4.0176144886933157e-08;3.6636927942124155e-16;1.6780228684760810e-07
12800;0.0000000000000000e+00;1.2761290218351597e-07;0.0000000000000000e+00;4.0597254713771065e-08;3.7529005497398457e-16;1.7201722210986360e-07
13312;0.0000000000000000e+00;1.2812799691992924e-07;0.0000000000000000e+00;3.9635091078710639e-08;3.7620167515829749e-16;1.7086209147941345e-07
13824;0.0000000000000000e+00;1.3172143484489269e-07;0.0000000000000000e+00;3.9708680328039309e-08;3.8053512256029072e-16;1.7484027909167697e-07
14336;0.0000000000000000e+00;1.3151062402444411e-07;0.0000000000000000e+00;4.0111889273459587e-08;3.8207231050389224e-16;1.7837687952209252e-07
14848;0.0000000000000000e+00;1.3303720520878944e-07;0.0000000000000000e+00;3.9826895232354206e-08;3.8751144355227950e-16;1.7741474010989693e-07
15360;0.0000000000000000e+00;1.3437188982778018e-07;0.0000000000000000e+00;3.9981327202467186e-08;3.9786858889060879e-16;1.8196178412373845e-07
15872;0.0000000000000000e+00;1.3774916339332796e-07;0.0000000000000000e+00;4.0297457835542069e-08;4.0116054408611652e-16;1.8422530698288244e-07
16384;0.0000000000000000e+00;1.3711454501088886e-07;0.0000000000000000e+00;4.0026153758349044e-08;4.0329866612127605e-16;1.8249742324184524e-07
16896;0.0000000000000000e+00;1.3940965880813566e-07;0.0000000000000000e+00;3.9798538262834909e-08;4.1198754734478561e-16;1.8633043158987385e-07
17408;0.0000000000000000e+00;1.3807319405074120e-07;0.0000000000000000e+00;3.9574897953802323e-08;4.1199811502785550e-16;1.8269011026821442e-07
17920;0.0000000000000000e+00;1.4037279378391054e-07;0.0000000000000000e+00;4.0411604956406412e-08;4.1806192949897854e-16;1.9098480449476967e-07
18432;0.0000000000000000e+00;1.4161650428937204e-07;0.0000000000000000e+00;4.0064062898287441e-08;4.2013207469663876e-16;1.9079995840532154e-07
18944;0.0000000000000000e+00;1.4219151081171056e-07;0.0000000000000000e+00;3.9776887719081983e-08;4.2531387166204907e-16;1.9340242828576625e-07
19456;0.0000000000000000e+00;1.4397076319666249e-07;0.0000000000000000e+00;3.9686500695670664e-08;4.1992404710896894e-16;1.9165605710947533e-07
19968;0.0000000000000000e+00;1.4448703435478367e-07;0.0000000000000000e+00;3.9850933777098518e-08;4.2915182379625106e-16;1.9448560033342551e-07
20480;0.0000000000000000e+00;1.4575354948766675e-07;0.0000000000000000e+00;4.0081067776775467e-08;4.3433952390818905e-16;1.9734135187356458e-07
20992;0.0000000000000000e+00;1.4653856519956276e-07;0.0000000000000000e+00;4.0095918641722422e-08;4.4091278170843231e-16;1.9968015274428599e-07
21504;0.0000000000000000e+00;1.4830154823293515e-07;0.0000000000000000e+00;4.0533238116143245e-08;4.4975078335095700e-16;2.0380952012352785e-07
22016;0.0000000000000000e+00;1.4925571097228684e-07;0.0000000000000000e+00;3.9341282033389018e-08;4.4671211405306175e-16;2.0112305005759450e-07
22528;0.0000000000000000e+00;1.4895344424451141e-07;0.0000000000000000e+00;4.0282163488877928e-08;4.5019309099926052e-16;2.0380846904831667e-07
23040;0.0000000000000000e+00;1.5299799405939073e-07;0.0000000000000000e+00;4.0144435853696855e-08;4.5269489396842718e-16;2.0493562774020399e-07
23552;0.0000000000000000e+00;1.5080510271974831e-07;0.0000000000000000e+00;3.9760343331423763e-08;4.5819246390706685e-16;2.0639570690141054e-07
24064;0.0000000000000000e+00;1.5376711987597634e-07;0.0000000000000000e+00;3.9929954776252630e-08;4.6196597573914899e-16;2.0920093682176093e-07
24576;0.0000000000000000e+00;1.5318500782168253e-07;0.0000000000000000e+00;3.9728993970818341e-08;4.6884005003372837e-16;2.0891266733858186e-07
