Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
512;0.0000000000000000e+00;8.8187084891013195e-08;0.0000000000000000e+00;3.9589833312855843e-08;2.4650982494910488e-16;1.0991696831963669e-07
1024;0.0000000000000000e+00;8.8344817935016244e-08;0.0000000000000000e+00;3.9280672583458192e-08;2.3791061160936509e-16;1.1311487573887164e-07
1536;0.0000000000000000e+00;9.2311104496269833e-08;0.0000000000000000e+00;3.9468441145774931e-08;2.5892184327921884e-16;1.1683384092026259e-07
2048;0.0000000000000000e+00;9.4297728024512824e-08;0.0000000000000000e+00;3.9213688317308967e-08;2.6799040803766345e-16;1.2007723785514076e-07
2560;0.0000000000000000e+00;9.8532608520698424e-08;0.0000000000000000e+00;3.9308889029009938e-08;2.7480073607597789e-16;1.2292024744741314e-07
3072;0.0000000000000000e+00;1.0182300360177320e-07;0.0000000000000000e+00;4.0045047804563679e-08;2.9002847114851120e-16;1.3181161638577393e-07
3584;0.0000000000000000e+00;1.0029966116224967e-07;0.0000000000000000e+00;4.0919514623977748e-08;2.8574605974593091e-16;1.3042894532230207e-07
4096;0.0000000000000000e+00;1.0333905604593645e-07;0.0000000000000000e+00;3.9681657187263597e-08;2.9572442348366256e-16;1.3509100288273084e-07
4608;0.0000000000000000e+00;1.0794030766189929e-07;0.0000000000000000e+00;4.0734874220897345e-08;3.0585470663639607e-16;1.3700930124252169e-07
5120;0.0000000000000000e+00;1.0628465964876296e-07;0.0000000000000000e+00;4.0197152908992151e-08;3.0185943376796240e-16;1.3788763436891532e-07
5632;0.0000000000000000e+00;1.0768738646810860e-07;0.0000000000000000e+00;4.0197651548109235e-08;3.1435382595593245e-16;1.4173874808935084e-07
6144;0.0000000000000000e+00;1.0609062424362980e-07;0.0000000000000000e+00;4.0013646442104238e-08;3.1475734588272662e-16;1.4251946892559283e-07
6656;0.0000000000000000e+00;1.1094864476390361e-07;0.0000000000000000e+00;4.0893704011624297e-08;3.2046524671964058e-16;1.4389138492596039e-07
7168;0.0000000000000000e+00;1.1084869006728453e-07;0.0000000000000000e+00;4.0284668986689946e-08;3.1862578789948831e-16;1.4775663313683667e-07
