Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
512;1.3311999849975109e-02;1.2288000434637070e-02;1.3311999849975109e-02;1.2288000434637070e-02;1.1264000087976456e-02;1.0239999741315842e-02
1024;2.1503999829292297e-02;1.7408000305294991e-02;2.1503999829292297e-02;1.8432000651955605e-02;1.9455999135971069e-02;1.3311999849975109e-02
1536;3.3792000263929367e-02;2.5599999353289604e-02;3.3792000263929367e-02;2.6623999699950218e-02;3.1743999570608139e-02;2.1503999829292297e-02
2048;4.8128001391887665e-02;2.8672000393271446e-02;4.8128001391887665e-02;2.8672000393271446e-02;4.8128001391887665e-02;2.8672000393271446e-02
2560;6.8608000874519348e-02;3.9935998618602753e-02;6.8608000874519348e-02;4.0959998965263367e-02;6.9632001221179962e-02;4.0959998965263367e-02
3072;9.5232002437114716e-02;5.4271999746561050e-02;9.4208002090454102e-02;5.5296000093221664e-02;9.5232002437114716e-02;5.3247999399900436e-02
3584;1.2492799758911133e-01;7.0656001567840576e-02;1.2492799758911133e-01;7.1680001914501190e-02;1.2800000607967377e-01;7.3728002607822418e-02
4096;1.6076800227165222e-01;8.4991998970508575e-02;1.6076800227165222e-01;8.6015999317169189e-02;1.6076800227165222e-01;8.6015999317169189e-02
4608;2.0172800123691559e-01;1.0547199845314026e-01;2.0172800123691559e-01;1.0649599879980087e-01;2.0275199413299561e-01;1.0956799983978271e-01
5120;2.4678400158882141e-01;1.2902399897575378e-01;2.4678400158882141e-01;1.2902399897575378e-01;2.4575999379158020e-01;1.3107199966907501e-01
5632;2.9491201043128967e-01;1.5360000729560852e-01;2.9491201043128967e-01;1.5462400019168854e-01;3.0822399258613586e-01;1.7407999932765961e-01
6144;3.4918400645256042e-01;1.7817600071430206e-01;3.4918400645256042e-01;1.7817600071430206e-01;3.9526399970054626e-01;1.8636800348758698e-01
6656;4.0652799606323242e-01;2.0787200331687927e-01;4.0755200386047363e-01;2.0889599621295929e-01;4.4851198792457581e-01;2.4166400730609894e-01
7168;4.7001600265502930e-01;2.4166400730609894e-01;4.6899199485778809e-01;2.4268800020217896e-01;4.9868801236152649e-01;2.8672000765800476e-01
7680;5.3759998083114624e-01;2.7340799570083618e-01;5.3759998083114624e-01;2.7340799570083618e-01;5.4988801479339600e-01;3.0208000540733337e-01
8192;6.1030399799346924e-01;3.0924800038337708e-01;6.1132800579071045e-01;3.1027200818061829e-01;6.1542397737503052e-01;3.2563200592994690e-01
8704;6.8812799453735352e-01;3.4815999865531921e-01;6.8812799453735352e-01;3.4815999865531921e-01;6.9734400510787964e-01;3.6761599779129028e-01
9216;7.6902401447296143e-01;3.9014399051666260e-01;7.6800000667572021e-01;3.8912001252174377e-01;7.8233599662780762e-01;4.0959998965263367e-01
9728;8.5606402158737183e-01;4.3212801218032837e-01;8.5504001379013062e-01;4.3315199017524719e-01;8.7551999092102051e-01;4.5465600490570068e-01
10240;9.4617599248886108e-01;4.7923201322555542e-01;9.4515198469161987e-01;4.7820800542831421e-01;9.5539200305938721e-01;4.9663999676704407e-01
10752;1.0434559583663940e+00;5.2736002206802368e-01;1.0434559583663940e+00;5.2633601427078247e-01;1.0557440519332886e+00;5.5500799417495728e-01
11264;1.1448320150375366e+00;5.7651197910308838e-01;1.1438080072402954e+00;5.7753598690032959e-01;1.1888639926910400e+00;6.1337602138519287e-01
11776;1.2482559680938721e+00;6.2976002693176270e-01;1.2482559680938721e+00;6.2976002693176270e-01;1.3363200426101685e+00;6.4716798067092896e-01
12288;1.3578239679336548e+00;6.8505597114562988e-01;1.3578239679336548e+00;6.8403202295303345e-01;1.4325759410858154e+00;7.0553600788116455e-01
12800;1.4725120067596436e+00;7.4239999055862427e-01;1.4735360145568848e+00;7.4137598276138306e-01;1.5155199766159058e+00;7.7824002504348755e-01
13312;1.5943679809570312e+00;8.0076801776885986e-01;1.5943679809570312e+00;8.0179202556610107e-01;1.6230399608612061e+00;8.6835199594497681e-01
13824;1.7151999473571777e+00;8.6323201656341553e-01;1.7162239551544189e+00;8.6323201656341553e-01;1.7356799840927124e+00;9.2672002315521240e-01
14336;1.8452479839324951e+00;9.2979198694229126e-01;1.8452479839324951e+00;9.2774397134780884e-01;1.8677760362625122e+00;9.8816001415252686e-01
14848;1.9783680438995361e+00;9.9737602472305298e-01;1.9783680438995361e+00;9.9430400133132935e-01;2.0039680004119873e+00;1.0393600463867188e+00
15360;2.1155838966369629e+00;1.0639359951019287e+00;2.1155838966369629e+00;1.0629119873046875e+00;2.1381120681762695e+00;1.1008000373840332e+00
15872;2.2599680423736572e+00;1.1438080072402954e+00;2.2599680423736572e+00;1.1458560228347778e+00;2.2978560924530029e+00;1.1827199459075928e+00
16384;2.4074239730834961e+00;1.2124160528182983e+00;2.4063999652862549e+00;1.2083200216293335e+00;2.4227840900421143e+00;1.2288000583648682e+00
16896;2.5589759349822998e+00;1.2902400493621826e+00;2.5589759349822998e+00;1.2892160415649414e+00;2.6091520786285400e+00;1.3424639701843262e+00
17408;2.7146239280700684e+00;1.3639680147171021e+00;2.7146239280700684e+00;1.3619199991226196e+00;2.8262400627136230e+00;1.4079999923706055e+00
17920;2.8784639835357666e+00;1.4479360580444336e+00;2.8794879913330078e+00;1.4499839544296265e+00;2.9951999187469482e+00;1.4909440279006958e+00
18432;3.0433280467987061e+00;1.5288319587707520e+00;3.0423040390014648e+00;1.5267839431762695e+00;3.1160318851470947e+00;1.5738879442214966e+00
18944;3.2348160743713379e+00;1.6732159852981567e+00;3.2337920665740967e+00;1.6916480064392090e+00;3.3310720920562744e+00;1.7070080041885376e+00
19456;3.3904640674591064e+00;1.7039359807968140e+00;3.3904640674591064e+00;1.7039359807968140e+00;3.4406399726867676e+00;1.7950719594955444e+00
19968;3.5717120170593262e+00;1.7889280319213867e+00;3.5706880092620850e+00;1.7889280319213867e+00;3.6085760593414307e+00;1.8667520284652710e+00
20480;3.7570559978485107e+00;1.8810880184173584e+00;3.7570559978485107e+00;1.8800640106201172e+00;3.7928960323333740e+00;1.9456000328063965e+00
20992;3.9454720020294189e+00;1.9763200283050537e+00;3.9444479942321777e+00;1.9773440361022949e+00;3.9792640209197998e+00;2.0490241050720215e+00
21504;4.1646080017089844e+00;2.0746240615844727e+00;4.1656317710876465e+00;2.0756480693817139e+00;4.2199039459228516e+00;2.1463038921356201e+00
22016;4.3786239624023438e+00;2.1749761104583740e+00;4.3776001930236816e+00;2.1780478954315186e+00;4.4175357818603516e+00;2.2261760234832764e+00
22528;4.5670399665832520e+00;2.2855679988861084e+00;4.5670399665832520e+00;2.2906880378723145e+00;4.6878719329833984e+00;2.3756799697875977e+00
23040;4.7534079551696777e+00;2.3797760009765625e+00;4.7534079551696777e+00;2.3818240165710449e+00;4.8373761177062988e+00;2.4524800777435303e+00
23552;4.9664001464843750e+00;2.4852480888366699e+00;4.9653759002685547e+00;2.4872961044311523e+00;5.1128320693969727e+00;2.5559039115905762e+00
24064;5.1845121383666992e+00;2.5978879928588867e+00;5.1834878921508789e+00;2.5978879928588867e+00;5.2992000579833984e+00;2.6859519481658936e+00
24576;5.4046721458435059e+00;2.7084798812866211e+00;5.4046721458435059e+00;2.7105278968811035e+00;5.4712319374084473e+00;2.7842559814453125e+00
