Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
524288;2.4576000869274139e-02;1.5359999611973763e-02;2.4576000869274139e-02;1.6383999958634377e-02;3.0719999223947525e-02;2.2528000175952911e-02;0.0000000000000000e+00;2.4810949003620369e-07;3.3453510105598775e-16;1.6726798040559875e-08;5.0180265158398162e-16;2.4810949003620369e-07
1048576;3.3792000263929367e-02;2.4576000869274139e-02;3.3792000263929367e-02;2.4576000869274139e-02;3.9935998618602753e-02;3.0719999223947525e-02;0.0000000000000000e+00;1.5187230322972193e-06;1.0211349804817242e-15;4.3085033396172879e-07;2.0422699609634484e-15;2.2039951176051262e-06
1572864;4.3007999658584595e-02;2.8672000393271446e-02;4.3007999658584595e-02;2.8672000393271446e-02;5.0175998359918594e-02;3.4816000610589981e-02;0.0000000000000000e+00;7.8473012264543716e-06;6.7106708749124913e-15;1.0468960410739085e-06;1.1591158783939758e-14;4.1353625672614127e-06
2097152;5.2223999053239822e-02;3.3792000263929367e-02;5.2223999053239822e-02;3.3792000263929367e-02;5.9392001479864120e-02;3.9935998618602753e-02;0.0000000000000000e+00;1.1128451508509746e-05;1.4489518990970889e-14;1.7760465216137928e-06;4.6161299440261239e-15;3.1904180952580694e-06
2621440;6.1439998447895050e-02;3.8911998271942139e-02;6.2463998794555664e-02;3.8911998271942139e-02;6.8608000874519348e-02;4.5056000351905823e-02;0.0000000000000000e+00;4.1294046815732345e-07;1.0067607117781819e-15;2.6332309115172758e-07;6.0405642706690910e-15;4.9015483122848368e-07
3145728;7.1680001914501190e-02;4.3007999658584595e-02;7.1680001914501190e-02;4.4032000005245209e-02;7.7823996543884277e-02;4.9152001738548279e-02;0.0000000000000000e+00;3.2673224702242076e-07;8.8079419039884560e-16;6.0853590875420547e-08;7.3399515866570467e-16;2.4792011697513245e-07
3670016;8.0895997583866119e-02;4.8128001391887665e-02;8.0895997583866119e-02;4.8128001391887665e-02;8.8064000010490417e-02;5.4271999746561050e-02;0.0000000000000000e+00;2.2314261980859329e-07;9.1120389597841194e-16;7.2044314947671546e-08;6.5085992569886568e-16;1.5325706742975285e-07
4194304;9.0112000703811646e-02;5.2223999053239822e-02;9.0112000703811646e-02;5.3247999399900436e-02;9.6256002783775330e-02;5.8368001133203506e-02;0.0000000000000000e+00;2.1555092099134303e-07;6.3642798009820721e-16;5.1401137952244695e-08;6.3642798009820721e-16;4.4711085942521876e-08
4718592;9.9327996373176575e-02;5.7344000786542892e-02;9.9327996373176575e-02;5.7344000786542892e-02;1.0547199845314026e-01;6.3487999141216278e-02;0.0000000000000000e+00;3.3446346819665821e-08;8.8324493425833253e-16;4.9903366166188749e-08;2.5235569550238070e-16;1.6892877921242327e-07
5242880;1.0854399949312210e-01;6.1439998447895050e-02;1.0956799983978271e-01;6.2463998794555664e-02;1.1468800157308578e-01;6.8608000874519348e-02;0.0000000000000000e+00;4.1158847663851866e-07;5.0136226369582075e-16;5.0617458687709381e-08;3.7602169777186556e-16;1.9403685880519084e-07
5767168;1.1878400295972824e-01;6.6560000181198120e-02;1.1776000261306763e-01;6.7584000527858734e-02;1.2492799758911133e-01;7.2704002261161804e-02;0.0000000000000000e+00;1.1692290065100590e-06;1.6309687109849024e-16;7.7479804203844454e-08;0.0000000000000000e+00;3.0923449407151360e-08
6291456;1.2800000607967377e-01;7.0656001567840576e-02;1.2800000607967377e-01;7.1680001914501190e-02;1.3516800105571747e-01;7.6800003647804260e-02;0.0000000000000000e+00;2.0895944046605949e-07;5.6140847766002286e-16;1.0311621221173986e-07;9.3568079610003804e-16;8.0235195288140709e-09
6815744;1.3721600174903870e-01;7.5776003301143646e-02;1.3721600174903870e-01;7.6800003647804260e-02;1.4438399672508240e-01;8.1919997930526733e-02;0.0000000000000000e+00;4.3967184624574625e-08;0.0000000000000000e+00;7.9886646886869587e-08;1.3371154162779550e-16;1.1575302192321516e-07
