Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
512;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.1264000087976456e-02;1.1264000087976456e-02
1024;2.1503999829292297e-02;1.7408000305294991e-02;2.1503999829292297e-02;1.7408000305294991e-02;2.0479999482631683e-02;1.4336000196635723e-02
1536;3.2767999917268753e-02;2.4576000869274139e-02;3.2767999917268753e-02;2.4576000869274139e-02;3.1743999570608139e-02;2.2528000175952911e-02
2048;4.7104001045227051e-02;2.9696000739932060e-02;4.8128001391887665e-02;2.9696000739932060e-02;4.9152001738548279e-02;2.9696000739932060e-02
2560;6.8608000874519348e-02;3.9935998618602753e-02;6.8608000874519348e-02;4.0959998965263367e-02;7.0656001567840576e-02;4.0959998965263367e-02
3072;9.5232002437114716e-02;5.4271999746561050e-02;9.5232002437114716e-02;5.6320000439882278e-02;9.6256002783775330e-02;5.3247999399900436e-02
3584;1.2492799758911133e-01;7.1680001914501190e-02;1.2492799758911133e-01;7.2704002261161804e-02;1.2697599828243256e-01;6.9632001221179962e-02
4096;1.6076800227165222e-01;8.4991998970508575e-02;1.6076800227165222e-01;8.6015999317169189e-02;1.6076800227165222e-01;8.8064000010490417e-02
4608;2.0070399343967438e-01;1.0547199845314026e-01;2.0070399343967438e-01;1.0649599879980087e-01;2.0275199413299561e-01;1.0854399949312210e-01
5120;2.4575999379158020e-01;1.2902399897575378e-01;2.4575999379158020e-01;1.2902399897575378e-01;2.4678400158882141e-01;1.3209599256515503e-01
5632;2.9491201043128967e-01;1.5360000729560852e-01;2.9491201043128967e-01;1.5360000729560852e-01;3.1436800956726074e-01;1.7203199863433838e-01
6144;3.4815999865531921e-01;1.7817600071430206e-01;3.4815999865531921e-01;1.7919999361038208e-01;4.0448001027107239e-01;1.8534399569034576e-01
6656;4.0652799606323242e-01;2.0787200331687927e-01;4.0652799606323242e-01;2.0889599621295929e-01;4.5056000351905823e-01;2.4473600089550018e-01
7168;4.7001600265502930e-01;2.4268800020217896e-01;4.7001600265502930e-01;2.4268800020217896e-01;4.9868801236152649e-01;2.8467199206352234e-01
7680;5.3657597303390503e-01;2.7443200349807739e-01;5.3657597303390503e-01;2.7340799570083618e-01;5.4783999919891357e-01;3.0515199899673462e-01
8192;6.0927999019622803e-01;3.1027200818061829e-01;6.0927999019622803e-01;3.1027200818061829e-01;6.1747199296951294e-01;3.2563200592994690e-01
8704;6.8710398674011230e-01;3.4815999865531921e-01;6.8710398674011230e-01;3.4815999865531921e-01;6.9734400510787964e-01;3.6556801199913025e-01
9216;7.6800000667572021e-01;3.9014399051666260e-01;7.6800000667572021e-01;3.9014399051666260e-01;7.7619200944900513e-01;4.0959998965263367e-01
9728;8.5504001379013062e-01;4.3315199017524719e-01;8.5504001379013062e-01;4.3315199017524719e-01;8.7040001153945923e-01;4.5260798931121826e-01
10240;9.4515198469161987e-01;4.7820800542831421e-01;9.4515198469161987e-01;4.7820800542831421e-01;9.5231997966766357e-01;4.9459201097488403e-01
10752;1.0424319505691528e+00;5.2633601427078247e-01;1.0414079427719116e+00;5.2633601427078247e-01;1.0547200441360474e+00;5.5705600976943970e-01
11264;1.1438080072402954e+00;5.7753598690032959e-01;1.1438080072402954e+00;5.7753598690032959e-01;1.1632640361785889e+00;6.3283199071884155e-01
11776;1.2472319602966309e+00;6.2873601913452148e-01;1.2472319602966309e+00;6.2976002693176270e-01;1.3629440069198608e+00;6.5024000406265259e-01
12288;1.3578239679336548e+00;6.8505597114562988e-01;1.3578239679336548e+00;6.8403202295303345e-01;1.4325759410858154e+00;7.0143997669219971e-01
12800;1.4725120067596436e+00;7.4239999055862427e-01;1.4725120067596436e+00;7.4137598276138306e-01;1.5247360467910767e+00;7.7516800165176392e-01
13312;1.5933439731597900e+00;8.0179202556610107e-01;1.5933439731597900e+00;8.0179202556610107e-01;1.6209919452667236e+00;8.7449598312377930e-01
13824;1.7141760587692261e+00;8.6527997255325317e-01;1.7151999473571777e+00;8.6323201656341553e-01;1.7356799840927124e+00;9.2569601535797119e-01
14336;1.8431999683380127e+00;9.2979198694229126e-01;1.8431999683380127e+00;9.2672002315521240e-01;1.8759679794311523e+00;9.7996801137924194e-01
14848;1.9773440361022949e+00;9.9635201692581177e-01;1.9773440361022949e+00;9.9430400133132935e-01;1.9937280416488647e+00;1.0383360385894775e+00
15360;2.1145598888397217e+00;1.0639359951019287e+00;2.1155838966369629e+00;1.0639359951019287e+00;2.1422080993652344e+00;1.1018240451812744e+00
15872;2.2599680423736572e+00;1.1438080072402954e+00;2.2599680423736572e+00;1.1468800306320190e+00;2.2968320846557617e+00;1.1796480417251587e+00
16384;2.4043519496917725e+00;1.2113920450210571e+00;2.4043519496917725e+00;1.2083200216293335e+00;2.4186880588531494e+00;1.2308479547500610e+00
16896;2.5569279193878174e+00;1.2892160415649414e+00;2.5579519271850586e+00;1.2892160415649414e+00;2.5978879928588867e+00;1.3670400381088257e+00
17408;2.7135999202728271e+00;1.3649920225143433e+00;2.7135999202728271e+00;1.3629440069198608e+00;2.8252160549163818e+00;1.4069759845733643e+00
17920;2.8753919601440430e+00;1.4469120502471924e+00;2.8753919601440430e+00;1.4499839544296265e+00;3.0197761058807373e+00;1.4919680356979370e+00
18432;3.0402560234069824e+00;1.5288319587707520e+00;3.0412800312042236e+00;1.5267839431762695e+00;3.1252479553222656e+00;1.5708160400390625e+00
18944;3.2276480197906494e+00;1.6680959463119507e+00;3.2286720275878906e+00;1.6906239986419678e+00;3.2849919795989990e+00;1.7131520509719849e+00
19456;3.3873920440673828e+00;1.7029119729995728e+00;3.3863680362701416e+00;1.7049599885940552e+00;3.4406399726867676e+00;1.8012160062789917e+00
19968;3.5686399936676025e+00;1.7889280319213867e+00;3.5686399936676025e+00;1.7889280319213867e+00;3.6075520515441895e+00;1.8667520284652710e+00
20480;3.7519359588623047e+00;1.8810880184173584e+00;3.7519359588623047e+00;1.8800640106201172e+00;3.7877759933471680e+00;1.9343359470367432e+00
20992;3.9403519630432129e+00;1.9763200283050537e+00;3.9413759708404541e+00;1.9773440361022949e+00;3.9782400131225586e+00;2.0490241050720215e+00
21504;4.1574401855468750e+00;2.0736000537872314e+00;4.1564159393310547e+00;2.0756480693817139e+00;4.2168321609497070e+00;2.1442561149597168e+00
22016;4.3735041618347168e+00;2.1749761104583740e+00;4.3745279312133789e+00;2.1780478954315186e+00;4.4165120124816895e+00;2.2302720546722412e+00
22528;4.5608959197998047e+00;2.2835199832916260e+00;4.5598721504211426e+00;2.2876160144805908e+00;4.6551041603088379e+00;2.4012799263000488e+00
23040;4.7482881546020508e+00;2.3797760009765625e+00;4.7482881546020508e+00;2.3818240165710449e+00;4.8281598091125488e+00;2.4463360309600830e+00
23552;4.9602560997009277e+00;2.4842240810394287e+00;4.9623041152954102e+00;2.4862720966339111e+00;5.1292161941528320e+00;2.5589759349822998e+00
24064;5.1783680915832520e+00;2.5948159694671631e+00;5.1783680915832520e+00;2.5978879928588867e+00;5.2940797805786133e+00;2.6828799247741699e+00
24576;5.3995518684387207e+00;2.7054080963134766e+00;5.3995518684387207e+00;2.7074561119079590e+00;5.4722561836242676e+00;2.7822079658508301e+00
