Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
524288;4.7263998538255692e-02;4.0415998548269272e-02;4.7488000243902206e-02;4.3296001851558685e-02;3.0912000685930252e-02;2.2911999374628067e-02;0.0000000000000000e+00;8.7671706599965629e-07;3.3453510105598745e-16;1.6726796535151905e-08;3.3453510105598745e-16;2.4810948919986575e-07
1048576;5.0944000482559204e-02;4.3935999274253845e-02;5.1135998219251633e-02;4.7584000974893570e-02;4.0511999279260635e-02;3.0656000599265099e-02;0.0000000000000000e+00;3.0263216167835578e-06;3.9568980493666690e-15;4.3085031915527021e-07;1.1487768530419361e-15;2.2039951144140723e-06
1572864;5.4591998457908630e-02;4.5887999236583710e-02;5.4848000407218933e-02;4.9472000449895859e-02;5.0560001283884048e-02;3.5808000713586807e-02;0.0000000000000000e+00;3.4803145598360642e-06;7.1173782006647013e-15;1.0468960418873140e-06;2.8469512802658805e-15;4.1353625585171688e-06
2097152;5.8463998138904572e-02;4.7136001288890839e-02;5.8304000645875931e-02;5.1615998148918152e-02;5.9615999460220337e-02;4.0415998548269272e-02;0.0000000000000000e+00;8.2371413021082597e-06;5.8983882618111705e-15;1.7760465018670183e-06;2.5645166355700742e-15;3.1904180932064629e-06
2621440;6.2688000500202179e-02;4.9568001180887222e-02;6.3040003180503845e-02;5.4048001766204834e-02;6.8928003311157227e-02;4.4831998646259308e-02;0.0000000000000000e+00;3.3572610120294464e-07;1.5820525470800062e-15;2.6332309086408265e-07;2.1573443823818267e-15;4.9015482734526568e-07
3145728;7.2704002261161804e-02;5.3759999573230743e-02;7.3023997247219086e-02;5.8111999183893204e-02;7.8239999711513519e-02;4.9791999161243439e-02;0.0000000000000000e+00;2.4792011741552944e-07;1.4679903173314087e-15;6.0853591315817606e-08;1.1743922538651271e-15;2.4792011741552944e-07
3670016;8.2143999636173248e-02;5.7824000716209412e-02;8.2528002560138702e-02;6.1792001128196716e-02;8.7807998061180115e-02;5.4783999919891357e-02;0.0000000000000000e+00;1.7336528483610059e-06;1.4318918365375068e-15;7.2044312474403950e-08;9.1120389597841332e-16;1.5325706586768925e-07
4194304;9.1392002999782562e-02;6.0959998518228531e-02;9.1775998473167419e-02;6.5535999834537506e-02;9.6703998744487762e-02;5.9039998799562454e-02;0.0000000000000000e+00;2.1154866885820827e-07;1.7501769452700736e-15;5.1401137315816829e-08;1.5910699502455216e-15;4.4711083715024046e-08
4718592;1.0070399940013885e-01;6.4447999000549316e-02;1.0099200159311295e-01;6.9439999759197235e-02;1.0652799904346466e-01;6.4127996563911438e-02;0.0000000000000000e+00;1.1173058079805731e-06;1.8926677162678593e-15;4.9903364147343284e-08;1.7664898685166686e-15;1.6892878123126915e-07
5242880;1.0995200276374817e-01;6.8063996732234955e-02;1.1011199653148651e-01;7.2319999337196350e-02;1.1580800265073776e-01;6.8383999168872833e-02;0.0000000000000000e+00;1.9403685805314761e-07;0.0000000000000000e+00;5.0617456807600926e-08;1.1280650933155977e-15;1.9403685805314761e-07
5767168;1.1900799721479416e-01;7.2640001773834229e-02;1.1964800208806992e-01;7.6512001454830170e-02;1.2508800625801086e-01;7.3504000902175903e-02;0.0000000000000000e+00;3.1932441235965839e-07;1.6309687109849054e-16;7.7479802083585277e-08;1.9571624531818866e-15;3.0923451364313873e-08
6291456;1.2883199751377106e-01;7.7183999121189117e-02;1.2899200618267059e-01;8.0767996609210968e-02;1.3452799618244171e-01;7.8143998980522156e-02;0.0000000000000000e+00;1.9291239991134235e-07;0.0000000000000000e+00;1.0311621165033155e-07;5.6140847766002375e-16;8.0235210259033568e-09
6815744;1.3782399892807007e-01;8.1791996955871582e-02;1.3840000331401825e-01;8.6592003703117371e-02;1.4384000003337860e-01;8.2719996571540833e-02;0.0000000000000000e+00;7.6182555761097992e-07;1.3371154162779548e-15;7.9886647822850378e-08;1.3371154162779550e-16;1.1575302192321516e-07
7340032;1.4710399508476257e-01;8.5087999701499939e-02;1.4720000326633453e-01;9.0879999101161957e-02;1.5369600057601929e-01;8.7711997330188751e-02;0.0000000000000000e+00;2.9521105596888787e-07;9.1035973064852996e-16;6.2396718794329124e-08;6.8276979798639742e-16;2.5462781022763158e-07
7864320;1.5663999319076538e-01;8.9535996317863464e-02;1.5737600624561310e-01;9.3440003693103790e-02;1.6249600052833557e-01;9.2479996383190155e-02;0.0000000000000000e+00;1.7073401661037195e-07;1.4766251744678849e-15;7.8044064305411772e-08;2.6847730444870635e-16;4.5472466325646000e-08
8388608;1.6543999314308167e-01;9.3312002718448639e-02;1.6566400229930878e-01;9.8399996757507324e-02;1.7174400389194489e-01;9.7184002399444580e-02;0.0000000000000000e+00;2.1531708966632908e-07;4.3536529618310644e-16;6.1328585980496457e-08;1.0884132404577662e-15;1.3528535575613265e-07
8912896;1.7507199943065643e-01;9.8016001284122467e-02;1.7558400332927704e-01;1.0163199901580811e-01;1.8124799430370331e-01;1.0201600193977356e-01;0.0000000000000000e+00;7.7519393294713066e-07;3.3709660053758244e-16;6.3203085162851406e-08;8.9892426810021985e-16;5.1284495496284326e-08
9437184;1.8422399461269379e-01;1.0259199887514114e-01;1.8447999656200409e-01;1.0646399855613708e-01;1.9097599387168884e-01;1.0684800148010254e-01;0.0000000000000000e+00;1.2654675395876525e-07;2.3397196372827057e-15;1.2477216835552472e-07;6.6497294954350577e-15;2.7012506145984802e-07
9961472;1.9379200041294098e-01;1.0700800269842148e-01;1.9407999515533447e-01;1.1148799955844879e-01;2.0054399967193604e-01;1.1135999858379364e-01;0.0000000000000000e+00;5.8068336623803311e-07;1.1781434643047787e-15;1.3401270583690917e-07;3.7700590857752922e-15;1.3792569693433086e-07
10485760;2.0316800475120544e-01;1.1180800199508667e-01;2.0355199277400970e-01;1.1584000289440155e-01;2.0940800011157990e-01;1.1596799641847610e-01;0.0000000000000000e+00;1.3964260994772764e-06;2.1332689111768782e-15;1.1209679443823985e-07;3.1999033667653176e-15;1.0086829548807567e-06
11010048;2.1203200519084930e-01;1.1631999909877777e-01;2.1273599565029144e-01;1.1926399916410446e-01;2.1859200298786163e-01;1.2083200365304947e-01;0.0000000000000000e+00;2.6050524363678534e-06;1.5997570694433132e-14;5.1849646625903483e-07;2.2029441612006278e-14;1.2674788543875996e-06
11534336;2.2150400280952454e-01;1.2044800072908401e-01;2.2156800329685211e-01;1.2287999689579010e-01;2.2822399437427521e-01;1.2569600343704224e-01;0.0000000000000000e+00;1.8843815433344334e-06;6.3307600049976937e-16;1.0181806602074361e-07;2.1102533349992314e-15;6.0807244819214016e-07
12058624;2.3068800568580627e-01;1.2553599476814270e-01;2.3148800432682037e-01;1.2796799838542938e-01;2.3718400299549103e-01;1.2982399761676788e-01;0.0000000000000000e+00;5.7320045225075273e-06;2.8083046254470400e-14;1.5316743129480102e-06;4.0238394633271022e-14;4.8443778768306551e-06
12582912;2.4035200476646423e-01;1.2982399761676788e-01;2.4028800427913666e-01;1.3257600367069244e-01;2.4704000353813171e-01;1.3507199287414551e-01;0.0000000000000000e+00;5.0463517101134372e-06;3.0786427856614963e-15;3.2606189684354062e-07;1.0865798067040575e-15;5.9272817715114370e-07
13107200;2.4982400238513947e-01;1.3526399433612823e-01;2.4995200335979462e-01;1.3766400516033173e-01;2.5600001215934753e-01;1.3974399864673615e-01;0.0000000000000000e+00;5.4623308498713383e-06;6.3939611731099311e-15;1.4997384176165421e-06;1.2296079179057560e-14;1.9312452621596859e-06
13631488;2.5849598646163940e-01;1.3836799561977386e-01;2.5856000185012817e-01;1.4057600498199463e-01;2.6435199379920959e-01;1.4348800480365753e-01;0.0000000000000000e+00;1.2745891789110441e-07;2.9288092880611589e-16;3.0394298920787708e-07;8.3471064709743023e-15;1.2281336773799299e-06
14155776;2.6783999800682068e-01;1.4326399564743042e-01;2.6796799898147583e-01;1.4483200013637543e-01;2.7411198616027832e-01;1.4787200093269348e-01;0.0000000000000000e+00;5.7008928209227557e-06;2.1805915386277740e-15;3.8564476475715500e-07;1.1894135665242405e-15;1.0181081487524502e-06
14680064;2.7708798646926880e-01;1.4809599518775940e-01;2.7644801139831543e-01;1.5017600357532501e-01;2.8316798806190491e-01;1.5263999998569489e-01;0.0000000000000000e+00;8.4784394451723359e-08;3.8194078303714452e-16;2.1537967925939329e-07;2.6735854812600114e-15;2.8983729097086924e-07
