Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
524288;4.8128001391887665e-02;4.1280001401901245e-02;4.8351999372243881e-02;4.4096000492572784e-02;3.1136000528931618e-02;2.3391999304294586e-02;0.0000000000000000e+00;1.0563192307995964e-06;6.6907020211197491e-16;1.6726797538757208e-08;3.3453510105598745e-16;2.4810948919986575e-07
4747489;1.0096000134944916e-01;6.5471999347209930e-02;1.0137599706649780e-01;6.9983996450901031e-02;1.0716799646615982e-01;6.4736001193523407e-02;0.0000000000000000e+00;4.8342481843715321e-07;2.5178631070945236e-16;5.0995896087702813e-08;1.5107178642567142e-15;1.0306206528206451e-08
8970690;1.7705599963665009e-01;9.9519997835159302e-02;1.7750400304794312e-01;1.0470400005578995e-01;1.8281599879264832e-01;1.0326399654150009e-01;0.0000000000000000e+00;3.7724010808890148e-07;1.1539714333936591e-15;6.4194152008546769e-08;2.3079428667873182e-16;1.1838684860549934e-07
13193891;2.5219199061393738e-01;1.3600000739097595e-01;2.5203201174736023e-01;1.3884800672531128e-01;2.5856000185012817e-01;1.4131200313568115e-01;0.0000000000000000e+00;2.3541394344465242e-05;1.4949755900554215e-15;2.2228244242136973e-06;1.5946406293924497e-14;4.6836856027209544e-06
17417092;3.2736000418663025e-01;1.7343999445438385e-01;3.2761600613594055e-01;1.7500799894332886e-01;3.3411198854446411e-01;1.7907199263572693e-01;0.0000000000000000e+00;6.5975640513609994e-07;8.0600643669342937e-16;7.4178132585358867e-08;2.9016231720963456e-15;1.1914213420574907e-07
21640293;4.0272000432014465e-01;2.1158400177955627e-01;4.0307199954986572e-01;2.1385599672794342e-01;4.0966400504112244e-01;2.1731199324131012e-01;0.0000000000000000e+00;1.3366691376545248e-06;4.7807336163413659e-16;5.9537008198413949e-08;2.9879585102133542e-15;1.0815191078455195e-08
25863494;4.7734400629997253e-01;2.4787199497222900e-01;4.7788798809051514e-01;2.4956800043582916e-01;4.8352000117301941e-01;2.5343999266624451e-01;0.0000000000000000e+00;1.3860118314877110e-06;1.7782863352182291e-15;1.3699818571123279e-07;3.8106135754676335e-16;2.2672086634787381e-07
30086695;5.5219197273254395e-01;2.8563201427459717e-01;5.5299198627471924e-01;2.8751999139785767e-01;5.5907201766967773e-01;2.9081600904464722e-01;0.0000000000000000e+00;1.3409590414573756e-05;4.1507462158948812e-15;2.6846517917406855e-06;1.5933509667467449e-14;6.5086926398908120e-06
34309896;6.2793600559234619e-01;3.2416000962257385e-01;6.2870401144027710e-01;3.2611200213432312e-01;6.3481599092483521e-01;3.2972800731658936e-01;0.0000000000000000e+00;9.8651505250614959e-07;3.9316320404380881e-16;1.1448285268838141e-07;1.5726528161752352e-15;3.6664556866861845e-08
38533097;7.0345598459243774e-01;3.6198401451110840e-01;7.0361602306365967e-01;3.6416000127792358e-01;7.1225601434707642e-01;3.6748799681663513e-01;0.0000000000000000e+00;8.4903813354094403e-07;0.0000000000000000e+00;1.6020169213881289e-07;1.8913733396663946e-16;2.6792752923815732e-07
