Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
512;0.0000000000000000e+00;9.5479212872856658e-08;0.0000000000000000e+00;3.8813730332292513e-08;2.4628310412244762e-16;1.1176559596737649e-07
1024;0.0000000000000000e+00;9.3216473826697937e-08;0.0000000000000000e+00;3.8393885389900250e-08;2.3277903125458060e-16;1.1600547104571664e-07
1536;0.0000000000000000e+00;9.6514166950190343e-08;0.0000000000000000e+00;3.9227611923922996e-08;2.4861003391380589e-16;1.2003435774807036e-07
2048;0.0000000000000000e+00;9.7946877686968351e-08;0.0000000000000000e+00;3.9631681930105487e-08;2.7026431862323246e-16;1.2184663321445226e-07
2560;0.0000000000000000e+00;9.9764648103093214e-08;0.0000000000000000e+00;3.9863754689850459e-08;2.7251512776448601e-16;1.2541773699646974e-07
3072;0.0000000000000000e+00;1.0237155221747255e-07;0.0000000000000000e+00;4.0703482586979855e-08;2.9129088851400677e-16;1.3425810498698467e-07
3584;0.0000000000000000e+00;1.0196713948979242e-07;0.0000000000000000e+00;4.0271623668990268e-08;2.8486633149727664e-16;1.3182022923314006e-07
4096;0.0000000000000000e+00;1.0597784285514012e-07;0.0000000000000000e+00;4.0043212584132064e-08;2.9531737857241958e-16;1.3721386807936288e-07
4608;0.0000000000000000e+00;1.0915676398330110e-07;0.0000000000000000e+00;4.0194141887457109e-08;3.0050085320669251e-16;1.3869993910113508e-07
5120;0.0000000000000000e+00;1.0827665875878203e-07;0.0000000000000000e+00;3.9982249383779237e-08;3.0279807614626949e-16;1.3959193732855466e-07
5632;0.0000000000000000e+00;1.0985857235588174e-07;0.0000000000000000e+00;4.0613025955004673e-08;3.1486094207835328e-16;1.4485238930545614e-07
6144;0.0000000000000000e+00;1.0970038859997771e-07;0.0000000000000000e+00;3.9729255253489681e-08;3.1537400059543266e-16;1.4416845412860221e-07
6656;0.0000000000000000e+00;1.1463709828914662e-07;0.0000000000000000e+00;4.0529244381220132e-08;3.2002230086855114e-16;1.4626669559406370e-07
7168;0.0000000000000000e+00;1.1422358805620699e-07;0.0000000000000000e+00;4.0271446000615959e-08;3.2567002131439819e-16;1.4922240315106861e-07
7680;0.0000000000000000e+00;1.1627231776668215e-07;0.0000000000000000e+00;4.0441384738831808e-08;3.3429054150646850e-16;1.5539650853571455e-07
8192;0.0000000000000000e+00;1.1662308588533222e-07;0.0000000000000000e+00;4.0002213162965752e-08;3.2909328552382715e-16;1.5175210837719427e-07
8704;0.0000000000000000e+00;1.1721746560262494e-07;0.0000000000000000e+00;4.0060927647199912e-08;3.4683366853801586e-16;1.5446820265929772e-07
9216;0.0000000000000000e+00;1.1840708069055429e-07;0.0000000000000000e+00;3.9530533638157731e-08;3.4152607064613094e-16;1.5894433983796372e-07
9728;0.0000000000000000e+00;1.2092440019501131e-07;0.0000000000000000e+00;4.0258076895270494e-08;3.5079494073886016e-16;1.5961566335176644e-07
10240;0.0000000000000000e+00;1.2264609500282745e-07;0.0000000000000000e+00;3.9954141166016813e-08;3.5392166515854032e-16;1.6193628443828420e-07
10752;0.0000000000000000e+00;1.2244868394853473e-07;0.0000000000000000e+00;4.0293522232768092e-08;3.5509671316657084e-16;1.6362352267551902e-07
11264;0.0000000000000000e+00;1.2751298272080926e-07;0.0000000000000000e+00;4.0541892812015128e-08;3.6985613560108880e-16;1.6817753712226741e-07
11776;0.0000000000000000e+00;1.2529015873712078e-07;0.0000000000000000e+00;3.9845900992250287e-08;3.6603210936980000e-16;1.6866033911632596e-07
12288;0.0000000000000000e+00;1.2665196574447432e-07;0.0000000000000000e+00;4.0381992717043838e-08;3.6901124645933063e-16;1.6761108415538093e-07
12800;0.0000000000000000e+00;1.2785797221875310e-07;0.0000000000000000e+00;4.0444909943636324e-08;3.7895618812500838e-16;1.7218711555119785e-07
13312;0.0000000000000000e+00;1.2875694837074020e-07;0.0000000000000000e+00;3.9666093607546424e-08;3.7742346772198629e-16;1.7161650830346817e-07
13824;0.0000000000000000e+00;1.3116007232609783e-07;0.0000000000000000e+00;3.9982602411757870e-08;3.7784861323482928e-16;1.7510037139003349e-07
14336;0.0000000000000000e+00;1.3195395833647269e-07;0.0000000000000000e+00;4.0044632849479378e-08;3.8357021088451640e-16;1.7843752925195121e-07
