Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
512;1.2191999703645706e-02;1.2223999947309494e-02;1.2480000033974648e-02;1.2415999546647072e-02;1.1615999974310398e-02;1.1168000288307667e-02
1024;2.1407999098300934e-02;1.6480000689625740e-02;2.1247999742627144e-02;1.6736000776290894e-02;2.0352000370621681e-02;1.4080000109970570e-02
1536;3.2480001449584961e-02;2.4095999076962471e-02;3.2320000231266022e-02;2.4639999493956566e-02;3.2223999500274658e-02;2.2624000906944275e-02
2048;4.8064000904560089e-02;3.0239999294281006e-02;4.8191998153924942e-02;2.9823999851942062e-02;4.8223998397588730e-02;2.9440000653266907e-02
2560;6.9087997078895569e-02;4.0415998548269272e-02;6.9215998053550720e-02;4.0959998965263367e-02;6.9407999515533447e-02;4.1632000356912613e-02
3072;9.5200002193450928e-02;5.4368000477552414e-02;9.5200002193450928e-02;5.5360000580549240e-02;9.5551997423171997e-02;5.4336000233888626e-02
3584;1.2556800246238708e-01;7.0720002055168152e-02;1.2547199428081512e-01;7.2063997387886047e-02;1.2761600315570831e-01;7.3440000414848328e-02
4096;1.6073599457740784e-01;8.5727997124195099e-02;1.6099199652671814e-01;8.5951998829841614e-02;1.6172799468040466e-01;8.6240001022815704e-02
4608;2.0112000405788422e-01;1.0592000186443329e-01;2.0073600113391876e-01;1.0601600259542465e-01;2.0188799500465393e-01;1.0966400057077408e-01
5120;2.4572800099849701e-01;1.2857599556446075e-01;2.4566400051116943e-01;1.2899200618267059e-01;2.4812799692153931e-01;1.3007999956607819e-01
5632;2.9465600848197937e-01;1.5299199521541595e-01;2.9446399211883545e-01;1.5363200008869171e-01;3.0761599540710449e-01;1.5971200168132782e-01
6144;3.4822401404380798e-01;1.7846399545669556e-01;3.4790399670600891e-01;1.7891199886798859e-01;3.9897599816322327e-01;1.8620799481868744e-01
6656;4.0716800093650818e-01;2.0835199952125549e-01;4.0735998749732971e-01;2.0867200195789337e-01;4.4540798664093018e-01;2.4400000274181366e-01
7168;4.7020798921585083e-01;2.4246400594711304e-01;4.6995198726654053e-01;2.4284799396991730e-01;4.9033600091934204e-01;2.8179201483726501e-01
7680;5.3724801540374756e-01;2.7417600154876709e-01;5.3769600391387939e-01;2.7427199482917786e-01;5.5004799365997314e-01;3.0124801397323608e-01
8192;6.0982400178909302e-01;3.0988800525665283e-01;6.0979199409484863e-01;3.1040000915527344e-01;6.1695998907089233e-01;3.2300800085067749e-01
8704;6.8774402141571045e-01;3.4835198521614075e-01;6.8761599063873291e-01;3.4851199388504028e-01;6.9699198007583618e-01;3.6675199866294861e-01
9216;7.6959997415542603e-01;3.9014399051666260e-01;7.6976001262664795e-01;3.9033600687980652e-01;7.7583998441696167e-01;4.0636798739433289e-01
9728;8.5638397932052612e-01;4.3305599689483643e-01;8.5577601194381714e-01;4.3312001228332520e-01;8.6409598588943481e-01;4.5340800285339355e-01
10240;9.4614398479461670e-01;4.7878399491310120e-01;9.4563198089599609e-01;4.7856000065803528e-01;9.5331197977066040e-01;4.9491199851036072e-01
10752;1.0425280332565308e+00;5.2633601427078247e-01;1.0431679487228394e+00;5.2704000473022461e-01;1.0568000078201294e+00;5.4793602228164673e-01
11264;1.1440639495849609e+00;5.7766401767730713e-01;1.1438399553298950e+00;5.7846397161483765e-01;1.1742080450057983e+00;6.3532799482345581e-01
11776;1.2488640546798706e+00;6.2985599040985107e-01;1.2481919527053833e+00;6.2979197502136230e-01;1.3451520204544067e+00;6.5075200796127319e-01
12288;1.3574080467224121e+00;6.8528002500534058e-01;1.3575040102005005e+00;6.8492799997329712e-01;1.4364479780197144e+00;7.0134401321411133e-01
12800;1.4725120067596436e+00;7.4230402708053589e-01;1.4722880125045776e+00;7.4182397127151489e-01;1.5187200307846069e+00;7.7091199159622192e-01
13312;1.5945279598236084e+00;8.0211198329925537e-01;1.5946559906005859e+00;8.0195200443267822e-01;1.6285120248794556e+00;8.6703997850418091e-01
13824;1.7154239416122437e+00;8.6531198024749756e-01;1.7148799896240234e+00;8.6361598968505859e-01;1.7386879920959473e+00;9.1977602243423462e-01
14336;1.8438719511032104e+00;9.3004798889160156e-01;1.8438719511032104e+00;9.2803198099136353e-01;1.8680959939956665e+00;9.8201602697372437e-01
14848;1.9774719476699829e+00;9.9647998809814453e-01;1.9773119688034058e+00;9.9484801292419434e-01;1.9927999973297119e+00;1.0439039468765259e+00
15360;2.1151039600372314e+00;1.0652480125427246e+00;2.1152000427246094e+00;1.0634560585021973e+00;2.1342399120330811e+00;1.1066880226135254e+00
15872;2.2592639923095703e+00;1.1445440053939819e+00;2.2597761154174805e+00;1.1473920345306396e+00;2.2976639270782471e+00;1.2157759666442871e+00
16384;2.4045760631561279e+00;1.2119679450988770e+00;2.4051198959350586e+00;1.2087999582290649e+00;2.4191040992736816e+00;1.2331839799880981e+00
16896;2.5583679676055908e+00;1.2890239953994751e+00;2.5582079887390137e+00;1.2892479896545410e+00;2.6119039058685303e+00;1.3436800241470337e+00
17408;2.7141439914703369e+00;1.3653440475463867e+00;2.7142720222473145e+00;1.3631680011749268e+00;2.8282880783081055e+00;1.4108480215072632e+00
17920;2.8769919872283936e+00;1.4467519521713257e+00;2.8764479160308838e+00;1.4490239620208740e+00;2.9992959499359131e+00;1.4904320240020752e+00
18432;3.0415680408477783e+00;1.5290880203247070e+00;3.0407359600067139e+00;1.5267200469970703e+00;3.1222720146179199e+00;1.5655039548873901e+00
18944;3.2303359508514404e+00;1.6613440513610840e+00;3.2298240661621094e+00;1.6771839857101440e+00;3.2782080173492432e+00;1.6772160530090332e+00
19456;3.3876159191131592e+00;1.7032959461212158e+00;3.3881919384002686e+00;1.7058559656143188e+00;3.4379520416259766e+00;1.8052799701690674e+00
19968;3.5685760974884033e+00;1.7897280454635620e+00;3.5678720474243164e+00;1.7897599935531616e+00;3.6074559688568115e+00;1.8736959695816040e+00
20480;3.7526080608367920e+00;1.8811520338058472e+00;3.7524480819702148e+00;1.8808640241622925e+00;3.7882239818572998e+00;1.9416320323944092e+00
20992;3.9413440227508545e+00;1.9767040014266968e+00;3.9414079189300537e+00;1.9781440496444702e+00;3.9701120853424072e+00;2.0479359626770020e+00
21504;4.1603522300720215e+00;2.0740799903869629e+00;4.1597437858581543e+00;2.0762879848480225e+00;4.1977920532226562e+00;2.1435520648956299e+00
22016;4.3723840713500977e+00;2.1751680374145508e+00;4.3716478347778320e+00;2.1783359050750732e+00;4.4255361557006836e+00;2.2256960868835449e+00
22528;4.5620479583740234e+00;2.2861120700836182e+00;4.5591039657592773e+00;2.2897601127624512e+00;4.6325759887695312e+00;2.3640639781951904e+00
