Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
524288;4.7104001045227051e-02;3.9935998618602753e-02;4.8128001391887665e-02;4.3007999658584595e-02;3.0719999223947525e-02;2.2528000175952911e-02;0.0000000000000000e+00;7.7948156674686659e-07;2.2220435992418282e-16;4.7145321249473796e-11;1.4443283395071884e-15;4.0636938881967490e-09
4747489;1.0137599706649780e-01;6.4511999487876892e-02;1.0137599706649780e-01;6.9632001221179962e-02;1.0649599879980087e-01;6.4511999487876892e-02;0.0000000000000000e+00;8.7881657834158875e-07;1.9611845422975939e-16;2.0227657369257386e-12;2.5495399049868722e-15;3.6494231282699264e-08
8970690;1.7510400712490082e-01;9.9327996373176575e-02;1.7612800002098083e-01;1.0239999741315842e-01;1.8227200210094452e-01;1.0239999741315842e-01;0.0000000000000000e+00;4.8234445644423800e-07;2.0757747690359465e-16;1.4884135403895352e-11;0.0000000000000000e+00;7.4867090235220957e-08
13193891;2.5088000297546387e-01;1.3619199395179749e-01;2.5088000297546387e-01;1.3823999464511871e-01;2.5804799795150757e-01;1.4028799533843994e-01;0.0000000000000000e+00;2.3589992150114481e-07;1.4119605866061269e-16;2.3512532472399868e-11;7.0598029330306349e-16;6.7316305634569728e-08
17417092;3.2563200592994690e-01;1.7305600643157959e-01;3.2665601372718811e-01;1.7510400712490082e-01;3.3280000090599060e-01;1.7817600071430206e-01;0.0000000000000000e+00;5.9555802860424711e-07;4.2774609711915360e-16;1.2116763693094264e-11;0.0000000000000000e+00;2.1446935442245721e-08
21640293;4.0140798687934875e-01;2.0992000401020050e-01;4.0140798687934875e-01;2.1196800470352173e-01;4.0857601165771484e-01;2.1606400609016418e-01;0.0000000000000000e+00;8.1475130102694959e-07;1.7211526625896266e-16;1.1530001686687908e-11;1.3769221300717013e-15;7.5521861302372635e-08
25863494;4.7615998983383179e-01;2.4780799448490143e-01;4.7718399763107300e-01;2.5088000297546387e-01;4.8435199260711670e-01;2.5395199656486511e-01;0.0000000000000000e+00;9.5486568198773748e-07;0.0000000000000000e+00;6.5629724685283082e-12;5.7611626558942293e-16;2.6965487212654388e-08
30086695;5.5295997858047485e-01;2.8569599986076355e-01;5.5193597078323364e-01;2.8774398565292358e-01;5.6012797355651855e-01;2.9183998703956604e-01;0.0000000000000000e+00;6.1177103671337552e-09;7.4297253123914513e-16;4.6841941519523971e-12;1.1144587968587176e-15;6.0362346372417629e-08
34309896;6.2771201133728027e-01;3.2460799813270569e-01;6.2771201133728027e-01;3.2665601372718811e-01;6.3488000631332397e-01;3.3177599310874939e-01;0.0000000000000000e+00;8.2631326131212335e-07;0.0000000000000000e+00;6.6907058827416758e-12;2.1717430156912735e-16;1.2674586923384072e-07
38533097;7.0348799228668213e-01;3.6249598860740662e-01;7.0348799228668213e-01;3.6351999640464783e-01;7.1065598726272583e-01;3.6966401338577271e-01;0.0000000000000000e+00;2.1977265662561862e-09;7.7349835496982128e-16;1.3909434168244811e-12;2.3204950649094639e-15;2.1977265662561862e-09
42756298;7.7824002504348755e-01;4.0038400888442993e-01;7.7926397323608398e-01;4.0038400888442993e-01;7.8540802001953125e-01;4.0448001027107239e-01;0.0000000000000000e+00;7.4862284764028162e-07;6.9711841155807648e-16;1.9730193843122459e-12;2.4399144404532679e-15;9.3467996476364102e-08
46979499;8.5299199819564819e-01;4.3622401356697083e-01;8.5299199819564819e-01;4.3929600715637207e-01;8.6015999317169189e-01;4.4441598653793335e-01;0.0000000000000000e+00;2.8362875682221048e-07;0.0000000000000000e+00;1.1437992376109779e-12;1.4275680402855085e-15;2.8155504912165911e-08
51202700;9.2979198694229126e-01;4.7513601183891296e-01;9.3081599473953247e-01;4.7923201322555542e-01;9.3491202592849731e-01;4.8230400681495667e-01;0.0000000000000000e+00;1.4003562470272446e-07;4.3659343461637135e-16;2.2391421950024964e-12;7.2765572436061892e-16;6.1904186230823224e-08
55425901;1.0055680274963379e+00;5.1302397251129150e-01;1.0055680274963379e+00;5.1712000370025635e-01;1.0117119550704956e+00;5.2121597528457642e-01;0.0000000000000000e+00;1.8442090954504293e-07;4.0329106558858997e-16;1.9946776104011661e-12;1.6131642623543599e-15;4.0077414755710846e-08
