Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
512;0.0000000000000000e+00;4.5074659138672163e-08;0.0000000000000000e+00;2.5956427108996995e-08;1.0082921392511415e-16;5.3760390978313245e-08
1024;0.0000000000000000e+00;4.5581713969491599e-08;0.0000000000000000e+00;2.7338608961107227e-08;1.0052125690842261e-16;5.5830749616705500e-08
1536;0.0000000000000000e+00;3.3743754468923576e-08;0.0000000000000000e+00;1.9276120617151278e-08;9.8687531290391474e-17;5.5458385659364426e-08
2048;0.0000000000000000e+00;4.6170847907928830e-08;0.0000000000000000e+00;2.7491945357030616e-08;9.4690728752719162e-17;5.4510989233636950e-08
2560;0.0000000000000000e+00;4.1085576274355539e-08;0.0000000000000000e+00;2.3588423652143770e-08;9.9538568155036099e-17;5.7335301534962296e-08
3072;0.0000000000000000e+00;3.4284264507742514e-08;0.0000000000000000e+00;1.9877098833691022e-08;9.6730144255621119e-17;5.3732088071096467e-08
3584;0.0000000000000000e+00;2.9312021538045864e-08;0.0000000000000000e+00;1.6993836372858607e-08;9.2023815613884561e-17;5.0901993046876818e-08
4096;0.0000000000000000e+00;3.7593620561733917e-08;0.0000000000000000e+00;2.1050234145297658e-08;9.1295510500068352e-17;5.1784325310341672e-08
4608;0.0000000000000000e+00;4.5195936341378877e-08;0.0000000000000000e+00;2.6294163857620021e-08;1.0068904695293513e-16;5.7160285595393473e-08
5120;0.0000000000000000e+00;4.2057840544656181e-08;0.0000000000000000e+00;2.4082873461244397e-08;1.0568449289666319e-16;5.8908640339200252e-08
5632;0.0000000000000000e+00;3.8153589516234702e-08;0.0000000000000000e+00;2.1866449586863306e-08;1.0236697219855124e-16;5.7986504397205687e-08
6144;0.0000000000000000e+00;3.5026825603317289e-08;0.0000000000000000e+00;2.0041193429127530e-08;1.0106884267830515e-16;5.6532321278935996e-08
6656;0.0000000000000000e+00;3.2768969756516406e-08;0.0000000000000000e+00;1.8503310395810142e-08;9.8577051154102277e-17;5.4688965381074273e-08
7168;0.0000000000000000e+00;2.9785315071495040e-08;0.0000000000000000e+00;1.7376397412246343e-08;9.2900478297168280e-17;5.2246354304305001e-08
7680;0.0000000000000000e+00;2.7800010976672747e-08;0.0000000000000000e+00;1.5975472140817021e-08;8.9446700409917278e-17;5.0337277253151422e-08
8192;0.0000000000000000e+00;3.0642342405785262e-08;0.0000000000000000e+00;1.6304879319392851e-08;9.0375231547395061e-17;4.9487540011245042e-08
8704;0.0000000000000000e+00;4.8580433029649870e-08;0.0000000000000000e+00;2.8213325981016328e-08;9.8905285185478504e-17;5.8494623917058462e-08
9216;0.0000000000000000e+00;4.6115011411268126e-08;0.0000000000000000e+00;2.6589948777331713e-08;1.0402641370578042e-16;5.8400435550062809e-08
9728;0.0000000000000000e+00;4.3803851307817208e-08;0.0000000000000000e+00;2.5328081689362671e-08;1.0812950840573651e-16;6.0967598498855162e-08
10240;0.0000000000000000e+00;4.2658605697475531e-08;0.0000000000000000e+00;2.3945976803626490e-08;1.0888850990868213e-16;6.1168985478257482e-08
10752;0.0000000000000000e+00;3.9329520071274992e-08;0.0000000000000000e+00;2.2676882443325772e-08;1.0453564709555606e-16;5.8606271733754128e-08
11264;0.0000000000000000e+00;3.8218068101021987e-08;0.0000000000000000e+00;2.1775169980969197e-08;1.0673225970824421e-16;5.9826755830529749e-08
11776;0.0000000000000000e+00;3.6673624048656736e-08;0.0000000000000000e+00;2.0568210591314839e-08;1.0181106968132207e-16;5.7832579624797972e-08
12288;0.0000000000000000e+00;3.4765545248851873e-08;0.0000000000000000e+00;1.9850083329389754e-08;1.0594786254659026e-16;5.8283835056064692e-08
12800;0.0000000000000000e+00;3.3606108894668801e-08;0.0000000000000000e+00;1.9136309710057541e-08;1.0075701988158118e-16;5.6135144107601281e-08
13312;0.0000000000000000e+00;3.1870004067283521e-08;0.0000000000000000e+00;1.8222328654138159e-08;1.0332512478754406e-16;5.7088002005590194e-08
13824;0.0000000000000000e+00;3.1101598951938130e-08;0.0000000000000000e+00;1.7750684084909699e-08;9.9462406783576263e-17;5.4904889489068825e-08
14336;0.0000000000000000e+00;2.9748655986813011e-08;0.0000000000000000e+00;1.7071236714943658e-08;9.4705065045935928e-17;5.3200046965091521e-08
14848;0.0000000000000000e+00;2.8985245125531441e-08;0.0000000000000000e+00;1.6329928147246475e-08;9.7105171077011625e-17;5.3209271936832317e-08
15360;0.0000000000000000e+00;2.8063472807921267e-08;0.0000000000000000e+00;1.5958605748099156e-08;9.3307191902106266e-17;5.1803208986466287e-08
15872;0.0000000000000000e+00;2.7553258433054079e-08;0.0000000000000000e+00;1.5454274143625426e-08;9.1497664550843009e-17;5.0573761007158871e-08
16384;0.0000000000000000e+00;3.7424532773598363e-08;0.0000000000000000e+00;2.0878951052095629e-08;9.7752872564118465e-17;5.4035544823489635e-08
16896;0.0000000000000000e+00;4.9976339250368019e-08;0.0000000000000000e+00;2.8980345558490522e-08;1.0491096188411245e-16;6.0373172894367725e-08
17408;0.0000000000000000e+00;4.9029592473151544e-08;0.0000000000000000e+00;2.8269052276117613e-08;1.0317174039457089e-16;5.9574935122788912e-08
17920;0.0000000000000000e+00;4.7532272390092725e-08;0.0000000000000000e+00;2.7382365201097246e-08;1.1012648533008342e-16;6.1956644248408951e-08
18432;0.0000000000000000e+00;4.6348733333827872e-08;0.0000000000000000e+00;2.6633436959902170e-08;1.0721067262012945e-16;6.1442753043045798e-08
18944;0.0000000000000000e+00;4.5100675181465222e-08;0.0000000000000000e+00;2.5885992657006107e-08;1.1431186061675232e-16;6.4508242438658632e-08
19456;0.0000000000000000e+00;4.3290403318604652e-08;0.0000000000000000e+00;2.5081833279158990e-08;1.1075449333009885e-16;6.3941119277344234e-08
