Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
512;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.1264000087976456e-02;1.1264000087976456e-02
1024;2.1503999829292297e-02;1.7408000305294991e-02;2.1503999829292297e-02;1.7408000305294991e-02;2.0479999482631683e-02;1.4336000196635723e-02
1536;3.2767999917268753e-02;2.4576000869274139e-02;3.2767999917268753e-02;2.5599999353289604e-02;3.2767999917268753e-02;2.2528000175952911e-02
2048;4.8128001391887665e-02;3.0719999223947525e-02;4.8128001391887665e-02;3.0719999223947525e-02;4.8128001391887665e-02;2.9696000739932060e-02
2560;6.9632001221179962e-02;4.0959998965263367e-02;6.8608000874519348e-02;4.1983999311923981e-02;6.9632001221179962e-02;4.0959998965263367e-02
3072;9.5232002437114716e-02;5.5296000093221664e-02;9.5232002437114716e-02;5.6320000439882278e-02;9.6256002783775330e-02;5.4271999746561050e-02
3584;1.2492799758911133e-01;7.1680001914501190e-02;1.2492799758911133e-01;7.2704002261161804e-02;1.2697599828243256e-01;7.4752002954483032e-02
4096;1.6076800227165222e-01;8.6015999317169189e-02;1.6076800227165222e-01;8.6015999317169189e-02;1.6179199516773224e-01;8.6015999317169189e-02
4608;2.0070399343967438e-01;1.0547199845314026e-01;2.0172800123691559e-01;1.0649599879980087e-01;2.0275199413299561e-01;1.1161600053310394e-01
5120;2.4575999379158020e-01;1.2902399897575378e-01;2.4575999379158020e-01;1.2902399897575378e-01;2.4883200228214264e-01;1.3107199966907501e-01
5632;2.9491201043128967e-01;1.5257599949836731e-01;2.9491201043128967e-01;1.5360000729560852e-01;3.1744000315666199e-01;1.5564799308776855e-01
6144;3.4815999865531921e-01;1.7817600071430206e-01;3.4918400645256042e-01;1.7919999361038208e-01;3.8912001252174377e-01;1.8636800348758698e-01
6656;4.0755200386047363e-01;2.0787200331687927e-01;4.0857601165771484e-01;2.0889599621295929e-01;4.5465600490570068e-01;2.4678400158882141e-01
7168;4.7104001045227051e-01;2.4268800020217896e-01;4.7104001045227051e-01;2.4371199309825897e-01;5.0380802154541016e-01;2.8774398565292358e-01
7680;5.3759998083114624e-01;2.7443200349807739e-01;5.3759998083114624e-01;2.7443200349807739e-01;5.5603200197219849e-01;3.0720001459121704e-01
8192;6.1030399799346924e-01;3.1027200818061829e-01;6.1030399799346924e-01;3.1027200818061829e-01;6.1644798517227173e-01;3.2460799813270569e-01
8704;6.8710398674011230e-01;3.4815999865531921e-01;6.8710398674011230e-01;3.4815999865531921e-01;6.9939202070236206e-01;3.6761599779129028e-01
9216;7.6902401447296143e-01;3.8912001252174377e-01;7.6902401447296143e-01;3.9014399051666260e-01;7.7721601724624634e-01;4.0959998965263367e-01
9728;8.5504001379013062e-01;4.3212801218032837e-01;8.5504001379013062e-01;4.3315199017524719e-01;8.6630398035049438e-01;4.5363199710845947e-01
10240;9.4617599248886108e-01;4.7923201322555542e-01;9.4515198469161987e-01;4.7820800542831421e-01;9.5436799526214600e-01;4.9459201097488403e-01
10752;1.0424319505691528e+00;5.2633601427078247e-01;1.0424319505691528e+00;5.2633601427078247e-01;1.0536960363388062e+00;5.5398398637771606e-01
11264;1.1448320150375366e+00;5.7753598690032959e-01;1.1438080072402954e+00;5.7753598690032959e-01;1.1745280027389526e+00;6.0211199522018433e-01
11776;1.2482559680938721e+00;6.2873601913452148e-01;1.2472319602966309e+00;6.2873601913452148e-01;1.3537280559539795e+00;6.5126401185989380e-01
12288;1.3567999601364136e+00;6.8505597114562988e-01;1.3567999601364136e+00;6.8505597114562988e-01;1.4335999488830566e+00;7.0451200008392334e-01
12800;1.4735360145568848e+00;7.4137598276138306e-01;1.4735360145568848e+00;7.4137598276138306e-01;1.5185920000076294e+00;7.7824002504348755e-01
13312;1.5943679809570312e+00;8.0179202556610107e-01;1.5943679809570312e+00;8.0076801776885986e-01;1.6230399608612061e+00;8.7756800651550293e-01
13824;1.7151999473571777e+00;8.6527997255325317e-01;1.7151999473571777e+00;8.6323201656341553e-01;1.7367039918899536e+00;9.2057597637176514e-01
14336;1.8431999683380127e+00;9.2979198694229126e-01;1.8431999683380127e+00;9.2672002315521240e-01;1.8616319894790649e+00;9.8713600635528564e-01
14848;1.9773440361022949e+00;9.9635201692581177e-01;1.9773440361022949e+00;9.9430400133132935e-01;2.0019199848175049e+00;1.0434559583663940e+00
15360;2.1155838966369629e+00;1.0639359951019287e+00;2.1155838966369629e+00;1.0629119873046875e+00;2.1381120681762695e+00;1.1018240451812744e+00
15872;2.2599680423736572e+00;1.1438080072402954e+00;2.2599680423736572e+00;1.1479040384292603e+00;2.3050239086151123e+00;1.1786240339279175e+00
16384;2.4043519496917725e+00;1.2113920450210571e+00;2.4053759574890137e+00;1.2083200216293335e+00;2.4197120666503906e+00;1.2277760505676270e+00
16896;2.5579519271850586e+00;1.2892160415649414e+00;2.5579519271850586e+00;1.2892160415649414e+00;2.6112000942230225e+00;1.3168640136718750e+00
17408;2.7135999202728271e+00;1.3639680147171021e+00;2.7146239280700684e+00;1.3629440069198608e+00;2.8047358989715576e+00;1.4049279689788818e+00
17920;2.8753919601440430e+00;1.4469120502471924e+00;2.8753919601440430e+00;1.4499839544296265e+00;3.0003199577331543e+00;1.4827519655227661e+00
18432;3.0402560234069824e+00;1.5278079509735107e+00;3.0402560234069824e+00;1.5267839431762695e+00;3.1150081157684326e+00;1.5749119520187378e+00
18944;3.2307200431823730e+00;1.6691199541091919e+00;3.2286720275878906e+00;1.6895999908447266e+00;3.3157119750976562e+00;1.7059839963912964e+00
19456;3.3873920440673828e+00;1.7018879652023315e+00;3.3884160518646240e+00;1.7039359807968140e+00;3.4334719181060791e+00;1.8001919984817505e+00
19968;3.5676159858703613e+00;1.7899520397186279e+00;3.5686399936676025e+00;1.7889280319213867e+00;3.6106240749359131e+00;1.8749439716339111e+00
20480;3.7529599666595459e+00;1.8810880184173584e+00;3.7529599666595459e+00;1.8800640106201172e+00;3.7908480167388916e+00;1.9404799938201904e+00
20992;3.9413759708404541e+00;1.9763200283050537e+00;3.9403519630432129e+00;1.9773440361022949e+00;3.9792640209197998e+00;2.0469760894775391e+00
21504;4.1605119705200195e+00;2.0736000537872314e+00;4.1615362167358398e+00;2.0756480693817139e+00;4.2250242233276367e+00;2.1493759155273438e+00
22016;4.3724799156188965e+00;2.1739521026611328e+00;4.3735041618347168e+00;2.1780478954315186e+00;4.4124159812927246e+00;2.2231040000915527e+00
22528;4.5588479042053223e+00;2.2855679988861084e+00;4.5619201660156250e+00;2.2906880378723145e+00;4.6735358238220215e+00;2.3531520366668701e+00
23040;4.7482881546020508e+00;2.3787519931793213e+00;4.7482881546020508e+00;2.3818240165710449e+00;4.8486399650573730e+00;2.4442880153656006e+00
23552;4.9623041152954102e+00;2.4842240810394287e+00;4.9612798690795898e+00;2.4862720966339111e+00;5.1138558387756348e+00;2.5589759349822998e+00
24064;5.1783680915832520e+00;2.5948159694671631e+00;5.1783680915832520e+00;2.5978879928588867e+00;5.3104639053344727e+00;2.6849279403686523e+00
24576;5.3985280990600586e+00;2.7054080963134766e+00;5.3985280990600586e+00;2.7084798812866211e+00;5.4804477691650391e+00;2.7781119346618652e+00
