Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
524288;0.0000000000000000e+00;2.7467372381547410e-07;6.7442045028588767e-16;1.7241897326184930e-08;4.3879286364394160e-16;1.5312254830360979e-07
4747489;0.0000000000000000e+00;6.2969246711663842e-07;6.2900232393358128e-16;5.1003615786421994e-08;1.1821879017707237e-15;7.5123855916101213e-08
8970690;0.0000000000000000e+00;1.0078987214882997e-06;1.4872950194717600e-15;6.4191680013893750e-08;1.3255509236220458e-15;8.1926324569013850e-08
13193891;0.0000000000000000e+00;9.0190985445922128e-06;2.4154966769780609e-14;2.2079394196801107e-06;1.5176225813501701e-14;4.3626515405044485e-06
17417092;0.0000000000000000e+00;7.0986403527069993e-07;2.0022493918251720e-15;7.4394628898209830e-08;1.7439671856539670e-15;2.4020060987204687e-07
21640293;0.0000000000000000e+00;7.9701373204103546e-07;1.0523184826108255e-15;5.9613518911631563e-08;1.5187453135456891e-15;1.4785664471511225e-07
25863494;0.0000000000000000e+00;9.7885870208759673e-07;1.1292697038018741e-15;1.3689440746448161e-07;1.9802694137066939e-15;2.2355539620898539e-07
30086695;0.0000000000000000e+00;9.5470288692012193e-06;1.5277258311740986e-14;2.6867969006785471e-06;2.9705387538900897e-14;5.7087878575014729e-06
34309896;0.0000000000000000e+00;4.6848923307677115e-07;1.4750806943088718e-15;1.1457305353856721e-07;8.8507187330564300e-16;1.4332025024963763e-07
38533097;0.0000000000000000e+00;1.1576660785893335e-06;1.8140745908038980e-15;1.6012649124311002e-07;9.4480593576861835e-16;1.3219117952332103e-07
42756298;0.0000000000000000e+00;7.2963806312465189e-07;5.8197497741254309e-16;1.0648828246234657e-07;1.8343116208111124e-15;1.3590073797905644e-07
46979499;0.0000000000000000e+00;7.8991635545137622e-07;8.9775726265993082e-16;8.8158434784798340e-08;8.6318585651647326e-16;1.1893177123529575e-07
51202700;0.0000000000000000e+00;3.6196899320278303e-07;1.0295257982108559e-15;1.4335118166377988e-07;1.3135518235840904e-15;4.0375163516678402e-07
55425901;0.0000000000000000e+00;3.4279021205553517e-07;9.6812298006759088e-16;9.3298178731939847e-08;1.0523559623133164e-15;2.0072573102550707e-07
59649102;0.0000000000000000e+00;8.4816607471397048e-07;7.4773316374265792e-16;1.3981161715296321e-07;1.1748787987716733e-15;2.1420137452075441e-07
63872303;0.0000000000000000e+00;1.1479276996295228e-06;1.5152111287528547e-15;2.2259595891479283e-07;8.7120271407227210e-16;6.3075244670679885e-07
68095504;0.0000000000000000e+00;3.3631888941500790e-06;7.6466090621672320e-15;1.6991688150387412e-06;8.4665473783735841e-15;1.8223818302000997e-06
72318705;0.0000000000000000e+00;1.0516029200939978e-06;1.4453501366349685e-15;2.4321192669094660e-07;2.0859533006136593e-15;2.6655083533333994e-07
76541906;0.0000000000000000e+00;5.0303807814102860e-07;1.4034184223724934e-15;3.1586412538030853e-07;1.7495951141371149e-15;2.0181098951522578e-07
80765107;0.0000000000000000e+00;8.3635747750953348e-06;1.7596277015323399e-14;3.4974330118344229e-06;2.0036567163561986e-14;2.9608332942512312e-06
84988308;0.0000000000000000e+00;3.9131118632576634e-06;4.6993254759930432e-15;1.3694186123441268e-06;1.7188193790516495e-14;7.5730690040794396e-07
89211509;0.0000000000000000e+00;5.4440595704932821e-06;8.7273603604286810e-15;1.8046232467075964e-06;2.1897375681843596e-14;2.5313841224788737e-06
93434710;0.0000000000000000e+00;8.1168343848704887e-07;9.2785699238349412e-16;3.2540017084159936e-07;4.2895437446226145e-15;1.4887161414152103e-06
97657911;0.0000000000000000e+00;8.5540535596252424e-07;1.9134798594005412e-15;2.2974901085196248e-07;3.8846776632671813e-15;1.3686977256096433e-06
101881112;0.0000000000000000e+00;1.6296478759945539e-06;1.8520710245234885e-15;3.2027381171215566e-07;3.4135887627842259e-15;1.5873839119844321e-06
106104313;0.0000000000000000e+00;1.2429094575311632e-06;2.2550768050311834e-15;3.3976941922498337e-07;4.5485224353159786e-15;1.5134128033265919e-06
110327514;0.0000000000000000e+00;9.3787026964205086e-07;1.7883281319817763e-15;2.3840691783140227e-07;2.6501503994319466e-15;6.7510120482696253e-07
