Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
6140;3.5225600004196167e-01;1.9148799777030945e-01;3.5225600004196167e-01;1.8636800348758698e-01;3.9116799831390381e-01;1.9046400487422943e-01
6141;3.5328000783920288e-01;1.9148799777030945e-01;3.5328000783920288e-01;1.8739199638366699e-01;3.9014399051666260e-01;1.8943999707698822e-01
6142;3.5328000783920288e-01;1.9148799777030945e-01;3.5225600004196167e-01;1.8636800348758698e-01;3.8809600472450256e-01;1.8943999707698822e-01
6143;3.5328000783920288e-01;1.9148799777030945e-01;3.5225600004196167e-01;1.8636800348758698e-01;3.8707199692726135e-01;1.9046400487422943e-01
6144;3.4918400645256042e-01;1.8022400140762329e-01;3.4918400645256042e-01;1.8124799430370331e-01;3.8707199692726135e-01;1.8943999707698822e-01
6145;3.5020801424980164e-01;1.8329599499702454e-01;3.4918400645256042e-01;1.8124799430370331e-01;3.9219200611114502e-01;1.9046400487422943e-01
6146;3.5020801424980164e-01;1.8329599499702454e-01;3.5020801424980164e-01;1.8124799430370331e-01;3.9219200611114502e-01;1.8943999707698822e-01
6147;3.5020801424980164e-01;1.8227200210094452e-01;3.5020801424980164e-01;1.8124799430370331e-01;3.9014399051666260e-01;1.9046400487422943e-01
6148;3.5020801424980164e-01;1.8329599499702454e-01;3.5020801424980164e-01;1.8124799430370331e-01;3.8707199692726135e-01;1.9046400487422943e-01
6149;3.5020801424980164e-01;1.8329599499702454e-01;3.5123199224472046e-01;1.8227200210094452e-01;3.8809600472450256e-01;1.9148799777030945e-01
6150;3.5123199224472046e-01;1.8329599499702454e-01;3.5020801424980164e-01;1.8227200210094452e-01;3.8912001252174377e-01;1.9046400487422943e-01
