Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
100;0.0000000000000000e+00;8.4010161382664919e-08;0.0000000000000000e+00;4.0733500259059527e-08;1.7600942926552019e-16;9.1779414891856644e-08
200;0.0000000000000000e+00;9.5612266029399701e-08;0.0000000000000000e+00;3.8443709535829833e-08;2.4137517652272733e-16;1.0880814186770293e-07
300;0.0000000000000000e+00;9.1865356725299678e-08;0.0000000000000000e+00;3.8176546809766084e-08;2.4364375452262340e-16;1.1911346499266116e-07
400;0.0000000000000000e+00;9.7338631101359503e-08;0.0000000000000000e+00;4.2188834350718427e-08;2.4139141372695447e-16;1.1148207234576839e-07
500;0.0000000000000000e+00;9.1388811039005961e-08;0.0000000000000000e+00;3.9264225137428497e-08;2.5537556501561583e-16;1.2042384301546693e-07
600;0.0000000000000000e+00;9.1226254357772801e-08;0.0000000000000000e+00;3.7618570234921639e-08;2.3646519426162028e-16;1.1975994391006960e-07
700;0.0000000000000000e+00;9.2413135121548958e-08;0.0000000000000000e+00;3.8641267974042372e-08;2.4940423932181046e-16;1.2059921560672067e-07
800;0.0000000000000000e+00;9.1652356099861082e-08;0.0000000000000000e+00;3.8333096546654571e-08;2.5849489084418840e-16;1.1738459894112527e-07
900;0.0000000000000000e+00;9.5455184758193150e-08;0.0000000000000000e+00;3.8857012254903414e-08;2.4261561107197873e-16;1.1942965324871324e-07
1000;0.0000000000000000e+00;9.4851797046938383e-08;0.0000000000000000e+00;3.9463153548222448e-08;2.6642004902090271e-16;1.2203665702046471e-07
1100;0.0000000000000000e+00;9.5809412373496128e-08;0.0000000000000000e+00;3.8447896015559824e-08;2.5550393718199700e-16;1.1995013169579848e-07
1200;0.0000000000000000e+00;9.7722418693510185e-08;0.0000000000000000e+00;3.9188626535165535e-08;2.6815147967341746e-16;1.1569955811778586e-07
1300;0.0000000000000000e+00;9.1792266427457616e-08;0.0000000000000000e+00;3.8880648438105567e-08;2.6863311951315348e-16;1.2142263754119976e-07
