Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
100;1.0080000385642052e-02;9.7279995679855347e-03;1.0176000185310841e-02;9.7599998116493225e-03;9.9839996546506882e-03;9.4400001689791679e-03
200;1.0367999784648418e-02;1.0304000228643417e-02;1.0271999984979630e-02;1.0463999584317207e-02;1.0143999941647053e-02;9.9520003423094749e-03
300;1.0591999627649784e-02;1.0111999697983265e-02;1.0335999540984631e-02;1.0528000071644783e-02;1.0816000401973724e-02;1.0432000271975994e-02
400;1.1872000060975552e-02;1.1648000217974186e-02;1.1744000017642975e-02;1.1904000304639339e-02;1.1424000374972820e-02;1.0912000201642513e-02
500;1.2319999746978283e-02;1.2256000190973282e-02;1.2319999746978283e-02;1.2288000434637070e-02;1.2128000147640705e-02;1.1711999773979187e-02
600;1.3024000450968742e-02;1.2896000407636166e-02;1.3088000006973743e-02;1.2992000207304955e-02;1.2896000407636166e-02;1.2319999746978283e-02
700;1.4464000239968300e-02;1.3952000066637993e-02;1.4368000440299511e-02;1.4208000153303146e-02;1.4015999622642994e-02;1.3088000006973743e-02
800;1.5712000429630280e-02;1.4623999595642090e-02;1.5519999898970127e-02;1.4879999682307243e-02;1.5456000342965126e-02;1.3504000380635262e-02
900;1.7023999243974686e-02;1.5487999655306339e-02;1.7279999330639839e-02;1.5680000185966492e-02;1.7087999731302261e-02;1.4208000153303146e-02
1000;2.0031999796628952e-02;1.6511999070644379e-02;1.9743999466300011e-02;1.6736000776290894e-02;2.0096000283956528e-02;1.5391999855637550e-02
1100;2.2943999618291855e-02;1.7728000879287720e-02;2.3008000105619431e-02;1.8079999834299088e-02;2.3328000679612160e-02;1.6351999714970589e-02
1200;2.4992000311613083e-02;1.8656000494956970e-02;2.4992000311613083e-02;1.9295999780297279e-02;2.4863999336957932e-02;1.7376000061631203e-02
1300;2.7583999559283257e-02;2.0608000457286835e-02;2.7583999559283257e-02;2.0927999168634415e-02;2.7615999802947044e-02;1.9263999536633492e-02
1400;2.9791999608278275e-02;2.2399999201297760e-02;2.9567999765276909e-02;2.2975999861955643e-02;2.9247999191284180e-02;2.1247999742627144e-02
1500;3.2095998525619507e-02;2.3935999721288681e-02;3.2063998281955719e-02;2.4768000468611717e-02;3.2000001519918442e-02;2.2879999130964279e-02
