Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;1.2441657968673917e-06;3.5122729020330184e-15;1.9811632669222009e-07;3.7087412738910755e-15;6.7713663545036790e-07
3000000;0.0000000000000000e+00;1.0530214729767258e-06;1.5877682786903535e-15;9.0517965598035432e-08;3.1782236962323782e-15;2.5035223172437343e-07
5000000;0.0000000000000000e+00;7.5797976661590154e-07;1.0558241306530448e-15;5.5444854907891283e-08;1.6301272506493211e-15;9.4690952857744071e-08
7000000;0.0000000000000000e+00;6.1404796345254492e-07;1.2243459472932611e-15;7.3303295619980594e-08;1.5633930008395202e-15;1.9858583963195977e-07
9000000;0.0000000000000000e+00;8.2127822688105453e-07;4.7183909392554912e-16;6.1262207944036384e-08;1.6512642334126576e-15;6.4135564581713197e-08
11000000;0.0000000000000000e+00;2.0621773395774334e-06;8.6363747885532507e-15;6.0019678976975632e-07;3.8608297860571037e-15;2.0851786049833992e-06
13000000;0.0000000000000000e+00;2.6807328588326080e-06;5.9812237309015883e-15;5.9132321925157557e-07;6.9009406160920245e-15;8.4462451637940938e-07
15000000;0.0000000000000000e+00;1.3275345178862802e-06;5.7392636483944190e-15;3.3757088991775709e-07;5.0118079002338129e-15;5.3956926021700388e-07
17000000;0.0000000000000000e+00;1.5402698266140482e-06;2.2902091126070815e-15;2.0797867859796382e-07;2.4086953629446394e-15;3.1890613201934045e-07
19000000;0.0000000000000000e+00;7.8885489978481886e-07;1.9457584764554036e-15;1.0254400551164786e-07;1.2135793904998513e-15;3.2864053865824762e-07
21000000;0.0000000000000000e+00;7.9412258418789829e-07;1.2007877715872459e-15;8.9578805672664788e-08;1.4681425881792449e-15;1.7768166332481274e-07
23000000;0.0000000000000000e+00;2.7594652098997535e-06;5.6417960864500480e-15;3.5624754007585477e-07;8.1755310934350123e-15;1.0096285920672519e-06
25000000;0.0000000000000000e+00;8.3315435956820956e-07;2.0413103565581876e-15;1.9588127254462682e-07;2.9929538918331573e-15;1.2871789426921967e-07
27000000;0.0000000000000000e+00;1.6783966883935128e-06;1.7759007061467073e-15;3.1264901775337415e-07;1.9324295931211796e-15;3.0134317519834775e-07
29000000;0.0000000000000000e+00;1.4327078764024055e-06;2.0463168713148160e-15;4.8946146175650789e-07;4.5398694130238769e-15;1.0373378047900108e-06
31000000;0.0000000000000000e+00;2.8465446476946971e-06;6.2953663995717103e-15;9.6277546039655017e-07;8.0549917284659748e-15;1.2765835362934596e-06
33000000;0.0000000000000000e+00;6.4868467113460625e-07;6.3721654756442012e-16;9.8322641623767683e-08;1.0616184544218562e-15;1.1170468117953639e-07
35000000;0.0000000000000000e+00;6.2370323151673841e-07;1.3401381781311846e-15;9.4014607841492017e-08;1.9478981889023059e-15;1.2874265113785642e-07
37000000;0.0000000000000000e+00;6.3803998656854457e-07;8.0772333244566171e-16;1.1808884151357296e-07;9.2742851161621846e-16;1.4018637444204097e-07
39000000;0.0000000000000000e+00;1.1512160189943296e-06;1.2393767263295054e-15;1.6697874140694490e-07;9.3888382488078703e-16;1.4517693110209915e-07
