Num rows;Error TRSV multi-kernel fp64;Error TRSV single kernel fp64;Error TRSV fp64;Error CUBLAS TRSV fp64
50;+1.4339919265638844e-16;+1.4339919265638844e-16;+3.5058724811751602e-16;+0.0000000000000000e+00
100;+2.5627360793308149e-16;+5.6101054142194744e-16;+3.1601548907040838e-15;+0.0000000000000000e+00
150;+5.4238056205717308e-16;+9.5034762843552808e-16;+7.8223725072207236e-16;+0.0000000000000000e+00
200;+9.5058705773220778e-16;+1.0147842516882480e-15;+5.2532374463399264e-16;+0.0000000000000000e+00
250;+7.1254742698505134e-15;+4.0813338060960888e-15;+5.1840510998649447e-15;+0.0000000000000000e+00
300;+3.6893827479782052e-16;+4.0169073968603626e-16;+6.1501136593847415e-16;+0.0000000000000000e+00
350;+1.0924415276685482e-15;+8.2103921159250740e-16;+1.2511216342613022e-15;+0.0000000000000000e+00
400;+5.8927706198616965e-16;+9.6915305801088271e-16;+1.0931323895861750e-15;+0.0000000000000000e+00
450;+9.6802300500221941e-16;+1.5938304819577891e-15;+1.9937201359002050e-15;+0.0000000000000000e+00
500;+6.7100717598630830e-16;+7.5268204846614858e-16;+1.7031743167717737e-15;+0.0000000000000000e+00
550;+1.0673752309088668e-15;+1.9495788097390407e-15;+4.7909368140267660e-15;+0.0000000000000000e+00
600;+2.8184136750613676e-15;+3.7112309620315306e-15;+3.9694729067751623e-15;+0.0000000000000000e+00
650;+1.5289734063556228e-15;+2.3092992773526992e-15;+1.3760632211565138e-15;+0.0000000000000000e+00
700;+6.8992732329860545e-16;+1.3897045548802600e-15;+4.6415868894826488e-15;+0.0000000000000000e+00
750;+5.7528193806226436e-15;+6.0529011020295072e-15;+5.5225564278218574e-15;+0.0000000000000000e+00
800;+2.7056443781710744e-15;+1.0213555348933201e-15;+9.7693754104042106e-16;+0.0000000000000000e+00
850;+1.6468725676928160e-14;+1.1393644937399191e-14;+1.6233225661177647e-14;+0.0000000000000000e+00
900;+1.5033206150701536e-15;+8.2637893050109031e-15;+1.4482264785247438e-15;+0.0000000000000000e+00
950;+3.4554227555061098e-15;+5.7579498132527146e-15;+4.5964893889831709e-15;+0.0000000000000000e+00
1000;+1.5956045805018470e-15;+1.3258521141470373e-15;+6.5863115062904519e-15;+0.0000000000000000e+00
1050;+7.0890443998273433e-16;+1.5008536880840620e-15;+1.3590442993253872e-15;+0.0000000000000000e+00
1100;+6.5722206161134409e-15;+2.3248126072759675e-14;+8.6592661443922804e-15;+0.0000000000000000e+00
1150;+1.0746679157835733e-15;+4.0156644092804715e-15;+9.8702153564257917e-15;+0.0000000000000000e+00
1200;+2.6445217315636761e-15;+2.6169828490294231e-15;+3.4832238251626962e-15;+0.0000000000000000e+00
1250;+1.2583881402217337e-15;+1.7406329353386425e-15;+3.1206998829112561e-15;+0.0000000000000000e+00
1300;+2.7251015078163803e-15;+7.3028089508107773e-15;+2.2171994000309458e-15;+0.0000000000000000e+00
