Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
50;+6.5664000809192657e-02;+6.3455998897552490e-02;+6.5503999590873718e-02;+6.5952003002166748e-02;+6.3551999628543854e-02;+2.7968000620603561e-02;+2.6559999212622643e-02
100;+6.8704001605510712e-02;+6.7263998091220856e-02;+6.9247998297214508e-02;+6.9568000733852386e-02;+6.7616000771522522e-02;+3.2800000160932541e-02;+3.1168000772595406e-02
150;+7.0592001080513000e-02;+7.0143997669219971e-02;+7.1295998990535736e-02;+7.1488000452518463e-02;+7.0399999618530273e-02;+3.6191999912261963e-02;+3.3727999776601791e-02
200;+7.4111998081207275e-02;+7.4592001736164093e-02;+7.5456000864505768e-02;+7.5552001595497131e-02;+7.4784003198146820e-02;+4.1567999869585037e-02;+3.8623999804258347e-02
250;+7.5520001351833344e-02;+7.7632002532482147e-02;+7.7760003507137299e-02;+7.7504001557826996e-02;+7.7664002776145935e-02;+4.4383998960256577e-02;+4.1567999869585037e-02
300;+7.9584002494812012e-02;+8.1632003188133240e-02;+8.1568002700805664e-02;+8.1312000751495361e-02;+8.1727996468544006e-02;+4.9823999404907227e-02;+4.6496000140905380e-02
350;+8.1727996468544006e-02;+8.4863997995853424e-02;+8.4127999842166901e-02;+8.3616003394126892e-02;+8.4991998970508575e-02;+5.2416000515222549e-02;+4.8512000590562820e-02
400;+8.5280001163482666e-02;+8.8895998895168304e-02;+8.7935999035835266e-02;+8.7424002587795258e-02;+8.8991999626159668e-02;+5.8143999427556992e-02;+5.4111998528242111e-02
450;+8.8735997676849365e-02;+9.2960000038146973e-02;+9.2000000178813934e-02;+9.0943999588489532e-02;+9.3280002474784851e-02;+6.3583999872207642e-02;+5.8591999113559723e-02
500;+9.0815998613834381e-02;+9.6096001565456390e-02;+9.4272002577781677e-02;+9.3024000525474548e-02;+9.6160002052783966e-02;+6.6816002130508423e-02;+6.1567999422550201e-02
550;+9.4431996345520020e-02;+1.0025600343942642e-01;+9.8208002746105194e-02;+9.7312003374099731e-02;+1.0051199793815613e-01;+7.2319999337196350e-02;+6.6688001155853271e-02
600;+9.6415996551513672e-02;+1.0329599678516388e-01;+1.0057599842548370e-01;+9.9423997104167938e-02;+1.0371199995279312e-01;+7.5167998671531677e-02;+6.9183997809886932e-02
650;+9.9936001002788544e-02;+1.0761599987745285e-01;+1.0508800297975540e-01;+1.0304000228643417e-01;+1.0784000158309937e-01;+8.1408001482486725e-02;+7.4175998568534851e-02
700;+1.0204800218343735e-01;+1.1072000116109848e-01;+1.0713600367307663e-01;+1.0524799674749374e-01;+1.1059200018644333e-01;+8.3360001444816589e-02;+7.7504001557826996e-02
750;+1.0486400127410889e-01;+1.1468800157308578e-01;+1.1094400286674500e-01;+1.0905600339174271e-01;+1.1500799655914307e-01;+8.9631997048854828e-02;+8.2175999879837036e-02
800;+1.0742399841547012e-01;+1.1744000017642975e-01;+1.1308799684047699e-01;+1.1097600311040878e-01;+1.1766400188207626e-01;+9.2479996383190155e-02;+8.5312001407146454e-02
850;+1.1084800213575363e-01;+1.2160000205039978e-01;+1.1695999652147293e-01;+1.1539199948310852e-01;+1.2185599654912949e-01;+9.9200002849102020e-02;+9.0015999972820282e-02
900;+1.1420799791812897e-01;+1.2563200294971466e-01;+1.2115199863910675e-01;+1.1884800344705582e-01;+1.2569600343704224e-01;+1.0470400005578995e-01;+9.4240002334117889e-02
950;+1.1635199934244156e-01;+1.2876799702644348e-01;+1.2355200201272964e-01;+1.2083200365304947e-01;+1.2902399897575378e-01;+1.0764800012111664e-01;+9.8272003233432770e-02
1000;+1.2179200351238251e-01;+1.3241599500179291e-01;+1.2908799946308136e-01;+1.2444800138473511e-01;+1.3302400708198547e-01;+1.1392000317573547e-01;+1.0275200009346008e-01
1050;+1.2569600343704224e-01;+1.3635200262069702e-01;+1.3484799861907959e-01;+1.2720000743865967e-01;+1.3631999492645264e-01;+1.1779200285673141e-01;+1.0492800176143646e-01
1100;+1.3244800269603729e-01;+1.4067199826240540e-01;+1.4524799585342407e-01;+1.3094399869441986e-01;+1.4051200449466705e-01;+1.2630400061607361e-01;+1.1100800335407257e-01
1150;+1.3782399892807007e-01;+1.4348800480365753e-01;+1.5311999619007111e-01;+1.3327999413013458e-01;+1.4319999516010284e-01;+1.3065600395202637e-01;+1.1392000317573547e-01
1200;+1.4339199662208557e-01;+1.4790399372577667e-01;+1.6303999722003937e-01;+1.3750399649143219e-01;+1.4774399995803833e-01;+1.3849599659442902e-01;+1.1929599940776825e-01
1250;+1.5206399559974670e-01;+1.5193599462509155e-01;+1.7286400496959686e-01;+1.4105600118637085e-01;+1.5193599462509155e-01;+1.4720000326633453e-01;+1.2460800260305405e-01
