Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
50;+0.0000000000000000e+00;+1.1237566739836766e-07;+0.0000000000000000e+00;+8.4102796722476471e-08;+1.1237566739836766e-07;+3.5636603565011712e-16;+1.7146137194365418e-07
100;+0.0000000000000000e+00;+1.9110926967215639e-07;+0.0000000000000000e+00;+1.1424075475914074e-07;+1.9110926967215639e-07;+5.3999086442524341e-16;+2.2877406520949669e-07
150;+0.0000000000000000e+00;+2.6388337209964507e-07;+0.0000000000000000e+00;+1.4381109950543701e-07;+2.6388337209964507e-07;+7.0090862439514675e-16;+2.9777211405662875e-07
200;+0.0000000000000000e+00;+3.3173724220462318e-07;+0.0000000000000000e+00;+1.7092817678886699e-07;+3.3173724220462318e-07;+8.2405312344875175e-16;+3.5031571177861310e-07
250;+0.0000000000000000e+00;+4.5096711206318440e-07;+0.0000000000000000e+00;+1.9482267957406959e-07;+4.5096711206318440e-07;+1.0663815505594534e-15;+4.3657966137862981e-07
300;+0.0000000000000000e+00;+5.3739196339725114e-07;+0.0000000000000000e+00;+2.1997395050576884e-07;+5.3739196339725114e-07;+1.2142229710826626e-15;+4.9139310269871445e-07
350;+0.0000000000000000e+00;+5.6128509112034416e-07;+0.0000000000000000e+00;+2.3911385010364419e-07;+5.6128509112034416e-07;+1.4129008030576949e-15;+5.2309133498900502e-07
400;+0.0000000000000000e+00;+6.5621193595165523e-07;+0.0000000000000000e+00;+2.6062306077993973e-07;+6.5621193595165523e-07;+1.5304612402265794e-15;+6.2091594435308948e-07
450;+0.0000000000000000e+00;+7.1481895583582984e-07;+0.0000000000000000e+00;+2.8584096920058777e-07;+7.1481895583582984e-07;+1.7237445117689972e-15;+7.2728679705309062e-07
500;+0.0000000000000000e+00;+7.7975851406106462e-07;+0.0000000000000000e+00;+3.0604711076379472e-07;+7.7975851406106462e-07;+1.9033750427598633e-15;+8.0124802840481525e-07
550;+0.0000000000000000e+00;+8.7756116321808315e-07;+0.0000000000000000e+00;+3.1112696693487435e-07;+8.7756116321808315e-07;+1.9888447722448399e-15;+8.3078173646054905e-07
600;+0.0000000000000000e+00;+9.3617679167522503e-07;+0.0000000000000000e+00;+3.1726410959191557e-07;+9.3617679167522503e-07;+2.1830900512055326e-15;+8.6583175608763660e-07
650;+0.0000000000000000e+00;+1.0385043875008220e-06;+0.0000000000000000e+00;+3.4030510837735455e-07;+1.0385043875008220e-06;+2.4471781434325022e-15;+9.6350153812543821e-07
700;+0.0000000000000000e+00;+1.1253981564135695e-06;+0.0000000000000000e+00;+3.5326746305803303e-07;+1.1253981564135695e-06;+2.5141627073471816e-15;+1.0084465213285609e-06
750;+0.0000000000000000e+00;+1.1746327830138786e-06;+0.0000000000000000e+00;+3.7411084353818996e-07;+1.1746327830138786e-06;+2.6252698299305564e-15;+1.0469363578704203e-06
800;+0.0000000000000000e+00;+1.2301917701796005e-06;+0.0000000000000000e+00;+3.9111696507200974e-07;+1.2301917701796005e-06;+2.7819134675834363e-15;+1.0937810094194470e-06
850;+0.0000000000000000e+00;+1.2781808908879798e-06;+0.0000000000000000e+00;+4.1000431092141944e-07;+1.2781808908879798e-06;+2.9508075369797450e-15;+1.1493368983551367e-06
900;+0.0000000000000000e+00;+1.3759073145124336e-06;+0.0000000000000000e+00;+4.2993533268122583e-07;+1.3759073145124336e-06;+3.0837368969789263e-15;+1.2014920958945505e-06
950;+0.0000000000000000e+00;+1.4648809896778844e-06;+0.0000000000000000e+00;+4.5476382825237611e-07;+1.4648809896778844e-06;+3.2905479906283298e-15;+1.2552361125078557e-06
1000;+0.0000000000000000e+00;+1.5424888603036377e-06;+0.0000000000000000e+00;+4.7585306001697660e-07;+1.5424888603036377e-06;+3.5447139703200295e-15;+1.2937257162537159e-06
1050;+0.0000000000000000e+00;+1.6308381617141879e-06;+0.0000000000000000e+00;+5.0271090976855412e-07;+1.6308381617141879e-06;+3.7617117997145055e-15;+1.3910001383694937e-06
1100;+0.0000000000000000e+00;+1.7324129571359160e-06;+0.0000000000000000e+00;+5.2124786610503439e-07;+1.7324129571359160e-06;+4.0167909457202270e-15;+1.4956604535296278e-06
1150;+0.0000000000000000e+00;+1.8121555690750453e-06;+0.0000000000000000e+00;+5.4104914374633127e-07;+1.8121555690750453e-06;+4.2535135684570466e-15;+1.5772874130513604e-06
1200;+0.0000000000000000e+00;+1.8772362613297960e-06;+0.0000000000000000e+00;+5.6000424570601189e-07;+1.8772362613297960e-06;+4.5499725984723523e-15;+1.6591327160246561e-06
1250;+0.0000000000000000e+00;+1.9680879957282785e-06;+0.0000000000000000e+00;+5.7090694003212922e-07;+1.9680879957282785e-06;+4.7431716789621003e-15;+1.7317073834856871e-06
1300;+0.0000000000000000e+00;+2.1002571191314269e-06;+0.0000000000000000e+00;+5.9246737547733606e-07;+2.1002571191314269e-06;+5.0249774130116669e-15;+1.8437423297429654e-06
