Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;3.3792000263929367e-02;3.2767999917268753e-02;3.2767999917268753e-02;3.1743999570608139e-02;1.6383999958634377e-02;1.5359999611973763e-02;0.0000000000000000e+00;2.9315493751862929e-06;8.4011900140749773e-15;1.9770176497716754e-07;1.0612029491463129e-14;4.3898502151323376e-07
3000000;4.8128001391887665e-02;3.9935998618602753e-02;4.5056000351905823e-02;3.5840000957250595e-02;4.5056000351905823e-02;1.9455999135971069e-02;0.0000000000000000e+00;1.8879343409185053e-07;6.6312534987538891e-16;9.0630550444982229e-08;6.6312534987538891e-16;6.4190289240996072e-07
5000000;6.5535999834537506e-02;5.4271999746561050e-02;6.3487999141216278e-02;5.1199998706579208e-02;6.6560000181198120e-02;4.0959998965263367e-02;0.0000000000000000e+00;8.0110530879887235e-08;3.5983462198355547e-16;5.5421957812506297e-08;2.1590077319013330e-15;1.1307421079359945e-07
7000000;8.6015999317169189e-02;6.3487999141216278e-02;8.4991998970508575e-02;5.9392001479864120e-02;9.0112000703811646e-02;5.2223999053239822e-02;0.0000000000000000e+00;5.6093349511195982e-07;9.7068249955034334e-16;7.3388895193759130e-08;1.8200296866568940e-15;1.0494369616543145e-07
9000000;1.0854399949312210e-01;7.3728002607822418e-02;1.0649599879980087e-01;7.0656001567840576e-02;1.1161600053310394e-01;6.3487999141216278e-02;0.0000000000000000e+00;6.2520652747821595e-08;1.2352771767581127e-15;6.1228667701710054e-08;2.2459585031965689e-16;6.2520652747821595e-08
11000000;1.3004800677299500e-01;7.5776003301143646e-02;1.3107199966907501e-01;7.9871997237205505e-02;1.3414399325847626e-01;7.4752002954483032e-02;0.0000000000000000e+00;4.0772771235091083e-06;9.4768629543646595e-15;5.9784356298394774e-07;7.2204670128492639e-15;3.6233752618207087e-07
13000000;1.4847999811172485e-01;8.1919997930526733e-02;1.5257599949836731e-01;8.9088000357151031e-02;1.5462400019168854e-01;8.6015999317169189e-02;0.0000000000000000e+00;4.4292097869104050e-06;3.9223199619720682e-16;5.9003404968409549e-07;4.7067839543664820e-15;1.5513111435527472e-06
15000000;1.6896000504493713e-01;9.1136001050472260e-02;1.7407999932765961e-01;9.9327996373176575e-02;1.7817600071430206e-01;9.7280003130435944e-02;0.0000000000000000e+00;2.9825965402865713e-06;2.7514287756465335e-15;3.3779183983293621e-07;6.3121013088361658e-15;1.5357815747951164e-06
17000000;1.9046400487422943e-01;1.0239999741315842e-01;1.9660800695419312e-01;1.1059200018644333e-01;1.9968000054359436e-01;1.0854399949312210e-01;0.0000000000000000e+00;3.0639948489289836e-06;0.0000000000000000e+00;2.0774237676065250e-07;3.9442757218110261e-16;8.4054959978343281e-07
19000000;2.1196800470352173e-01;1.1264000087976456e-01;2.1811200678348541e-01;1.2083200365304947e-01;2.2015999257564545e-01;1.2083200365304947e-01;0.0000000000000000e+00;4.4503141731134995e-07;1.3488409393171980e-15;1.0253999656876238e-07;3.8538312551919940e-16;1.7567155288935921e-07
