Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;9.9486891307926470e-07;3.7292428880170191e-15;1.9811632582028721e-07;2.8889683131604407e-15;3.8376975703071343e-07
3000000;0.0000000000000000e+00;6.5033124555664590e-07;1.7195286768339324e-15;9.0517966551488090e-08;1.3669405764737974e-15;3.7892773270420524e-07
5000000;0.0000000000000000e+00;7.7301945294691549e-07;7.4343028319214910e-16;5.5444855506460793e-08;1.3308670739825611e-15;1.0167152976397019e-07
7000000;0.0000000000000000e+00;3.9840147058415093e-07;1.0786483130213702e-15;7.3303296201384909e-08;4.7274862811463012e-16;1.4610346378820321e-07
9000000;0.0000000000000000e+00;5.5253822141173155e-07;9.4343488520479119e-16;6.1262207740845899e-08;1.3142755905343067e-15;8.0647120525415496e-08
11000000;0.0000000000000000e+00;3.6595241963492922e-06;7.4432013089908265e-15;6.0019677790851552e-07;1.1603138206330015e-14;9.3414416771916814e-07
13000000;0.0000000000000000e+00;3.4383985048091596e-06;8.9250882917992375e-15;5.9132320301378763e-07;9.9999370181392525e-15;1.6502387801353325e-06
15000000;0.0000000000000000e+00;2.4885377993216175e-06;8.0841184483442760e-15;3.3757088315382933e-07;4.5260127148769186e-15;9.0942962500177371e-07
17000000;0.0000000000000000e+00;1.9612015003400527e-06;2.3099410831245033e-15;2.0797867526265044e-07;3.7484738866690096e-15;5.7375123563753909e-07
19000000;0.0000000000000000e+00;8.6632834919834112e-07;1.5607426288594670e-15;1.0254400346890527e-07;1.7339262179402828e-15;4.4806601851417766e-07
21000000;0.0000000000000000e+00;1.1157842837670449e-06;1.2848232891730253e-15;8.9578805723738691e-08;1.4677118756802168e-15;3.9403092211447777e-07
23000000;0.0000000000000000e+00;3.1785760596844513e-06;6.7792947758018516e-15;3.5624753577941852e-07;8.2601574908259273e-15;9.2995345154163819e-07
25000000;0.0000000000000000e+00;1.0588616738092476e-06;9.0012951879249119e-16;1.9588127224879892e-07;2.0767715832870171e-15;3.8597131301225620e-07
27000000;0.0000000000000000e+00;2.1037785942581419e-06;3.7079257374422789e-15;3.1264901905387725e-07;3.5667510048371819e-15;1.0480207014273283e-06
29000000;0.0000000000000000e+00;3.8082505002671530e-06;5.7200041059673800e-15;4.8946146008746493e-07;6.3648683235246415e-15;2.3474217258018582e-06
31000000;0.0000000000000000e+00;6.1015688292789217e-06;7.2642545033243573e-15;9.6277544988532593e-07;1.7818923383084227e-14;2.1592383437313379e-06
33000000;0.0000000000000000e+00;9.6781482149263960e-07;1.3047416194100899e-15;9.8322641472745864e-08;1.3040424991790280e-15;2.2529676910063404e-07
35000000;0.0000000000000000e+00;7.5492193403086102e-07;1.0361200584321965e-15;9.4014607413068827e-08;1.5057728844378026e-15;1.2175596506459910e-07
37000000;0.0000000000000000e+00;7.2775134977737133e-07;9.7229224178933992e-16;1.1808883901572665e-07;1.8547299651220783e-15;3.2964866600817389e-07
39000000;0.0000000000000000e+00;6.5349364338460674e-07;1.2581760295171599e-15;1.6697874067477854e-07;1.9716185202129295e-15;6.4409764264872393e-07
41000000;0.0000000000000000e+00;1.0716738837463502e-06;1.2768963928577961e-15;1.2586556967164545e-07;1.8156412423642980e-15;1.1152689916104913e-07
43000000;0.0000000000000000e+00;5.6676662668439021e-07;1.2406269467482883e-15;9.6048082598365588e-08;9.2164472791298255e-16;1.2828092983708684e-07
45000000;0.0000000000000000e+00;5.4240516463646350e-07;8.7972516248947293e-16;1.2279962375366413e-07;1.8189723327016498e-15;2.8152495395641567e-07
47000000;0.0000000000000000e+00;5.1208056535492084e-07;1.1643699501482006e-15;8.8504138033842825e-08;1.6141683149467490e-15;1.2854758641573036e-07
49000000;0.0000000000000000e+00;6.4405608977202284e-07;1.1397802265687287e-15;1.1316774934742725e-07;2.7931105139651554e-15;2.1068524194091896e-07
51000000;0.0000000000000000e+00;1.3263653081662925e-06;1.3115486264663674e-15;1.2899613685916920e-07;2.7046138832214812e-15;1.6145768058004490e-07
53000000;0.0000000000000000e+00;1.1315716237721561e-06;1.4942537924070871e-15;1.6000863496535724e-07;2.0284164716050201e-15;3.2173352199492349e-07
55000000;0.0000000000000000e+00;7.2352435625732129e-07;1.1697369911985064e-15;9.4231451919722456e-08;2.4754747990541103e-15;3.2430082470324946e-07
57000000;0.0000000000000000e+00;7.8131495736541042e-07;7.6261368471843672e-16;9.2562480407300610e-08;1.6813235497512919e-15;2.7127894181217871e-07
59000000;0.0000000000000000e+00;8.8312402156040003e-07;1.1895491105930460e-15;1.1958439293539205e-07;1.2483129714879023e-15;6.3193828547585189e-07
61000000;0.0000000000000000e+00;6.6544420401912385e-07;1.5254698674889224e-15;1.7602716663069013e-07;1.6935744825564868e-15;2.3092583442836427e-07
63000000;0.0000000000000000e+00;1.1359673563020447e-06;1.2963525291524954e-15;2.1337232339977982e-07;3.1643238480960071e-15;4.8334907036586372e-07
65000000;0.0000000000000000e+00;9.3196754232022634e-07;2.1737338904043386e-15;1.7922261459261736e-07;2.2481730780254289e-15;1.8495568037173985e-07
67000000;0.0000000000000000e+00;2.0972891272185081e-06;4.6623758966794776e-15;4.4079476849753080e-07;7.2721830934105218e-15;1.0408616860546495e-06
69000000;0.0000000000000000e+00;3.7743469629436691e-06;4.9354719919960107e-15;7.6950270912236342e-07;1.2387449632355704e-14;1.0166345650276807e-06
71000000;0.0000000000000000e+00;1.1770916665649947e-06;1.3992467564389164e-15;2.6429056492633585e-07;4.4068842450239060e-15;4.6431453667807782e-07
73000000;0.0000000000000000e+00;1.4155823928443488e-06;3.0068113147052770e-15;3.2132294309645948e-07;5.4632301992479625e-15;5.0821012779319856e-07
75000000;0.0000000000000000e+00;1.8085557371471701e-06;2.3561469644397151e-15;2.4519050724314555e-07;4.0970826087296028e-15;2.2049739623360285e-07
77000000;0.0000000000000000e+00;2.4228002354130472e-06;3.0620146932503256e-15;3.3792659609095942e-07;5.9702296312434925e-15;3.4063838194458225e-07
79000000;0.0000000000000000e+00;1.3796660735045298e-06;2.5638752839176551e-15;3.8143808145094539e-07;8.2885064127601795e-15;2.9713343849547652e-07
81000000;0.0000000000000000e+00;6.0404787029317558e-05;1.0639734575628061e-13;1.0344508630220952e-05;2.6222870198997006e-13;1.1045517181898619e-05
83000000;0.0000000000000000e+00;1.0782988592970020e-05;1.8738341833830426e-14;1.6586956441719040e-06;2.9088719030093676e-14;4.7939894061945593e-06
85000000;0.0000000000000000e+00;8.5075406342701248e-06;1.1965162661392502e-14;1.3792723699467157e-06;2.4224589007884577e-14;1.9651997268407038e-06
87000000;0.0000000000000000e+00;4.6408606046556651e-06;5.3890436156850656e-15;7.7860342352116008e-07;1.3035953954389629e-14;1.1709016648794538e-06
89000000;0.0000000000000000e+00;4.2960636203272486e-06;6.6354854008893658e-15;9.0069557086789117e-07;1.9152963139747358e-14;1.2855970711568484e-06
91000000;0.0000000000000000e+00;3.0724516345195754e-06;6.8310861913988865e-15;5.2633352460708101e-07;1.4438359519891555e-14;7.5776180158627025e-07
93000000;0.0000000000000000e+00;4.5339625198952302e-06;5.6781524650239716e-15;5.2910378606357069e-07;1.0426292507891108e-14;5.7924291347013645e-07
95000000;0.0000000000000000e+00;3.1898317750310693e-06;4.5416781706206067e-15;4.8865881724288340e-07;1.1305034248727614e-14;1.0240951621517513e-06
97000000;0.0000000000000000e+00;2.2441811441707507e-06;2.4699851045042713e-15;2.4172908924653673e-07;5.5386911718057222e-15;7.7353372602748710e-07
