Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
100;0.0000000000000000e+00;8.4010161346761482e-08;0.0000000000000000e+00;4.0733500282582472e-08;1.2958255753663151e-16;9.1779414850175635e-08
200;0.0000000000000000e+00;9.5612266076028163e-08;0.0000000000000000e+00;3.8443709610300632e-08;2.4302176687420022e-16;1.0880814191657675e-07
300;0.0000000000000000e+00;9.1865356781921104e-08;0.0000000000000000e+00;3.8176546833705598e-08;2.6701133124746256e-16;1.2310366918076382e-07
400;0.0000000000000000e+00;9.7338631086675684e-08;0.0000000000000000e+00;4.2188834364772934e-08;2.5090967173074375e-16;1.0323257188184688e-07
500;0.0000000000000000e+00;9.1388811037479449e-08;0.0000000000000000e+00;3.9264225137093410e-08;2.7332147875486742e-16;1.3366953949473418e-07
600;0.0000000000000000e+00;9.1226254335520571e-08;0.0000000000000000e+00;3.7618570250209419e-08;2.8306462075124931e-16;1.3094198318528306e-07
700;0.0000000000000000e+00;9.2413135123758589e-08;0.0000000000000000e+00;3.8641267973752217e-08;2.6981546842978602e-16;1.2856128830888162e-07
800;0.0000000000000000e+00;9.1652356112465236e-08;0.0000000000000000e+00;3.8333096547166046e-08;2.5641246433325369e-16;1.2356175063516242e-07
900;0.0000000000000000e+00;9.5455184757728023e-08;0.0000000000000000e+00;3.8857012264578271e-08;2.6977187658786385e-16;1.2556604420207310e-07
1000;0.0000000000000000e+00;9.4851797036035600e-08;0.0000000000000000e+00;3.9463153560303195e-08;2.8356867384092074e-16;1.3650785317669826e-07
1100;0.0000000000000000e+00;9.5809412373541986e-08;0.0000000000000000e+00;3.8447896018998487e-08;2.8433137435452056e-16;1.3366574471086131e-07
1200;0.0000000000000000e+00;9.7722418708613735e-08;0.0000000000000000e+00;3.9188626520305427e-08;2.9031485473342723e-16;1.3203809925553342e-07
1300;0.0000000000000000e+00;9.1792266415851267e-08;0.0000000000000000e+00;3.8880648434713220e-08;2.8916812250333241e-16;1.3027852290074125e-07
1400;0.0000000000000000e+00;9.7320962402438042e-08;0.0000000000000000e+00;3.9927370198958586e-08;2.8403436153760775e-16;1.2830766038673761e-07
1500;0.0000000000000000e+00;9.5792043233237628e-08;0.0000000000000000e+00;4.0124106511983212e-08;2.8732533119167644e-16;1.3081251799114694e-07
1600;0.0000000000000000e+00;9.6862689426417649e-08;0.0000000000000000e+00;4.0384508422355671e-08;2.9571274715832583e-16;1.3341923299804932e-07
1700;0.0000000000000000e+00;9.9339174719591384e-08;0.0000000000000000e+00;4.0055747485362009e-08;2.8475751930659178e-16;1.3373752074668509e-07
1800;0.0000000000000000e+00;9.7049053316415740e-08;0.0000000000000000e+00;3.9610323503000764e-08;2.8777731300625322e-16;1.3084056829335802e-07
1900;0.0000000000000000e+00;9.9084605485776678e-08;0.0000000000000000e+00;4.0748728671675788e-08;2.9178072790903779e-16;1.3569183461042025e-07
2000;0.0000000000000000e+00;9.9026280232400257e-08;0.0000000000000000e+00;4.0383161351469519e-08;2.8225709757128754e-16;1.3408509777493571e-07
2100;0.0000000000000000e+00;1.0325156939545862e-07;0.0000000000000000e+00;3.9782824794991034e-08;2.9182641483247395e-16;1.3710372461232593e-07
2200;0.0000000000000000e+00;9.9495267648369874e-08;0.0000000000000000e+00;4.0868418389146987e-08;2.9501830324221691e-16;1.3734379296914768e-07
2300;0.0000000000000000e+00;1.0161463806808419e-07;0.0000000000000000e+00;3.9995837489039383e-08;3.0014959873940750e-16;1.3801261751708068e-07
2400;0.0000000000000000e+00;1.0272381191936297e-07;0.0000000000000000e+00;4.0424640785986738e-08;3.0189946933194686e-16;1.3743602312238410e-07
2500;0.0000000000000000e+00;1.0248660101506319e-07;0.0000000000000000e+00;4.1258684359047556e-08;2.9959935458502405e-16;1.4430252645231053e-07
2600;0.0000000000000000e+00;1.0291921286382007e-07;0.0000000000000000e+00;4.1066575429906351e-08;3.1345870574296725e-16;1.4446150915891633e-07
2700;0.0000000000000000e+00;1.0141456639958485e-07;0.0000000000000000e+00;3.9861570038079258e-08;3.0770666197664451e-16;1.4362004817532754e-07
2800;0.0000000000000000e+00;1.0072997335289640e-07;0.0000000000000000e+00;4.0254822112931980e-08;3.0449818819998567e-16;1.3898498448081417e-07
2900;0.0000000000000000e+00;1.0590630428868692e-07;0.0000000000000000e+00;4.0786601765431701e-08;3.0165506561517721e-16;1.4174405997356128e-07
3000;0.0000000000000000e+00;1.0187565826241088e-07;0.0000000000000000e+00;4.0434180945126378e-08;3.0235908269202508e-16;1.4217525152799759e-07
3100;0.0000000000000000e+00;1.0231007108637542e-07;0.0000000000000000e+00;4.0318882225811798e-08;3.0969479392326618e-16;1.4788056828608558e-07
3200;0.0000000000000000e+00;1.0557196923206765e-07;0.0000000000000000e+00;4.0029501837739644e-08;3.0653716418415691e-16;1.4606701650190176e-07
3300;0.0000000000000000e+00;1.0661987620561692e-07;0.0000000000000000e+00;4.0398990641945830e-08;3.0946190346221167e-16;1.4630400555745224e-07
3400;0.0000000000000000e+00;1.0628651101547977e-07;0.0000000000000000e+00;4.0959146100261606e-08;3.0227293922764004e-16;1.4543488809171574e-07
3500;0.0000000000000000e+00;1.0795621786330817e-07;0.0000000000000000e+00;4.0084611920835904e-08;3.0529633140981072e-16;1.4501362283515049e-07
3600;0.0000000000000000e+00;1.0285842947082104e-07;0.0000000000000000e+00;4.0539129539384137e-08;3.1236344961044341e-16;1.4746893811021733e-07
3700;0.0000000000000000e+00;1.0522332209277871e-07;0.0000000000000000e+00;4.0600157082141616e-08;3.0173033371950783e-16;1.4662390687499915e-07
3800;0.0000000000000000e+00;1.0703981682233936e-07;0.0000000000000000e+00;3.9852553036417996e-08;3.0725002119413934e-16;1.4813127282505167e-07
3900;0.0000000000000000e+00;1.0577056629520806e-07;0.0000000000000000e+00;4.0655309334538659e-08;3.0855742088757427e-16;1.4659690198828730e-07
4000;0.0000000000000000e+00;1.0452113619126415e-07;0.0000000000000000e+00;4.0135763016362933e-08;3.0903874616602099e-16;1.4745908325955099e-07
4100;0.0000000000000000e+00;1.0490685610274001e-07;0.0000000000000000e+00;4.0090294086141826e-08;3.1411073847155434e-16;1.4565627467270677e-07
4200;0.0000000000000000e+00;1.0944164828431826e-07;0.0000000000000000e+00;3.9852049209103799e-08;3.1676984634964319e-16;1.4867609119231551e-07
4300;0.0000000000000000e+00;1.0707134768758734e-07;0.0000000000000000e+00;3.9857510531294046e-08;3.0968332272963778e-16;1.4549672836551784e-07
4400;0.0000000000000000e+00;1.0493633806746431e-07;0.0000000000000000e+00;4.0026518883618196e-08;3.1696480799145083e-16;1.4425954534440226e-07
4500;0.0000000000000000e+00;1.0758847379634540e-07;0.0000000000000000e+00;4.0035153785710581e-08;3.1130627173766085e-16;1.4499552523980711e-07
4600;0.0000000000000000e+00;1.0737511285539581e-07;0.0000000000000000e+00;3.9130467187996323e-08;3.1372456909785996e-16;1.4550305037319496e-07
4700;0.0000000000000000e+00;1.0690537327093691e-07;0.0000000000000000e+00;4.0226478738330005e-08;3.1367132753311686e-16;1.4493057425849228e-07
4800;0.0000000000000000e+00;1.0545777612203542e-07;0.0000000000000000e+00;3.9498732279147810e-08;3.1849128599242502e-16;1.4684465507804721e-07
4900;0.0000000000000000e+00;1.0764882681542020e-07;0.0000000000000000e+00;3.9400672066305426e-08;3.1619666690046704e-16;1.4780677685943044e-07
5000;0.0000000000000000e+00;1.0903328042326492e-07;0.0000000000000000e+00;3.9949170983244094e-08;3.1645619566183242e-16;1.4714364709416616e-07
5100;0.0000000000000000e+00;1.1003091090276926e-07;0.0000000000000000e+00;3.9819296988540881e-08;3.1425269670272401e-16;1.4646060698680268e-07
5200;0.0000000000000000e+00;1.0837382541650566e-07;0.0000000000000000e+00;3.9731946747359964e-08;3.2016120544533855e-16;1.4804206937933379e-07
5300;0.0000000000000000e+00;1.0760883024721506e-07;0.0000000000000000e+00;3.9330160128161994e-08;3.2063718528932680e-16;1.4801052708026933e-07
5400;0.0000000000000000e+00;1.0916139271642506e-07;0.0000000000000000e+00;3.9755253541000723e-08;3.2157840379021296e-16;1.4841638077281769e-07
5500;0.0000000000000000e+00;1.1002107818331285e-07;0.0000000000000000e+00;3.9758108874916695e-08;3.1820505591995001e-16;1.4659930708057751e-07
5600;0.0000000000000000e+00;1.1014493508445951e-07;0.0000000000000000e+00;4.0139670162079624e-08;3.2627937235708514e-16;1.4775802634681185e-07
5700;0.0000000000000000e+00;1.0979516104481712e-07;0.0000000000000000e+00;4.0367102060009154e-08;3.2140095945194681e-16;1.5040788083808801e-07
5800;0.0000000000000000e+00;1.1118499586493452e-07;0.0000000000000000e+00;3.9691313458259262e-08;3.2619706093726861e-16;1.4105115401206092e-07
5900;0.0000000000000000e+00;1.1172383158658665e-07;0.0000000000000000e+00;4.0078808300609203e-08;3.2156904012352841e-16;1.4169659822998215e-07
6000;0.0000000000000000e+00;1.1221954484940542e-07;0.0000000000000000e+00;4.0063876658081179e-08;3.1606610041631241e-16;1.4263950021318811e-07
6100;0.0000000000000000e+00;1.1160748781751129e-07;0.0000000000000000e+00;3.9756608626757375e-08;3.2263767623446316e-16;1.4436435855414715e-07
6200;0.0000000000000000e+00;1.1370509741018814e-07;0.0000000000000000e+00;4.0326329837653661e-08;3.2652826080274079e-16;1.4346904029697458e-07
6300;0.0000000000000000e+00;1.1180969326960307e-07;0.0000000000000000e+00;4.0236936600987827e-08;3.3212474976669044e-16;1.4364763235145393e-07
6400;0.0000000000000000e+00;1.1312894835661780e-07;0.0000000000000000e+00;4.0700611699474918e-08;3.3502564324385810e-16;1.4545597261137994e-07
6500;0.0000000000000000e+00;1.1268876425832221e-07;0.0000000000000000e+00;3.9762478940141160e-08;3.2814958964790258e-16;1.4411251463336041e-07
6600;0.0000000000000000e+00;1.1287023522146048e-07;0.0000000000000000e+00;4.0393746824215398e-08;3.2623097033727723e-16;1.4286227205164400e-07
6700;0.0000000000000000e+00;1.1642857444015377e-07;0.0000000000000000e+00;4.0413625261542734e-08;3.3251213770655338e-16;1.4672019794403223e-07
6800;0.0000000000000000e+00;1.1278628105633272e-07;0.0000000000000000e+00;4.0386830740870749e-08;3.3324399290999481e-16;1.4463789314589744e-07
6900;0.0000000000000000e+00;1.1343757763936114e-07;0.0000000000000000e+00;3.9994049480142293e-08;3.2640922506584203e-16;1.4512109938951774e-07
7000;0.0000000000000000e+00;1.1255813591475835e-07;0.0000000000000000e+00;4.0067127056358794e-08;3.2889206843757428e-16;1.4640663112646782e-07
7100;0.0000000000000000e+00;1.1357193501375048e-07;0.0000000000000000e+00;4.0181272262638978e-08;3.3416117315885020e-16;1.4465975444023659e-07
7200;0.0000000000000000e+00;1.1690490128033725e-07;0.0000000000000000e+00;4.0552624662061365e-08;3.3513627611580385e-16;1.4527267260289090e-07
7300;0.0000000000000000e+00;1.1587853826676026e-07;0.0000000000000000e+00;4.0556032709382529e-08;3.1167377171581631e-16;1.4445944593492324e-07
7400;0.0000000000000000e+00;1.1816973521563340e-07;0.0000000000000000e+00;4.0249581711743007e-08;3.1261321444800738e-16;1.4316440979896348e-07
7500;0.0000000000000000e+00;1.1414318812463383e-07;0.0000000000000000e+00;4.0326147627396441e-08;3.1473826393989024e-16;1.4272780524839036e-07
7600;0.0000000000000000e+00;1.1547648607629824e-07;0.0000000000000000e+00;4.0145136272143960e-08;3.1033016544902522e-16;1.4523788152891859e-07
7700;0.0000000000000000e+00;1.1562073353859652e-07;0.0000000000000000e+00;4.0408453562215434e-08;3.1311857214898871e-16;1.4353732140161395e-07
7800;0.0000000000000000e+00;1.1798943757078426e-07;0.0000000000000000e+00;4.0429441773607766e-08;3.0909535038627785e-16;1.4173587035078588e-07
