Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
100;6.1440002173185349e-03;6.1440002173185349e-03;6.1440002173185349e-03;6.1440002173185349e-03;1.1264000087976456e-02;6.1440002173185349e-03
200;6.1440002173185349e-03;6.1440002173185349e-03;6.1440002173185349e-03;7.1680000983178616e-03;7.1680000983178616e-03;6.1440002173185349e-03
300;7.1680000983178616e-03;6.1440002173185349e-03;7.1680000983178616e-03;7.1680000983178616e-03;7.1680000983178616e-03;6.1440002173185349e-03
400;7.1680000983178616e-03;7.1680000983178616e-03;7.1680000983178616e-03;7.1680000983178616e-03;7.1680000983178616e-03;1.1264000087976456e-02
500;8.1919999793171883e-03;8.1919999793171883e-03;8.1919999793171883e-03;8.1919999793171883e-03;8.1919999793171883e-03;7.1680000983178616e-03
600;9.2160003259778023e-03;9.2160003259778023e-03;9.2160003259778023e-03;9.2160003259778023e-03;8.1919999793171883e-03;8.1919999793171883e-03
700;1.0239999741315842e-02;9.2160003259778023e-03;9.2160003259778023e-03;9.2160003259778023e-03;9.2160003259778023e-03;8.1919999793171883e-03
800;1.0239999741315842e-02;1.0239999741315842e-02;1.0239999741315842e-02;9.2160003259778023e-03;9.2160003259778023e-03;8.1919999793171883e-03
900;1.1264000087976456e-02;1.0239999741315842e-02;1.1264000087976456e-02;1.1264000087976456e-02;1.0239999741315842e-02;8.1919999793171883e-03
1000;1.1264000087976456e-02;1.1264000087976456e-02;1.1264000087976456e-02;1.1264000087976456e-02;1.0239999741315842e-02;9.2160003259778023e-03
1100;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.1264000087976456e-02;1.0239999741315842e-02
1200;1.3311999849975109e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.2288000434637070e-02;1.1264000087976456e-02;9.2160003259778023e-03
1300;1.3311999849975109e-02;1.3311999849975109e-02;1.3311999849975109e-02;1.3311999849975109e-02;1.1264000087976456e-02;1.0239999741315842e-02
1400;1.4336000196635723e-02;1.4336000196635723e-02;1.4336000196635723e-02;1.3311999849975109e-02;1.2288000434637070e-02;1.0239999741315842e-02
1500;1.5359999611973763e-02;1.4336000196635723e-02;1.5359999611973763e-02;1.5359999611973763e-02;1.4336000196635723e-02;1.3311999849975109e-02
1600;1.6383999958634377e-02;1.5359999611973763e-02;1.6383999958634377e-02;1.5359999611973763e-02;1.4336000196635723e-02;1.3311999849975109e-02
1700;1.9455999135971069e-02;1.6383999958634377e-02;1.9455999135971069e-02;1.7408000305294991e-02;1.6383999958634377e-02;1.3311999849975109e-02
1800;2.1503999829292297e-02;1.7408000305294991e-02;2.1503999829292297e-02;1.7408000305294991e-02;1.7408000305294991e-02;1.4336000196635723e-02
1900;2.5599999353289604e-02;1.8432000651955605e-02;2.5599999353289604e-02;1.8432000651955605e-02;1.9455999135971069e-02;1.5359999611973763e-02
2000;2.9696000739932060e-02;1.8432000651955605e-02;3.0719999223947525e-02;1.9455999135971069e-02;2.2528000175952911e-02;1.5359999611973763e-02
2100;3.0719999223947525e-02;1.7408000305294991e-02;2.9696000739932060e-02;1.8432000651955605e-02;2.9696000739932060e-02;1.5359999611973763e-02
2200;3.5840000957250595e-02;1.8432000651955605e-02;3.5840000957250595e-02;1.9455999135971069e-02;3.5840000957250595e-02;1.6383999958634377e-02
2300;3.8911998271942139e-02;1.9455999135971069e-02;3.8911998271942139e-02;2.1503999829292297e-02;3.9935998618602753e-02;1.7408000305294991e-02
2400;4.1983999311923981e-02;2.1503999829292297e-02;4.1983999311923981e-02;2.3552000522613525e-02;4.3007999658584595e-02;1.8432000651955605e-02
2500;4.5056000351905823e-02;2.4576000869274139e-02;4.5056000351905823e-02;2.5599999353289604e-02;4.7104001045227051e-02;1.9455999135971069e-02
2600;5.0175998359918594e-02;2.6623999699950218e-02;4.9152001738548279e-02;2.8672000393271446e-02;4.9152001738548279e-02;2.1503999829292297e-02
2700;5.2223999053239822e-02;2.9696000739932060e-02;5.2223999053239822e-02;3.0719999223947525e-02;5.2223999053239822e-02;2.3552000522613525e-02
2800;5.5296000093221664e-02;3.2767999917268753e-02;5.5296000093221664e-02;3.2767999917268753e-02;5.4271999746561050e-02;2.5599999353289604e-02
2900;5.7344000786542892e-02;3.5840000957250595e-02;5.8368001133203506e-02;3.7888001650571823e-02;5.8368001133203506e-02;3.0719999223947525e-02
3000;6.0416001826524734e-02;3.8911998271942139e-02;6.0416001826524734e-02;4.0959998965263367e-02;6.1439998447895050e-02;3.3792000263929367e-02
3100;6.6560000181198120e-02;4.5056000351905823e-02;6.5535999834537506e-02;4.5056000351905823e-02;6.5535999834537506e-02;3.6864001303911209e-02
3200;6.9632001221179962e-02;4.7104001045227051e-02;6.9632001221179962e-02;4.8128001391887665e-02;6.8608000874519348e-02;4.0959998965263367e-02
3300;7.1680001914501190e-02;4.9152001738548279e-02;7.1680001914501190e-02;5.0175998359918594e-02;7.1680001914501190e-02;4.4032000005245209e-02
3400;7.5776003301143646e-02;5.2223999053239822e-02;7.5776003301143646e-02;5.3247999399900436e-02;7.5776003301143646e-02;4.5056000351905823e-02
3500;7.9871997237205505e-02;5.5296000093221664e-02;7.9871997237205505e-02;5.6320000439882278e-02;7.8847996890544891e-02;4.8128001391887665e-02
3600;9.2160001397132874e-02;6.2463998794555664e-02;9.2160001397132874e-02;6.5535999834537506e-02;8.3967998623847961e-02;4.9152001738548279e-02
3700;9.6256002783775330e-02;6.3487999141216278e-02;9.6256002783775330e-02;6.5535999834537506e-02;8.9088000357151031e-02;5.2223999053239822e-02
3800;1.0035199671983719e-01;6.5535999834537506e-02;1.0035199671983719e-01;6.7584000527858734e-02;9.2160001397132874e-02;5.5296000093221664e-02
3900;1.0444799810647964e-01;6.4511999487876892e-02;1.0342399775981903e-01;6.6560000181198120e-02;9.6256002783775330e-02;5.6320000439882278e-02
4000;1.0137599706649780e-01;6.5535999834537506e-02;1.0137599706649780e-01;6.5535999834537506e-02;1.0035199671983719e-01;5.8368001133203506e-02
4100;1.0751999914646149e-01;6.3487999141216278e-02;1.0751999914646149e-01;6.3487999141216278e-02;1.0444799810647964e-01;5.9392001479864120e-02
4200;1.1264000087976456e-01;6.5535999834537506e-02;1.1264000087976456e-01;6.5535999834537506e-02;1.0956799983978271e-01;6.4511999487876892e-02
4300;1.1673600226640701e-01;6.7584000527858734e-02;1.1673600226640701e-01;6.8608000874519348e-02;1.1571200191974640e-01;6.5535999834537506e-02
4400;1.2083200365304947e-01;6.9632001221179962e-02;1.2083200365304947e-01;7.1680001914501190e-02;1.1878400295972824e-01;6.8608000874519348e-02
4500;1.2697599828243256e-01;7.1680001914501190e-02;1.2697599828243256e-01;7.3728002607822418e-02;1.2595200538635254e-01;7.3728002607822418e-02
4600;1.3107199966907501e-01;7.3728002607822418e-02;1.3107199966907501e-01;7.6800003647804260e-02;1.3107199966907501e-01;7.4752002954483032e-02
4700;1.3823999464511871e-01;7.9871997237205505e-02;1.3823999464511871e-01;8.0895997583866119e-02;1.3516800105571747e-01;7.8847996890544891e-02
4800;1.4233599603176117e-01;8.1919997930526733e-02;1.4233599603176117e-01;8.3967998623847961e-02;1.4028799533843994e-01;8.1919997930526733e-02
4900;1.4643199741840363e-01;8.6015999317169189e-02;1.4643199741840363e-01;8.9088000357151031e-02;1.4438399672508240e-01;8.3967998623847961e-02
5000;1.5155200660228729e-01;8.9088000357151031e-02;1.5257599949836731e-01;9.1136001050472260e-02;1.5052799880504608e-01;8.7039999663829803e-02
5100;1.5769599378108978e-01;9.1136001050472260e-02;1.5769599378108978e-01;9.3184001743793488e-02;1.5462400019168854e-01;8.9088000357151031e-02
5200;1.6486400365829468e-01;9.7280003130435944e-02;1.6486400365829468e-01;9.8304003477096558e-02;1.6179199516773224e-01;9.1136001050472260e-02
5300;1.7203199863433838e-01;1.0035199671983719e-01;1.7100800573825836e-01;1.0137599706649780e-01;1.6998399794101715e-01;9.7280003130435944e-02
5400;1.7510400712490082e-01;1.0239999741315842e-01;1.7612800002098083e-01;1.0547199845314026e-01;1.7612800002098083e-01;1.0035199671983719e-01
5500;1.8022400140762329e-01;1.0547199845314026e-01;1.8124799430370331e-01;1.0854399949312210e-01;1.8124799430370331e-01;1.0239999741315842e-01
5600;1.8534399569034576e-01;1.0854399949312210e-01;1.8636800348758698e-01;1.1161600053310394e-01;1.8636800348758698e-01;1.0444799810647964e-01
5700;1.9353599846363068e-01;1.1571200191974640e-01;1.9558399915695190e-01;1.1673600226640701e-01;1.9251200556755066e-01;1.0956799983978271e-01
5800;2.0377600193023682e-01;1.1878400295972824e-01;2.0377600193023682e-01;1.2185599654912949e-01;1.9968000054359436e-01;1.1468800157308578e-01
5900;2.1094399690628052e-01;1.1980800330638885e-01;2.0992000401020050e-01;1.2287999689579010e-01;2.0582400262355804e-01;1.1776000261306763e-01
6000;2.1913599967956543e-01;1.2595200538635254e-01;2.1811200678348541e-01;1.2902399897575378e-01;2.1299199759960175e-01;1.2185599654912949e-01
6100;2.2528000175952911e-01;1.2902399897575378e-01;2.2630399465560913e-01;1.3312000036239624e-01;2.2937600314617157e-01;1.2595200538635254e-01
6200;2.2528000175952911e-01;1.2390399724245071e-01;2.2630399465560913e-01;1.2492799758911133e-01;2.4063999950885773e-01;1.2697599828243256e-01
6300;2.2937600314617157e-01;1.2697599828243256e-01;2.3142400383949280e-01;1.3004800677299500e-01;2.4883200228214264e-01;1.2902399897575378e-01
6400;2.3654399812221527e-01;1.3107199966907501e-01;2.3654399812221527e-01;1.3312000036239624e-01;2.4678400158882141e-01;1.3312000036239624e-01
6500;2.4473600089550018e-01;1.3516800105571747e-01;2.4473600089550018e-01;1.3721600174903870e-01;2.6521599292755127e-01;1.3823999464511871e-01
6600;2.5190401077270508e-01;1.4028799533843994e-01;2.5190401077270508e-01;1.4131200313568115e-01;2.6726400852203369e-01;1.4028799533843994e-01
6700;2.6214399933815002e-01;1.4540800452232361e-01;2.6214399933815002e-01;1.4847999811172485e-01;2.7238398790359497e-01;1.4540800452232361e-01
6800;2.6828798651695251e-01;1.4950400590896606e-01;2.6828798651695251e-01;1.5360000729560852e-01;2.8057599067687988e-01;1.4950400590896606e-01
6900;2.7443200349807739e-01;1.5257599949836731e-01;2.7545601129531860e-01;1.5667200088500977e-01;2.8979200124740601e-01;1.5155200660228729e-01
7000;2.8159999847412109e-01;1.5769599378108978e-01;2.8057599067687988e-01;1.6179199516773224e-01;2.9183998703956604e-01;1.5667200088500977e-01
7100;2.8774398565292358e-01;1.6179199516773224e-01;2.8876799345016479e-01;1.6486400365829468e-01;3.0003198981285095e-01;1.5974399447441101e-01
7200;2.9900801181793213e-01;1.6793599724769592e-01;2.9798400402069092e-01;1.7100800573825836e-01;3.0822399258613586e-01;1.6179199516773224e-01
7300;3.0822399258613586e-01;1.7203199863433838e-01;3.0617600679397583e-01;1.7715199291706085e-01;3.1436800956726074e-01;1.6691200435161591e-01
7400;3.1334400177001953e-01;1.7612800002098083e-01;3.1436800956726074e-01;1.8124799430370331e-01;3.2153600454330444e-01;1.7100800573825836e-01
7500;3.2153600454330444e-01;1.8227200210094452e-01;3.2051199674606323e-01;1.8636800348758698e-01;3.3280000090599060e-01;1.7612800002098083e-01
7600;3.3075198531150818e-01;1.8534399569034576e-01;3.3075198531150818e-01;1.9046400487422943e-01;3.4406399726867676e-01;1.8022400140762329e-01
7700;3.6147201061248779e-01;1.9763199985027313e-01;3.5942399501800537e-01;2.0582400262355804e-01;3.4611201286315918e-01;1.8432000279426575e-01
7800;3.6761599779129028e-01;2.0070399343967438e-01;3.6761599779129028e-01;2.0889599621295929e-01;3.5532799363136292e-01;1.8943999707698822e-01
7900;3.6659198999404907e-01;2.0070399343967438e-01;3.6659198999404907e-01;2.0582400262355804e-01;3.6351999640464783e-01;1.9353599846363068e-01
8000;3.6249598860740662e-01;2.0275199413299561e-01;3.6147201061248779e-01;2.0684799551963806e-01;3.7580800056457520e-01;1.9763199985027313e-01
8100;3.9628800749778748e-01;2.2630399465560913e-01;3.9628800749778748e-01;2.3142400383949280e-01;3.8400000333786011e-01;2.0275199413299561e-01
8200;3.8195198774337769e-01;2.0684799551963806e-01;3.8297599554061890e-01;2.0992000401020050e-01;3.9219200611114502e-01;2.0582400262355804e-01
8300;3.9219200611114502e-01;2.1094399690628052e-01;3.9219200611114502e-01;2.1401600539684296e-01;4.0038400888442993e-01;2.1196800470352173e-01
8400;4.0038400888442993e-01;2.1606400609016418e-01;4.0038400888442993e-01;2.1913599967956543e-01;4.1267201304435730e-01;2.1606400609016418e-01
8500;4.0959998965263367e-01;2.2220799326896667e-01;4.0959998965263367e-01;2.2323200106620789e-01;4.1779199242591858e-01;2.2323200106620789e-01
8600;4.1984000802040100e-01;2.2528000175952911e-01;4.2188799381256104e-01;2.2835199534893036e-01;4.2803201079368591e-01;2.2732800245285034e-01
8700;4.2905598878860474e-01;2.3142400383949280e-01;4.3007999658584595e-01;2.3347200453281403e-01;4.3724799156188965e-01;2.3039999604225159e-01
8800;4.4134399294853210e-01;2.3756800591945648e-01;4.4031998515129089e-01;2.4268800020217896e-01;4.4851198792457581e-01;2.3756800591945648e-01
8900;4.5260798931121826e-01;2.4371199309825897e-01;4.5158401131629944e-01;2.4780799448490143e-01;4.5772799849510193e-01;2.4473600089550018e-01
9000;4.6284800767898560e-01;2.4985599517822266e-01;4.6284800767898560e-01;2.5292798876762390e-01;4.6592000126838684e-01;2.4985599517822266e-01
9100;4.7206398844718933e-01;2.5395199656486511e-01;4.7308799624443054e-01;2.5702399015426636e-01;4.7411200404167175e-01;2.5497600436210632e-01
9200;4.8230400681495667e-01;2.5702399015426636e-01;4.8230400681495667e-01;2.6214399933815002e-01;4.8332801461219788e-01;2.6009601354598999e-01
9300;4.9356800317764282e-01;2.6624000072479248e-01;4.9663999676704407e-01;2.7136000990867615e-01;4.9868801236152649e-01;2.6521599292755127e-01
9400;5.0483202934265137e-01;2.7033600211143494e-01;5.0483202934265137e-01;2.7647998929023743e-01;5.0892800092697144e-01;2.7033600211143494e-01
9500;5.1302397251129150e-01;2.7750399708747864e-01;5.1609599590301514e-01;2.8262400627136230e-01;5.1609599590301514e-01;2.7750399708747864e-01
9600;5.2428799867630005e-01;2.8262400627136230e-01;5.2428799867630005e-01;2.8774398565292358e-01;5.2223998308181763e-01;2.8159999847412109e-01
9700;5.3452801704406738e-01;2.8774398565292358e-01;5.3759998083114624e-01;2.9388800263404846e-01;5.4374402761459351e-01;2.8774398565292358e-01
9800;5.5091202259063721e-01;2.9593598842620850e-01;5.5193597078323364e-01;3.0208000540733337e-01;5.4681599140167236e-01;2.9388800263404846e-01
9900;5.6217598915100098e-01;3.0105599761009216e-01;5.6115198135375977e-01;3.0617600679397583e-01;5.6934398412704468e-01;2.9900801181793213e-01
10000;5.7241600751876831e-01;3.0822399258613586e-01;5.7036799192428589e-01;3.1231999397277832e-01;5.6831997632980347e-01;3.0412799119949341e-01
10100;5.8675199747085571e-01;3.1539198756217957e-01;5.8675199747085571e-01;3.1948798894882202e-01;5.8777600526809692e-01;3.1231999397277832e-01
10200;5.9801602363586426e-01;3.2358399033546448e-01;5.9596800804138184e-01;3.2460799813270569e-01;5.9903997182846069e-01;3.1948798894882202e-01
10300;6.0006397962570190e-01;3.1948798894882202e-01;5.9903997182846069e-01;3.2153600454330444e-01;6.1235201358795166e-01;3.2358399033546448e-01
10400;6.1132800579071045e-01;3.2358399033546448e-01;6.1132800579071045e-01;3.2767999172210693e-01;6.2156802415847778e-01;3.2870399951934814e-01
10500;6.2463998794555664e-01;3.3177599310874939e-01;6.2566399574279785e-01;3.3484798669815063e-01;6.3385599851608276e-01;3.3484798669815063e-01
10600;6.3488000631332397e-01;3.3587199449539185e-01;6.3590401411056519e-01;3.3996799588203430e-01;6.4614397287368774e-01;3.4201601147651672e-01
10700;6.4716798067092896e-01;3.4303998947143555e-01;6.4921599626541138e-01;3.4611201286315918e-01;6.6048002243041992e-01;3.4713599085807800e-01
10800;6.6355198621749878e-01;3.5225600004196167e-01;6.6252797842025757e-01;3.5635200142860413e-01;6.6457599401473999e-01;3.5328000783920288e-01
10900;6.7584002017974854e-01;3.5737600922584534e-01;6.7686402797698975e-01;3.6147201061248779e-01;6.7788797616958618e-01;3.5839998722076416e-01
11000;6.8812799453735352e-01;3.6249598860740662e-01;6.8710398674011230e-01;3.6761599779129028e-01;6.8915200233459473e-01;3.6556801199913025e-01
11100;7.0143997669219971e-01;3.6864000558853149e-01;7.0041602849960327e-01;3.7376001477241516e-01;7.0246398448944092e-01;3.7273600697517395e-01
11200;7.1065598726272583e-01;3.7376001477241516e-01;7.1270400285720825e-01;3.7990400195121765e-01;7.1577602624893188e-01;3.7785598635673523e-01
11300;7.2908800840377808e-01;3.8400000333786011e-01;7.2806400060653687e-01;3.9014399051666260e-01;7.2601598501205444e-01;3.8502401113510132e-01
11400;7.4137598276138306e-01;3.9014399051666260e-01;7.4137598276138306e-01;3.9628800749778748e-01;7.3728001117706299e-01;3.9014399051666260e-01
11500;7.5264000892639160e-01;3.9526399970054626e-01;7.5366401672363281e-01;4.0243199467658997e-01;7.5264000892639160e-01;3.9628800749778748e-01
11600;7.6595199108123779e-01;4.0345600247383118e-01;7.6697599887847900e-01;4.0959998965263367e-01;7.6288002729415894e-01;4.0345600247383118e-01
11700;7.7926397323608398e-01;4.0959998965263367e-01;7.7926397323608398e-01;4.1574400663375854e-01;7.7311998605728149e-01;4.1164800524711609e-01
11800;8.0486398935317993e-01;4.2086398601531982e-01;8.0383998155593872e-01;4.3007999658584595e-01;7.8438401222229004e-01;4.1574400663375854e-01
11900;8.1715202331542969e-01;4.2393600940704346e-01;8.1612801551818848e-01;4.3212801218032837e-01;7.9667198657989502e-01;4.2291200160980225e-01
12000;8.1817597150802612e-01;4.2905598878860474e-01;8.1919997930526733e-01;4.3315199017524719e-01;8.1203198432922363e-01;4.3007999658584595e-01
12100;8.4172797203063965e-01;4.4134399294853210e-01;8.4275197982788086e-01;4.4851198792457581e-01;8.2739198207855225e-01;4.3929600715637207e-01
12200;8.6118400096893311e-01;4.5260798931121826e-01;8.6220800876617432e-01;4.5772799849510193e-01;8.3763200044631958e-01;4.4646400213241577e-01
12300;8.6323201656341553e-01;4.5056000351905823e-01;8.6323201656341553e-01;4.5363199710845947e-01;8.4889602661132812e-01;4.5260798931121826e-01
12400;8.7551999092102051e-01;4.5465600490570068e-01;8.7551999092102051e-01;4.5772799849510193e-01;8.6323201656341553e-01;4.6079999208450317e-01
12500;8.8780802488327026e-01;4.6182399988174438e-01;8.8985598087310791e-01;4.6592000126838684e-01;8.7961602210998535e-01;4.6694400906562805e-01
12600;9.0419197082519531e-01;4.7104001045227051e-01;9.0316802263259888e-01;4.7308799624443054e-01;8.9190399646759033e-01;4.7411200404167175e-01
12700;9.1648000478744507e-01;4.7513601183891296e-01;9.1545599699020386e-01;4.7923201322555542e-01;9.0828800201416016e-01;4.8127999901771545e-01
12800;9.2672002315521240e-01;4.8332801461219788e-01;9.2774397134780884e-01;4.8742398619651794e-01;9.1340798139572144e-01;4.8435199260711670e-01
12900;9.4720000028610229e-01;4.9356800317764282e-01;9.4720000028610229e-01;4.9766400456428528e-01;9.3491202592849731e-01;4.9971199035644531e-01
13000;9.6051198244094849e-01;5.0073599815368652e-01;9.6153599023818970e-01;5.0585597753524780e-01;9.5231997966766357e-01;5.0892800092697144e-01
13100;9.7587198019027710e-01;5.0995200872421265e-01;9.7484797239303589e-01;5.1404798030853271e-01;9.6563202142715454e-01;5.1507198810577393e-01
13200;9.8918402194976807e-01;5.1507198810577393e-01;9.9020802974700928e-01;5.2019202709197998e-01;9.7791999578475952e-01;5.2428799867630005e-01
13300;1.0055680274963379e+00;5.2326399087905884e-01;1.0004479885101318e+00;5.2838397026062012e-01;9.9327999353408813e-01;5.3043198585510254e-01
13400;1.0178560018539429e+00;5.3350400924682617e-01;1.0209280252456665e+00;5.3759998083114624e-01;1.0076160430908203e+00;5.3964799642562866e-01
13500;1.0321919918060303e+00;5.3964799642562866e-01;1.0311679840087891e+00;5.4579198360443115e-01;1.0199040174484253e+00;5.4374402761459351e-01
13600;1.0455039739608765e+00;5.4886400699615479e-01;1.0455039739608765e+00;5.5398398637771606e-01;1.0301439762115479e+00;5.5500799417495728e-01
13700;1.0639359951019287e+00;5.5705600976943970e-01;1.0618879795074463e+00;5.6217598915100098e-01;1.0516480207443237e+00;5.6422400474548340e-01
13800;1.0772479772567749e+00;5.6524801254272461e-01;1.0762239694595337e+00;5.7036799192428589e-01;1.0680320262908936e+00;5.6729602813720703e-01
13900;1.0956799983978271e+00;5.7548797130584717e-01;1.0946559906005859e+00;5.8060801029205322e-01;1.0833920240402222e+00;5.7651197910308838e-01
14000;1.1089919805526733e+00;5.8367997407913208e-01;1.1100159883499146e+00;5.8982402086257935e-01;1.0997760295867920e+00;5.8675199747085571e-01
14100;1.1223039627075195e+00;5.9289598464965820e-01;1.1253759860992432e+00;5.9699201583862305e-01;1.1130880117416382e+00;5.9187197685241699e-01
14200;1.1417599916458130e+00;6.0211199522018433e-01;1.1427839994430542e+00;6.0723197460174561e-01;1.1263999938964844e+00;6.0108798742294312e-01
14300;1.1612160205841064e+00;6.1337602138519287e-01;1.1591680049896240e+00;6.1849600076675415e-01;1.1468800306320190e+00;6.1030399799346924e-01
14400;1.1591680049896240e+00;6.1235201358795166e-01;1.1612160205841064e+00;6.1542397737503052e-01;1.1530239582061768e+00;6.1542397737503052e-01
14500;1.1806720495223999e+00;6.1952000856399536e-01;1.1776000261306763e+00;6.2156802415847778e-01;1.1745280027389526e+00;6.2463998794555664e-01
14600;1.1970560550689697e+00;6.2976002693176270e-01;1.1970560550689697e+00;6.3283199071884155e-01;1.1919360160827637e+00;6.3283199071884155e-01
14700;1.2113920450210571e+00;6.3488000631332397e-01;1.2113920450210571e+00;6.3795202970504761e-01;1.2083200216293335e+00;6.4307200908660889e-01
14800;1.2288000583648682e+00;6.4512002468109131e-01;1.2267520427703857e+00;6.4716798067092896e-01;1.2288000583648682e+00;6.5535998344421387e-01
