Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;2.1039614489014191e-07;1.6299764947205680e-16;3.4170815711529223e-11;6.0541959130452731e-16;4.2303821755989636e-08
3000000;0.0000000000000000e+00;7.8792077600348712e-07;2.4833030689952823e-16;8.9325330491856216e-12;1.4123785871414193e-15;3.6905046369249435e-08
5000000;0.0000000000000000e+00;5.7806328429231428e-07;2.4206482543921172e-16;1.7010826588683913e-12;1.0241204848321733e-15;5.2511847302447899e-08
7000000;0.0000000000000000e+00;5.2208207611044795e-07;2.9265252772189649e-16;1.0199194047712286e-11;1.1307030803528390e-15;4.8290742986276822e-08
9000000;0.0000000000000000e+00;5.7737383651243157e-07;2.4828520167159603e-16;1.5296684479715777e-11;1.0138311872903617e-15;4.9165197728791559e-08
11000000;0.0000000000000000e+00;3.3467449957444333e-07;2.2013624672061026e-16;2.4809168567456829e-11;1.3716181405392211e-15;2.8820640157318263e-08
13000000;0.0000000000000000e+00;7.3183432982919755e-07;1.5763289422168388e-16;2.4196692329530039e-11;1.2610631642765146e-15;2.8871218557820616e-08
15000000;0.0000000000000000e+00;7.4409126253480195e-07;1.6143839506820941e-16;1.7252970435747270e-11;7.8235530135847569e-16;3.6778151990251255e-08
17000000;0.0000000000000000e+00;8.3289057957818948e-07;3.7250367969001845e-16;1.1370258810208046e-11;7.4500733901252871e-16;4.0294020637467027e-08
19000000;0.0000000000000000e+00;5.1127996008641634e-07;2.7447400001934397e-16;1.0322594601008732e-11;1.3527647132898770e-15;5.1724354494309007e-08
21000000;0.0000000000000000e+00;5.5002472043903107e-07;2.8379648362193912e-16;1.0586690949779342e-11;1.1706605157652096e-15;3.7994619232360505e-08
23000000;0.0000000000000000e+00;5.1670096927802065e-07;1.9433310338151718e-16;6.6242486721395777e-12;1.4574982638266195e-15;3.9853407679032003e-08
25000000;0.0000000000000000e+00;6.3856628517247508e-07;3.5759643288452027e-16;5.5925400033164210e-12;1.3409866230793713e-15;4.1677993744028161e-08
27000000;0.0000000000000000e+00;7.1684454455260014e-07;2.0696381960665274e-16;8.9010996595876286e-12;1.0624142422162636e-15;2.5467231100224045e-08
29000000;0.0000000000000000e+00;3.7771307684297227e-07;1.0277136341631862e-16;6.7622787867677483e-12;5.7808891896927857e-16;3.6159120607684582e-08
