Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
50;+0.0000000000000000e+00;+1.1237566732572120e-07;+0.0000000000000000e+00;+8.4102796778094309e-08;+1.1237566732572120e-07;+2.9305784974078999e-16;+1.7146137164167005e-07
100;+0.0000000000000000e+00;+1.9110926959105858e-07;+0.0000000000000000e+00;+1.1424075487578829e-07;+1.9110926959105858e-07;+4.4175299665765322e-16;+2.2877406519045219e-07
150;+0.0000000000000000e+00;+2.6388337208807026e-07;+0.0000000000000000e+00;+1.4381109954569937e-07;+2.6388337208807026e-07;+6.1977468517747206e-16;+2.9777211421618292e-07
200;+0.0000000000000000e+00;+3.3173724226817098e-07;+0.0000000000000000e+00;+1.7092817702421602e-07;+3.3173724226817098e-07;+7.1736001169755253e-16;+3.5031571184021040e-07
250;+0.0000000000000000e+00;+4.5096711217550917e-07;+0.0000000000000000e+00;+1.9482267980273389e-07;+4.5096711217550917e-07;+9.3904120438789654e-16;+4.3657966147136875e-07
300;+0.0000000000000000e+00;+5.3739196352071858e-07;+0.0000000000000000e+00;+2.1997395043037319e-07;+5.3739196352071858e-07;+1.1387045545232830e-15;+4.9139310245241823e-07
350;+0.0000000000000000e+00;+5.6128509121083375e-07;+0.0000000000000000e+00;+2.3911384970496981e-07;+5.6128509121083375e-07;+1.2658235506466355e-15;+5.2309133453889870e-07
400;+0.0000000000000000e+00;+6.5621193595428251e-07;+0.0000000000000000e+00;+2.6062306048761182e-07;+6.5621193595428251e-07;+1.4139306196068918e-15;+6.2091594397726361e-07
450;+0.0000000000000000e+00;+7.1481895616497541e-07;+0.0000000000000000e+00;+2.8584096864401507e-07;+7.1481895616497541e-07;+1.5783654966016605e-15;+7.2728679647820322e-07
500;+0.0000000000000000e+00;+7.7975851391703958e-07;+0.0000000000000000e+00;+3.0604711029142350e-07;+7.7975851391703958e-07;+1.7512813471591753e-15;+8.0124802798276976e-07
550;+0.0000000000000000e+00;+8.7756116301896254e-07;+0.0000000000000000e+00;+3.1112696682016502e-07;+8.7756116301896254e-07;+1.8733696723114788e-15;+8.3078173611833122e-07
600;+0.0000000000000000e+00;+9.3617679138726422e-07;+0.0000000000000000e+00;+3.1726410964622319e-07;+9.3617679138726422e-07;+1.9795145298246726e-15;+8.6583175551325128e-07
650;+0.0000000000000000e+00;+1.0385043871915728e-06;+0.0000000000000000e+00;+3.4030510855635659e-07;+1.0385043871915728e-06;+2.1501445862623496e-15;+9.6350153756015764e-07
