Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;3.2767999917268753e-02;3.2767999917268753e-02;3.1743999570608139e-02;3.1743999570608139e-02;1.6383999958634377e-02;1.4336000196635723e-02;0.0000000000000000e+00;3.6221032149061701e-07;1.1642700669443541e-16;3.4035456148004383e-11;3.4928102008330622e-16;1.2827318102212847e-08
3000000;4.8128001391887665e-02;3.9935998618602753e-02;4.5056000351905823e-02;3.5840000957250595e-02;4.5056000351905823e-02;1.8432000651955605e-02;0.0000000000000000e+00;1.3002183174043228e-06;1.5520654323857240e-16;8.9294980521447852e-12;1.5520654323857240e-16;5.0330141151425817e-08
5000000;6.5535999834537506e-02;5.4271999746561050e-02;6.3487999141216278e-02;5.0175998359918594e-02;6.6560000181198120e-02;3.9935998618602753e-02;0.0000000000000000e+00;1.1431001579693008e-06;1.8620374854507241e-16;1.6942679080116138e-12;1.1172224912704344e-15;5.6508357621239484e-08
7000000;8.6015999317169189e-02;6.3487999141216278e-02;8.4991998970508575e-02;5.8368001133203506e-02;9.0112000703811646e-02;5.1199998706579208e-02;0.0000000000000000e+00;1.2628271277268274e-06;3.9907182026109784e-16;1.0200541773753834e-11;1.7293112211314238e-15;4.8743499176731974e-08
9000000;1.0956799983978271e-01;7.3728002607822418e-02;1.0751999914646149e-01;7.0656001567840576e-02;1.1161600053310394e-01;6.2463998794555664e-02;0.0000000000000000e+00;8.4735562551706004e-07;2.0690433159156410e-16;1.5288988678627037e-11;2.0690433159156410e-16;4.1291712069447342e-08
11000000;1.3004800677299500e-01;7.5776003301143646e-02;1.2902399897575378e-01;7.9871997237205505e-02;1.3312000036239624e-01;7.3728002607822418e-02;0.0000000000000000e+00;5.4560591962345710e-08;5.0800675787849668e-16;2.4808002014238508e-11;1.8626914455544880e-15;3.6350758505784861e-08
13000000;1.4950400590896606e-01;8.1919997930526733e-02;1.5257599949836731e-01;8.9088000357151031e-02;1.5564799308776855e-01;8.4991998970508575e-02;0.0000000000000000e+00;3.4104824522014279e-07;0.0000000000000000e+00;2.4186333960772142e-11;1.1464211667763400e-15;3.3308156548483889e-08
15000000;1.6896000504493713e-01;9.1136001050472260e-02;1.7510400712490082e-01;9.9327996373176575e-02;1.7919999361038208e-01;9.6256002783775330e-02;0.0000000000000000e+00;1.6286757931631181e-06;6.2091704364061949e-16;1.7264970948653611e-11;4.9673363491249563e-16;2.8584755583838921e-08
17000000;1.9046400487422943e-01;1.0239999741315842e-01;1.9558399915695190e-01;1.0956799983978271e-01;1.9968000054359436e-01;1.0751999914646149e-01;0.0000000000000000e+00;2.1044264303696677e-06;4.3823969240521151e-16;1.1366403782067768e-11;1.5338389234182403e-15;1.3076859656000849e-08
19000000;2.1196800470352173e-01;1.1366400122642517e-01;2.1708799898624420e-01;1.1980800330638885e-01;2.2220799326896667e-01;1.1878400295972824e-01;0.0000000000000000e+00;7.9959239149768286e-07;3.9210571529089720e-16;1.0327280329331650e-11;7.8421143058179440e-16;6.2806856107455706e-08
21000000;2.3347200453281403e-01;1.2390399724245071e-01;2.3859199881553650e-01;1.3107199966907501e-01;2.4473600089550018e-01;1.3004800677299500e-01;0.0000000000000000e+00;4.7698325091649596e-07;8.8686407761157958e-16;1.0583658529401068e-11;1.2416097086562113e-15;8.5172474912845355e-10
23000000;2.5497600436210632e-01;1.3619199395179749e-01;2.6111999154090881e-01;1.4131200313568115e-01;2.6624000072479248e-01;1.4233599603176117e-01;0.0000000000000000e+00;4.9550220829497237e-07;1.6194425608779984e-16;6.6183378577962037e-12;4.8583276826339953e-15;2.6156754459139567e-08
25000000;2.7647998929023743e-01;1.4745600521564484e-01;2.8262400627136230e-01;1.5257599949836731e-01;2.8876799345016479e-01;1.5360000729560852e-01;0.0000000000000000e+00;7.1232816963674712e-07;1.4899851085564311e-16;5.5934040975208419e-12;1.3409865977007879e-15;7.2384438359058996e-08
27000000;2.9695999622344971e-01;1.5667200088500977e-01;3.0515199899673462e-01;1.6383999586105347e-01;3.1027200818061829e-01;1.6588799655437469e-01;0.0000000000000000e+00;4.7205050125848358e-08;1.3797589822396566e-16;8.9060682785605352e-12;2.0696384733594850e-15;4.7205050125848358e-08
29000000;3.1744000315666199e-01;1.6691200435161591e-01;3.2563200592994690e-01;1.7612800002098083e-01;3.3280000090599060e-01;1.7715199291706085e-01;0.0000000000000000e+00;1.0406482316773216e-06;1.2846421244095763e-16;6.7638977134413018e-12;3.8539263732287292e-16;6.1177482892415605e-09
31000000;3.3894398808479309e-01;1.7715199291706085e-01;3.4713599085807800e-01;1.8636800348758698e-01;3.5532799363136292e-01;1.8943999707698822e-01;0.0000000000000000e+00;1.1288101816586027e-06;2.4036947941558349e-16;6.1443246328211442e-12;9.6147791766233394e-16;3.1907437796721883e-08
33000000;3.5942399501800537e-01;1.8943999707698822e-01;3.6966401338577271e-01;1.9763199985027313e-01;3.7683200836181641e-01;2.0070399343967438e-01;0.0000000000000000e+00;4.9222480739501574e-07;4.5157483040212616e-16;8.3937600538071202e-12;1.0160433684047838e-15;7.3500253265461253e-09
35000000;3.8195198774337769e-01;2.0172800123691559e-01;3.9116799831390381e-01;2.0889599621295929e-01;3.9936000108718872e-01;2.1299199759960175e-01;0.0000000000000000e+00;8.9750254778631806e-07;6.3866797025192475e-16;5.3147819591131005e-12;6.3866797025192475e-16;1.6850133958587889e-08
37000000;4.0345600247383118e-01;2.1094399690628052e-01;4.1369599103927612e-01;2.2015999257564545e-01;4.2086398601531982e-01;2.2323200106620789e-01;0.0000000000000000e+00;3.7934730383595114e-07;2.0138447126961884e-16;3.3540583689955018e-12;1.0069223563480942e-15;5.4994909576476937e-08
39000000;4.2393600940704346e-01;2.2323200106620789e-01;4.3520000576972961e-01;2.3142400383949280e-01;4.4339200854301453e-01;2.3552000522613525e-01;0.0000000000000000e+00;9.4334939839864057e-07;7.6422867461653643e-16;1.3240261787731493e-13;7.6422867461653643e-16;2.0192070983295514e-08
41000000;4.4441598653793335e-01;2.3449599742889404e-01;4.5670399069786072e-01;2.4268800020217896e-01;4.6592000126838684e-01;2.4780799448490143e-01;0.0000000000000000e+00;1.4868034690604556e-06;0.0000000000000000e+00;1.2658359724799863e-12;9.0871211233308427e-16;7.4352052519414294e-08
43000000;4.6489599347114563e-01;2.4268800020217896e-01;4.7923201322555542e-01;2.5395199656486511e-01;4.8844799399375916e-01;2.5907200574874878e-01;0.0000000000000000e+00;9.7009122610332910e-07;6.9315919126557887e-16;2.7433507892313448e-12;1.2130285847147631e-15;3.9748708163494591e-08
45000000;4.8537600040435791e-01;2.5497600436210632e-01;5.0176000595092773e-01;2.6521599292755127e-01;5.1200002431869507e-01;2.7033600211143494e-01;0.0000000000000000e+00;4.2815665040510993e-07;6.6237240268198214e-16;9.9538012813034872e-13;9.9355860402297326e-16;7.2548174493602936e-08
47000000;5.0790399312973022e-01;2.6624000072479248e-01;5.2326399087905884e-01;2.7647998929023743e-01;5.3350400924682617e-01;2.8364801406860352e-01;0.0000000000000000e+00;2.8737480347614196e-07;3.1710066924854224e-16;1.2214717779453846e-12;7.9275167312135557e-16;3.2011615233229134e-08
49000000;5.2940797805786133e-01;2.7750399708747864e-01;5.4476797580718994e-01;2.8774398565292358e-01;5.5500799417495728e-01;2.9388800263404846e-01;0.0000000000000000e+00;9.6109854858079760e-07;1.5207425641374598e-16;1.4332998666995557e-12;1.8248910769649517e-15;1.8632388210038213e-08
51000000;5.5091202259063721e-01;2.8876799345016479e-01;5.6729602813720703e-01;2.9900801181793213e-01;5.7651197910308838e-01;3.0720001459121704e-01;0.0000000000000000e+00;7.8981349434694731e-07;4.3832655202016302e-16;2.4265757919836226e-12;1.0227619547137136e-15;8.3839167136306194e-08
53000000;5.7241600751876831e-01;3.0105599761009216e-01;5.8982402086257935e-01;3.1027200818061829e-01;6.0006397962570190e-01;3.1744000315666199e-01;0.0000000000000000e+00;1.0310891403717960e-06;1.4059126013217951e-16;2.8104192900422689e-13;9.8413882092525660e-16;2.5621872277698446e-08
55000000;5.9289598464965820e-01;3.1027200818061829e-01;6.1030399799346924e-01;3.2153600454330444e-01;6.2054401636123657e-01;3.2972800731658936e-01;0.0000000000000000e+00;4.1869022631240584e-07;6.7736111370399316e-16;9.7959964263871494e-13;2.7094444548159727e-16;5.5034747444807333e-08
57000000;6.1337602138519287e-01;3.2153600454330444e-01;6.3283199071884155e-01;3.3280000090599060e-01;6.4512002468109131e-01;3.4201601147651672e-01;0.0000000000000000e+00;5.8224077530385434e-07;1.3071379594493518e-16;1.9141728278176305e-12;7.8428277566961106e-16;2.0829296584340369e-08
59000000;6.3488000631332397e-01;3.3177599310874939e-01;6.5535998344421387e-01;3.4508800506591797e-01;6.6457599401473999e-01;3.5430398583412170e-01;0.0000000000000000e+00;8.0768400794731934e-07;3.7886131567303795e-16;2.5559247226355383e-12;7.5772263134607590e-16;6.1885401035338863e-08
61000000;6.5638399124145508e-01;3.4406399726867676e-01;6.7891198396682739e-01;3.5635200142860413e-01;6.9120001792907715e-01;3.6454400420188904e-01;0.0000000000000000e+00;1.2901713495446939e-06;3.6644061113104868e-16;2.4119121024645624e-12;1.5879093149012111e-15;2.1370684400395884e-08
63000000;6.7788797616958618e-01;3.5225600004196167e-01;6.9939202070236206e-01;3.6761599779129028e-01;7.0963197946548462e-01;3.7887999415397644e-01;0.0000000000000000e+00;1.9929969358051889e-06;0.0000000000000000e+00;3.0687496854585494e-12;2.3653984548954018e-16;2.4630815934406885e-08
65000000;7.0041602849960327e-01;3.6556801199913025e-01;7.2089600563049316e-01;3.7990400195121765e-01;7.3215997219085693e-01;3.8912001252174377e-01;0.0000000000000000e+00;4.5903996897590875e-07;3.4389382849678044e-16;2.2671773800031080e-12;2.2926255233118696e-16;3.3297613254059569e-08
67000000;7.2089600563049316e-01;3.7683200836181641e-01;7.4137598276138306e-01;3.9116799831390381e-01;7.5264000892639160e-01;4.0140798687934875e-01;0.0000000000000000e+00;1.0311120956380988e-06;1.1120887490438347e-16;1.4611734073686944e-12;2.5578041228008198e-15;1.6130324067124397e-08
69000000;7.4137598276138306e-01;3.8707199692726135e-01;7.6390397548675537e-01;4.0243199467658997e-01;7.7824002504348755e-01;4.1267201304435730e-01;0.0000000000000000e+00;9.5509505336455528e-07;4.3193423005511148e-16;2.2492975030119927e-12;2.3756382653031131e-15;2.7523357309733362e-08
71000000;7.6288002729415894e-01;3.9833599328994751e-01;7.8745597600936890e-01;4.1471999883651733e-01;7.9769599437713623e-01;4.2598399519920349e-01;0.0000000000000000e+00;3.5943143166358672e-07;4.1976108483040136e-16;2.7156443383102816e-12;2.5185665089824081e-15;2.1395157011076323e-08
73000000;7.8438401222229004e-01;4.0857601165771484e-01;8.0896002054214478e-01;4.2495998740196228e-01;8.2329601049423218e-01;4.3622401356697083e-01;0.0000000000000000e+00;9.4468502524786167e-07;6.1237913019749928e-16;3.0304601889706917e-12;1.2247582603949986e-15;4.1620601108832942e-08
75000000;8.0486398935317993e-01;4.1984000802040100e-01;8.3148801326751709e-01;4.3724799156188965e-01;8.4275197982788086e-01;4.4953599572181702e-01;0.0000000000000000e+00;1.0534275133609588e-06;0.0000000000000000e+00;2.4807736623216943e-12;5.9605325860684639e-16;1.3251341801806176e-08
77000000;8.2636797428131104e-01;4.3007999658584595e-01;8.5196799039840698e-01;4.4748800992965698e-01;8.6835199594497681e-01;4.6079999208450317e-01;0.0000000000000000e+00;1.2209720259744327e-06;3.8704733999772580e-16;2.9643955770425820e-12;3.8704733999772580e-16;2.5794724496085987e-08
79000000;8.4684801101684570e-01;4.4339200854301453e-01;8.7347197532653809e-01;4.5977601408958435e-01;8.8678401708602905e-01;4.7308799624443054e-01;0.0000000000000000e+00;2.9589145680273097e-06;0.0000000000000000e+00;1.7983817271062565e-12;3.0180519859135832e-15;2.2112984147043393e-08
81000000;8.6835199594497681e-01;4.5465600490570068e-01;8.9600002765655518e-01;4.7104001045227051e-01;9.1238397359848022e-01;4.8537600040435791e-01;0.0000000000000000e+00;1.7776440212497262e-07;0.0000000000000000e+00;2.1092521808367158e-12;9.1986575701557597e-16;1.9775265029636434e-08
83000000;8.8985598087310791e-01;4.6489599347114563e-01;9.1852802038192749e-01;4.8332801461219788e-01;9.3081599473953247e-01;4.9663999676704407e-01;0.0000000000000000e+00;1.1036809900083430e-06;0.0000000000000000e+00;3.3018923786367350e-12;1.4363079239352879e-15;4.3402065583891744e-08
85000000;9.1136002540588379e-01;4.7513601183891296e-01;9.4105601310729980e-01;4.9459201097488403e-01;9.5539200305938721e-01;5.0995200872421265e-01;0.0000000000000000e+00;1.4656022884392554e-07;5.2593781218264049e-16;3.0830474550146383e-12;1.5778134365479213e-15;4.1680246410593721e-08
87000000;9.3286401033401489e-01;4.8537600040435791e-01;9.6051198244094849e-01;5.0687998533248901e-01;9.7791999578475952e-01;5.2121597528457642e-01;0.0000000000000000e+00;8.1404304732103265e-08;1.7128402891676846e-16;2.1753071672429594e-12;1.0277041735006108e-15;1.0553108083476594e-08
89000000;9.5334398746490479e-01;4.9766400456428528e-01;9.8303997516632080e-01;5.1814401149749756e-01;9.9839997291564941e-01;5.3350400924682617e-01;0.0000000000000000e+00;6.9809000411017632e-07;6.6973625447760418e-16;2.0637922681727373e-12;8.3717031809700520e-16;2.1033823371534526e-08
91000000;9.7587198019027710e-01;5.0892800092697144e-01;1.0065920352935791e+00;5.2940797805786133e-01;1.0209280252456665e+00;5.4374402761459351e-01;0.0000000000000000e+00;2.6836219945345514e-08;1.6375690323018715e-16;1.3500119102296630e-12;0.0000000000000000e+00;2.6836219945345514e-08
93000000;9.9737602472305298e-01;5.2019202709197998e-01;1.0291199684143066e+00;5.4067200422286987e-01;1.0434559583663940e+00;5.5705600976943970e-01;0.0000000000000000e+00;8.7266773884646765e-07;0.0000000000000000e+00;9.1925695805745984e-13;2.0830295371704687e-15;1.2423148582123470e-08
