Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;1.7914301332795739e-07;2.4449642969068890e-16;3.4170780783582134e-11;6.0541978306693217e-16;3.4669903112338741e-08
3000000;0.0000000000000000e+00;7.7286835458346565e-07;1.8624775783131549e-16;8.9328279407818032e-12;1.7848738796808681e-15;4.0848217062970331e-08
5000000;0.0000000000000000e+00;7.2811167399669939e-07;3.5378701748567574e-16;1.6992392421928425e-12;1.6199722309394191e-15;4.2515114161142225e-08
7000000;0.0000000000000000e+00;7.8797925514143326e-07;1.7293105345689808e-16;1.0200138517330781e-11;1.0508886766285600e-15;4.1149078150497418e-08
9000000;0.0000000000000000e+00;8.5867327384901433e-07;3.1035646271720474e-16;1.5298463856757683e-11;9.3106941342909599e-16;3.9195762268174138e-08
11000000;0.0000000000000000e+00;7.4699279723445801e-07;4.4027247878838868e-16;2.4809778175510798e-11;1.4054852293972854e-15;2.2742385695651583e-08
13000000;0.0000000000000000e+00;6.6399474731463210e-07;3.2959605309469058e-16;2.4197322861079110e-11;1.1320907807225947e-15;4.2418125301952720e-08
15000000;0.0000000000000000e+00;7.2263645366763758e-07;1.9869340958425900e-16;1.7251554745265473e-11;8.9412030520217555e-16;2.9090547976044178e-08
17000000;0.0000000000000000e+00;7.8864761244298137e-07;6.5735943936153227e-16;1.1370017778387065e-11;1.4242788046571496e-15;5.8499489136801962e-08
19000000;0.0000000000000000e+00;7.8990271393496751e-07;3.3328985721497520e-16;1.0324163023887728e-11;1.3331594307521346e-15;4.5176270117776855e-08
21000000;0.0000000000000000e+00;8.1733441822186854e-07;3.9022016400503452e-16;1.0587435915611429e-11;1.2416096278397010e-15;2.8073544941396809e-08
23000000;0.0000000000000000e+00;7.2249305277649751e-07;2.7530522735094281e-16;6.6226616184677496e-12;1.6356369567682452e-15;2.9786040713358912e-08
25000000;0.0000000000000000e+00;8.5776909194799977e-07;1.7879821484356185e-16;5.5935680930579983e-12;1.0429895972052568e-15;4.1677993818527455e-08
27000000;0.0000000000000000e+00;7.2975835016468892e-07;4.0013002755980019e-16;8.9016377654671626e-12;1.4625443266250660e-15;2.9017403678142102e-08
29000000;0.0000000000000000e+00;1.0228049281811300e-06;1.9269631148563786e-16;6.7618420084427948e-12;1.3103349107034155e-15;3.6159120209445504e-08
31000000;0.0000000000000000e+00;9.3818450449222586e-07;2.0431404018523329e-16;6.1453817850010595e-12;1.0456071501891789e-15;4.8562730953258108e-08
33000000;0.0000000000000000e+00;7.3063929948183256e-07;2.5965550638598649e-16;8.3928224738368237e-12;1.3773031575803904e-15;3.3875779092627292e-08
35000000;0.0000000000000000e+00;8.1889338588835539e-07;5.3222329952032760e-16;5.3189545258390817e-12;1.2986248497725683e-15;5.5493903842874346e-08
37000000;0.0000000000000000e+00;8.8634470889333575e-07;4.8332273579915084e-16;3.3551055925164256e-12;1.3089990717743572e-15;5.1021073995467455e-08
39000000;0.0000000000000000e+00;6.3351007231737335e-07;1.7195143849562985e-16;1.3286114558276201e-13;1.1081314870310946e-15;3.4268073730592850e-08
41000000;0.0000000000000000e+00;9.0630746597700516e-07;2.5443936013432099e-16;1.2630188415813604e-12;1.3085453257418049e-15;5.4419639593439205e-08
43000000;0.0000000000000000e+00;8.0950920863554712e-07;3.4657958739201118e-16;2.7443384862377409e-12;1.3343314151084397e-15;3.6069972404468386e-08
45000000;0.0000000000000000e+00;6.8487271123462178e-07;2.3183033450741090e-16;9.9814550733055453e-13;1.5565751071907415e-15;3.8078936531419265e-08
47000000;0.0000000000000000e+00;8.2090934571428315e-07;3.1710064527429694e-16;1.2216460995232923e-12;1.2366925380378441e-15;2.9477933201907931e-08
49000000;0.0000000000000000e+00;8.1177277757564448e-07;3.1935593012442488e-16;1.4369344111224482e-12;1.2470088817841505e-15;3.3352571309755277e-08
51000000;0.0000000000000000e+00;5.1533002811263965e-07;2.3377413151940339e-16;2.4268969617361140e-12;1.4318665784480439e-15;4.4843431164188273e-08
53000000;0.0000000000000000e+00;5.5981258751898201e-07;1.9682776325694277e-16;2.8191359154510314e-13;1.4621490971898633e-15;3.7190496707672519e-08
