Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;3.2767999917268753e-02;3.2767999917268753e-02;3.4816000610589981e-02;3.4816000610589981e-02;1.7408000305294991e-02;1.4336000196635723e-02;0.0000000000000000e+00;4.6521650872047899e-07;7.2673816090583832e-16;2.0169764101971559e-08;2.0590914558998752e-15;1.4007935936154550e-07
3000000;4.8128001391887665e-02;3.9935998618602753e-02;5.1199998706579208e-02;4.5056000351905823e-02;4.6080000698566437e-02;1.9455999135971069e-02;0.0000000000000000e+00;7.9706452022543549e-07;1.9468980123444142e-16;1.8213006428141172e-08;7.7875920493776568e-16;3.9121808941230783e-08
5000000;6.5535999834537506e-02;5.4271999746561050e-02;6.9632001221179962e-02;5.9392001479864120e-02;6.8608000874519348e-02;4.0959998965263367e-02;0.0000000000000000e+00;6.4047044457048017e-07;2.1605874537183305e-16;1.9880042867548377e-08;2.1605874537183305e-16;2.9248347755042482e-07
7000000;8.6015999317169189e-02;6.3487999141216278e-02;8.4991998970508575e-02;6.7584000527858734e-02;9.0112000703811646e-02;5.2223999053239822e-02;0.0000000000000000e+00;8.8987791800323420e-08;9.5996482508744093e-16;6.2234736288193606e-09;1.0971026572427897e-15;6.0436498293293830e-07
9000000;1.0751999914646149e-01;7.4752002954483032e-02;1.0854399949312210e-01;7.8847996890544891e-02;1.1264000087976456e-01;6.2463998794555664e-02;0.0000000000000000e+00;1.5592887439309284e-06;1.2027062450383731e-14;1.2643919888838114e-07;2.5946022364872768e-14;1.3416377331527776e-06
11000000;1.3004800677299500e-01;7.6800003647804260e-02;1.2902399897575378e-01;8.0895997583866119e-02;1.3414399325847626e-01;7.3728002607822418e-02;0.0000000000000000e+00;2.3058333662895736e-06;1.3645026278587663e-14;3.2449138497977101e-08;9.4103629507501124e-15;1.8848208546545551e-06
13000000;1.4847999811172485e-01;8.1919997930526733e-02;1.5052799880504608e-01;8.3967998623847961e-02;1.5564799308776855e-01;8.6015999317169189e-02;0.0000000000000000e+00;1.6171901396091514e-06;5.8378467136974051e-15;7.0710148974860764e-08;6.2548357646757912e-15;5.0956813527226454e-07
15000000;1.6896000504493713e-01;9.1136001050472260e-02;1.7100800573825836e-01;9.2160001397132874e-02;1.7817600071430206e-01;9.6256002783775330e-02;0.0000000000000000e+00;3.5096349130075476e-06;2.2307215843784401e-15;1.2552141489299954e-07;6.9710049511826253e-15;2.3287115526812256e-06
17000000;1.9046400487422943e-01;1.0239999741315842e-01;1.9251200556755066e-01;1.0342399775981903e-01;2.0070399343967438e-01;1.0956799983978271e-01;0.0000000000000000e+00;2.8518104273403751e-05;1.6040136271126774e-14;5.7947198742768551e-07;2.5129546824765277e-14;8.6160111800182541e-06
19000000;2.1196800470352173e-01;1.1366400122642517e-01;2.1401600539684296e-01;1.1468800157308578e-01;2.2323200106620789e-01;1.1980800330638885e-01;0.0000000000000000e+00;1.4769542832512942e-06;8.3572764190124639e-16;4.3487603490286408e-08;3.9697062990309201e-15;2.0378016098652086e-06
