Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;2.3118591257990215e-06;4.6819151766941090e-15;2.1121266497001898e-07;3.1886311298216035e-15;1.4657306823689571e-06
3000000;0.0000000000000000e+00;1.6026166072900977e-06;3.4068701321308546e-15;2.9556142487660542e-07;5.5185714410428069e-15;1.1136225234717282e-06
5000000;0.0000000000000000e+00;2.1627895309531211e-06;3.5084195665920633e-15;1.1736421715906217e-07;4.3847666402653612e-15;4.2110826823217640e-07
7000000;0.0000000000000000e+00;1.4977392290739155e-06;3.8216497475277858e-15;1.7185751062843937e-07;3.1944276866144265e-15;5.3607812818954173e-07
9000000;0.0000000000000000e+00;2.1480957686406743e-06;5.4499486802767131e-15;1.0500689841130355e-07;6.7113522479604247e-15;4.0445747774701251e-07
11000000;0.0000000000000000e+00;8.8473982186465547e-07;9.8760551241588702e-16;6.8183816902284487e-08;1.5122707682028692e-15;4.2625244684206682e-07
13000000;0.0000000000000000e+00;1.5060781862761824e-06;1.6957834530042376e-15;6.3149838151311055e-08;2.5431164009366635e-15;2.3055317723575925e-07
15000000;0.0000000000000000e+00;1.8577965417015094e-06;2.0256884660501745e-15;9.1576355349237630e-08;1.7887718736630209e-15;5.3886246640416097e-07
17000000;0.0000000000000000e+00;6.0482509019055365e-06;4.2817651570240517e-15;1.7612248857477643e-07;7.9097509629595649e-15;1.2549425291995318e-06
19000000;0.0000000000000000e+00;1.1888037460436542e-06;1.6353108597652107e-15;8.6567943729399291e-08;2.7163208516605753e-15;5.6583690657035767e-07
21000000;0.0000000000000000e+00;9.4100334927024707e-07;1.5077948215715761e-15;7.3331702456378429e-08;1.8328901222079922e-15;4.3635617888222529e-07
23000000;0.0000000000000000e+00;1.3784795691958524e-06;2.6012934952811128e-15;3.2984077460677972e-07;3.5495152231647788e-15;1.5778118245302673e-06
25000000;0.0000000000000000e+00;3.7985426111614684e-06;6.3030636405625159e-15;1.8281236081580958e-07;8.8215865230558614e-15;1.9843829523304868e-06
27000000;0.0000000000000000e+00;7.2006835108427667e-07;2.8512967098517740e-15;7.2235312902145680e-08;4.6458369701328697e-15;5.1735008249294151e-07
29000000;0.0000000000000000e+00;2.1009963345659903e-06;1.4672344994865241e-15;8.2715966590048108e-08;2.2228505658037070e-15;8.2815067744717493e-07
31000000;0.0000000000000000e+00;2.0683671234317444e-06;2.1024060215447065e-15;7.5039905801661457e-08;2.7464971740506667e-15;5.4644634797612983e-07
33000000;0.0000000000000000e+00;1.7871708918041788e-06;2.9301299817793469e-15;7.7702377511145931e-08;3.9523857439334375e-15;7.3817154014913908e-07
35000000;0.0000000000000000e+00;8.3125954787813927e-07;5.0168757912823048e-15;5.9039018486292896e-07;2.7580307245462396e-15;4.2523620036658488e-06
37000000;0.0000000000000000e+00;9.6571839697200159e-07;1.3448647026036294e-15;5.6125153379655917e-08;1.6659494991021870e-15;4.7902382345497581e-07
39000000;0.0000000000000000e+00;2.4876148733102899e-06;2.1063873045763900e-15;8.9429894107248387e-08;2.9693978966263078e-15;7.7339196003348971e-07
