Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;2.2425599396228790e-01;4.6080000698566437e-02;2.2528000175952911e-01;2.2425599396228790e-01;4.6080000698566437e-02;4.1983999311923981e-02;3.1743999570608139e-02;0.0000000000000000e+00;1.4458221176988007e-07;2.3282968779086597e-16;2.8588924534152637e-11;2.0708195518235881e-07;4.6565937558173194e-16;4.2917018467556131e-08
3000000;5.3145599365234375e-01;5.5296000093221664e-02;5.3350400924682617e-01;5.3145599365234375e-01;5.6320000439882278e-02;7.6800003647804260e-02;5.0175998359918594e-02;0.0000000000000000e+00;5.7773555329282787e-08;2.0174544704432468e-15;1.2380497329888530e-11;1.4108991082661685e-07;3.1037761083742255e-16;5.7773555329282787e-08
5000000;5.3350400924682617e-01;6.7584000527858734e-02;5.3452801704406738e-01;5.3145599365234375e-01;6.9632001221179962e-02;1.1264000087976456e-01;6.8608000874519348e-02;0.0000000000000000e+00;2.1111752549635611e-07;1.8628070478390394e-16;7.7531892138108659e-12;3.1112621736169339e-07;5.5884211435171188e-16;1.1110883363101886e-07
7000000;5.3964799642562866e-01;8.3967998623847961e-02;5.3964799642562866e-01;5.3452801704406738e-01;8.6015999317169189e-02;1.4847999811172485e-01;8.6015999317169189e-02;0.0000000000000000e+00;8.9900051333211489e-07;3.9910493773701712e-16;6.5034149604246936e-12;7.5615529206106450e-07;2.6606995849134475e-16;2.9493424929712642e-08
9000000;5.4374402761459351e-01;1.0137599706649780e-01;5.4476797580718994e-01;5.3657597303390503e-01;1.0239999741315842e-01;1.8432000279426575e-01;1.0444799810647964e-01;0.0000000000000000e+00;1.0181722759262212e-06;1.2416742855448827e-15;7.8544176389284135e-12;6.8486287288250626e-07;3.3111314281196873e-15;1.8244066795076657e-08
11000000;5.4886400699615479e-01;1.1776000261306763e-01;5.4783999919891357e-01;5.3555202484130859e-01;1.1673600226640701e-01;2.1913599967956543e-01;1.2083200365304947e-01;0.0000000000000000e+00;6.9066453376724922e-07;1.3545601884733203e-15;2.4803690251182086e-12;6.9066453376724922e-07;1.8625202591508154e-15;3.6559429977314110e-08
13000000;5.0380802154541016e-01;1.3414399325847626e-01;5.0380802154541016e-01;4.9459201097488403e-01;1.3516800105571747e-01;2.5395199656486511e-01;1.4028799533843994e-01;0.0000000000000000e+00;1.6547864973891493e-07;4.2988884480188876e-16;4.3762684400832271e-12;2.4241025512805374e-07;2.7226293504119620e-15;1.1615438960637273e-08
15000000;5.0790399312973022e-01;1.5257599949836731e-01;5.0790399312973022e-01;4.9663999676704407e-01;1.5257599949836731e-01;2.9081600904464722e-01;1.5769599378108978e-01;0.0000000000000000e+00;5.3081087486504322e-07;2.4837969307522516e-16;1.1201924157692655e-13;3.9746304252146698e-07;1.4902781584513510e-15;2.5804545092617084e-09
17000000;5.1200002431869507e-01;1.7100800573825836e-01;5.1200002431869507e-01;4.9971199035644531e-01;1.7100800573825836e-01;3.2563200592994690e-01;1.7510400712490082e-01;0.0000000000000000e+00;3.5392660028947774e-07;1.0956150995591308e-15;2.7390377488978271e-13;4.7156737582973403e-07;2.1912301991182618e-16;1.0042736687088861e-09
19000000;5.1609599590301514e-01;1.8739199638366699e-01;5.1609599590301514e-01;5.0176000595092773e-01;1.8739199638366699e-01;3.6147201061248779e-01;1.9353599846363068e-01;0.0000000000000000e+00;7.9849900267156704e-08;7.8417908872783086e-16;2.6773834536889965e-12;7.9849900267156704e-08;3.9208954436391543e-16;7.9849900267156704e-08
