Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;3.9276337010797597e-07;4.4246397757190942e-16;5.2055934791806335e-11;4.1549829598857701e-07;5.7049644691267200e-16;2.8318186780301547e-08
3000000;0.0000000000000000e+00;4.6017547702729552e-07;7.1397272863873703e-16;1.4503130560838313e-11;5.1851725941293621e-07;9.6248753675645958e-16;4.3691883686896416e-08
5000000;0.0000000000000000e+00;8.3287610685846751e-07;9.3127261901049249e-16;1.1144668345944833e-11;8.3286945421185358e-07;1.8441779589698970e-15;5.1174700949514236e-08
7000000;0.0000000000000000e+00;6.8623809550556835e-07;4.2574604235554832e-16;8.5625551732845210e-12;7.7319780599954128e-07;1.2771909318394990e-15;3.1391543646404396e-08
9000000;0.0000000000000000e+00;7.5359805199793726e-07;4.9675735325361864e-16;7.3870692927899201e-12;7.7579518889988003e-07;7.2434707594305556e-16;4.1670563479848465e-08
11000000;0.0000000000000000e+00;8.8968232869292587e-07;9.1435741761483685e-16;7.0688470451425414e-12;9.3514847160396543e-07;1.1006144848991151e-15;2.1779683258364241e-08
13000000;0.0000000000000000e+00;6.1773652660682665e-07;6.4473285028162512e-16;3.8884661826647659e-12;6.0234951728710583e-07;8.8832855011818265e-16;2.8600730694230300e-08
15000000;0.0000000000000000e+00;6.8721906160267693e-07;4.7186038948449938e-16;4.1982634243242329e-12;6.7388314242381713e-07;1.5025771862475362e-15;1.9021417202087932e-08
17000000;0.0000000000000000e+00;6.2513635431896689e-07;5.9162634663039946e-16;4.2255714591920459e-12;6.7003211252056301e-07;1.2709467398760525e-15;2.2926389542898754e-08
19000000;0.0000000000000000e+00;5.0530399973586883e-07;6.0781199758405978e-16;3.9749918569075208e-12;4.4433225560292317e-07;1.5293279613255864e-15;4.7772787871988227e-08
21000000;0.0000000000000000e+00;4.6148600838374384e-07;6.9183252377417462e-16;5.1600943820110611e-12;5.2541969842496614e-07;1.0288931224889041e-15;4.5126619760958292e-08
23000000;0.0000000000000000e+00;5.1818135075455746e-07;6.4787516879645116e-16;4.5489923355353080e-12;5.4426462160309234e-07;1.0204174285099508e-15;4.6590487376190594e-08
