Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
100;+0.0000000000000000e+00;+3.8545128317701902e-08;+0.0000000000000000e+00;+2.0170551004899343e-08;+3.8545128317701902e-08;+7.7710336556925500e-17;+6.0121032679582405e-08
200;+0.0000000000000000e+00;+3.2448800541688049e-08;+0.0000000000000000e+00;+1.9483879340027052e-08;+3.2448800541688049e-08;+8.9349019930415582e-17;+5.4010942152948562e-08
300;+0.0000000000000000e+00;+4.3283653324062812e-08;+0.0000000000000000e+00;+2.5598441212064529e-08;+4.3283653324062812e-08;+9.5418988283821849e-17;+5.9534030335285828e-08
400;+0.0000000000000000e+00;+3.6632354833351857e-08;+0.0000000000000000e+00;+2.0581004814584285e-08;+3.6632354833351857e-08;+1.0233721654635813e-16;+5.4398896214326589e-08
500;+0.0000000000000000e+00;+3.0399101999508707e-08;+0.0000000000000000e+00;+1.5523491445926938e-08;+3.0399101999508707e-08;+9.1657399752192209e-17;+4.9750273266728567e-08
600;+0.0000000000000000e+00;+4.6522998501722779e-08;+0.0000000000000000e+00;+2.5986075393291886e-08;+4.6522998501722779e-08;+9.9762255890273455e-17;+5.8602783442447143e-08
700;+0.0000000000000000e+00;+4.0746240935704522e-08;+0.0000000000000000e+00;+2.2904238228321110e-08;+4.0746240935704522e-08;+9.9094751346237388e-17;+5.5235505057083069e-08
800;+0.0000000000000000e+00;+3.3898123772955310e-08;+0.0000000000000000e+00;+1.9892420493604667e-08;+3.3898123772955310e-08;+9.6610425435644901e-17;+5.4081010148992086e-08
900;+0.0000000000000000e+00;+3.0218380202475730e-08;+0.0000000000000000e+00;+1.7609314789920950e-08;+3.0218380202475730e-08;+8.9968863734959916e-17;+5.1132645324558291e-08
1000;+0.0000000000000000e+00;+2.9226681249590181e-08;+0.0000000000000000e+00;+1.6095015109432333e-08;+2.9226681249590181e-08;+8.9423840308786529e-17;+4.7833177660512655e-08
1100;+0.0000000000000000e+00;+4.7202170949838596e-08;+0.0000000000000000e+00;+2.7300229300433173e-08;+4.7202170949838596e-08;+1.0027270427448145e-16;+5.5370153946423295e-08
1200;+0.0000000000000000e+00;+4.5196900012255355e-08;+0.0000000000000000e+00;+2.6908906121353123e-08;+4.5196900012255355e-08;+1.0332596366948763e-16;+6.1227725956037226e-08
1300;+0.0000000000000000e+00;+4.2375280171961820e-08;+0.0000000000000000e+00;+2.4118026296834861e-08;+4.2375280171961820e-08;+9.8580253974594698e-17;+5.8719035691305602e-08
1400;+0.0000000000000000e+00;+3.7982953308745883e-08;+0.0000000000000000e+00;+2.1884363756867331e-08;+3.7982953308745883e-08;+1.0007123468346168e-16;+5.6857630373916362e-08
1500;+0.0000000000000000e+00;+3.6912434141841311e-08;+0.0000000000000000e+00;+2.1028668622320800e-08;+3.6912434141841311e-08;+1.0256272316922024e-16;+5.6040727789485040e-08
1600;+0.0000000000000000e+00;+3.4426442468423145e-08;+0.0000000000000000e+00;+1.9585870505312542e-08;+3.4426442468423145e-08;+1.0004225470829209e-16;+5.5107894297018640e-08
1700;+0.0000000000000000e+00;+3.1524953942968555e-08;+0.0000000000000000e+00;+1.8071028656292287e-08;+3.1524953942968555e-08;+9.0872661634549365e-17;+5.5356034385561477e-08
1800;+0.0000000000000000e+00;+3.0270474311041296e-08;+0.0000000000000000e+00;+1.6828796653283351e-08;+3.0270474311041296e-08;+9.3863321228327456e-17;+5.0433571008528747e-08
1900;+0.0000000000000000e+00;+2.9117228731731373e-08;+0.0000000000000000e+00;+1.6159596777854066e-08;+2.9117228731731373e-08;+8.8592949282983172e-17;+5.0729274318204773e-08
2000;+0.0000000000000000e+00;+2.8233818133854884e-08;+0.0000000000000000e+00;+1.5410671789146056e-08;+2.8233818133854884e-08;+9.0185849172484701e-17;+4.8381447601562417e-08
2100;+0.0000000000000000e+00;+4.6181111476145179e-08;+0.0000000000000000e+00;+2.7522350655970874e-08;+4.6181111476145179e-08;+9.6923770960302263e-17;+5.5953836822960046e-08
2200;+0.0000000000000000e+00;+4.8857470132627654e-08;+0.0000000000000000e+00;+2.8413442257749009e-08;+4.8857470132627654e-08;+9.8064313087248258e-17;+5.7959953140060437e-08
