Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
100;+1.1264000087976456e-02;+1.0239999741315842e-02;+1.0239999741315842e-02;+1.0239999741315842e-02;+9.2160003259778023e-03;+1.3311999849975109e-02;+1.3311999849975109e-02
200;+1.1264000087976456e-02;+1.1264000087976456e-02;+1.3311999849975109e-02;+1.1264000087976456e-02;+1.1264000087976456e-02;+1.3311999849975109e-02;+1.3311999849975109e-02
300;+1.1264000087976456e-02;+1.1264000087976456e-02;+1.1264000087976456e-02;+1.1264000087976456e-02;+1.1264000087976456e-02;+1.4336000196635723e-02;+1.3311999849975109e-02
400;+1.3311999849975109e-02;+1.2288000434637070e-02;+1.3311999849975109e-02;+1.3311999849975109e-02;+1.3311999849975109e-02;+1.5359999611973763e-02;+1.4336000196635723e-02
500;+1.3311999849975109e-02;+1.4336000196635723e-02;+1.3311999849975109e-02;+1.3311999849975109e-02;+1.3311999849975109e-02;+1.4336000196635723e-02;+1.4336000196635723e-02
600;+1.4336000196635723e-02;+1.4336000196635723e-02;+1.4336000196635723e-02;+1.4336000196635723e-02;+1.4336000196635723e-02;+1.5359999611973763e-02;+1.4336000196635723e-02
700;+1.5359999611973763e-02;+1.5359999611973763e-02;+1.5359999611973763e-02;+1.5359999611973763e-02;+1.5359999611973763e-02;+1.6383999958634377e-02;+1.4336000196635723e-02
800;+1.6383999958634377e-02;+1.5359999611973763e-02;+1.7408000305294991e-02;+1.6383999958634377e-02;+1.5359999611973763e-02;+1.7408000305294991e-02;+1.5359999611973763e-02
900;+1.8432000651955605e-02;+1.7408000305294991e-02;+1.8432000651955605e-02;+1.7408000305294991e-02;+1.7408000305294991e-02;+1.9455999135971069e-02;+1.7408000305294991e-02
1000;+2.1503999829292297e-02;+1.8432000651955605e-02;+2.2528000175952911e-02;+1.9455999135971069e-02;+1.9455999135971069e-02;+2.3552000522613525e-02;+1.8432000651955605e-02
1100;+2.4576000869274139e-02;+2.0479999482631683e-02;+2.4576000869274139e-02;+2.0479999482631683e-02;+2.0479999482631683e-02;+2.7648000046610832e-02;+1.9455999135971069e-02
1200;+2.6623999699950218e-02;+2.1503999829292297e-02;+2.6623999699950218e-02;+2.2528000175952911e-02;+2.1503999829292297e-02;+2.9696000739932060e-02;+2.0479999482631683e-02
1300;+2.8672000393271446e-02;+2.3552000522613525e-02;+2.8672000393271446e-02;+2.3552000522613525e-02;+2.3552000522613525e-02;+3.1743999570608139e-02;+2.1503999829292297e-02
1400;+3.1743999570608139e-02;+2.4576000869274139e-02;+3.1743999570608139e-02;+2.5599999353289604e-02;+2.4576000869274139e-02;+3.5840000957250595e-02;+2.3552000522613525e-02
1500;+3.3792000263929367e-02;+2.5599999353289604e-02;+3.3792000263929367e-02;+2.6623999699950218e-02;+2.5599999353289604e-02;+4.9152001738548279e-02;+3.3792000263929367e-02
1600;+3.6864001303911209e-02;+2.8672000393271446e-02;+3.6864001303911209e-02;+2.8672000393271446e-02;+2.8672000393271446e-02;+5.2223999053239822e-02;+3.4816000610589981e-02
1700;+4.4032000005245209e-02;+3.1743999570608139e-02;+4.4032000005245209e-02;+3.2767999917268753e-02;+3.1743999570608139e-02;+5.4271999746561050e-02;+3.7888001650571823e-02
1800;+4.8128001391887665e-02;+3.4816000610589981e-02;+4.8128001391887665e-02;+3.5840000957250595e-02;+3.3792000263929367e-02;+5.8368001133203506e-02;+3.8911998271942139e-02
1900;+5.2223999053239822e-02;+3.5840000957250595e-02;+5.2223999053239822e-02;+3.6864001303911209e-02;+3.5840000957250595e-02;+6.1439998447895050e-02;+4.0959998965263367e-02
2000;+5.2223999053239822e-02;+3.8911998271942139e-02;+5.4271999746561050e-02;+3.9935998618602753e-02;+3.9935998618602753e-02;+6.0416001826524734e-02;+4.3007999658584595e-02
2100;+5.3247999399900436e-02;+3.5840000957250595e-02;+5.3247999399900436e-02;+3.6864001303911209e-02;+3.6864001303911209e-02;+6.6560000181198120e-02;+4.5056000351905823e-02
2200;+5.6320000439882278e-02;+3.7888001650571823e-02;+5.6320000439882278e-02;+3.8911998271942139e-02;+3.7888001650571823e-02;+6.9632001221179962e-02;+4.7104001045227051e-02
2300;+6.0416001826524734e-02;+3.9935998618602753e-02;+6.0416001826524734e-02;+3.9935998618602753e-02;+3.9935998618602753e-02;+7.3728002607822418e-02;+4.9152001738548279e-02
2400;+6.4511999487876892e-02;+4.0959998965263367e-02;+6.4511999487876892e-02;+4.0959998965263367e-02;+4.0959998965263367e-02;+7.6800003647804260e-02;+5.0175998359918594e-02
2500;+6.8608000874519348e-02;+4.3007999658584595e-02;+6.8608000874519348e-02;+4.4032000005245209e-02;+4.3007999658584595e-02;+8.1919997930526733e-02;+5.3247999399900436e-02
2600;+7.4752002954483032e-02;+4.8128001391887665e-02;+7.5776003301143646e-02;+4.9152001738548279e-02;+4.8128001391887665e-02;+8.7039999663829803e-02;+5.5296000093221664e-02
2700;+7.9871997237205505e-02;+5.0175998359918594e-02;+7.9871997237205505e-02;+5.1199998706579208e-02;+5.0175998359918594e-02;+9.2160001397132874e-02;+5.8368001133203506e-02
2800;+8.4991998970508575e-02;+5.2223999053239822e-02;+8.4991998970508575e-02;+5.3247999399900436e-02;+5.2223999053239822e-02;+9.7280003130435944e-02;+6.0416001826524734e-02
2900;+9.0112000703811646e-02;+5.4271999746561050e-02;+9.0112000703811646e-02;+5.5296000093221664e-02;+5.4271999746561050e-02;+1.0137599706649780e-01;+6.3487999141216278e-02
3000;+9.5232002437114716e-02;+5.7344000786542892e-02;+9.4208002090454102e-02;+5.8368001133203506e-02;+5.7344000786542892e-02;+1.0649599879980087e-01;+6.6560000181198120e-02
3100;+9.9327996373176575e-02;+6.0416001826524734e-02;+1.0035199671983719e-01;+6.1439998447895050e-02;+5.9392001479864120e-02;+1.1264000087976456e-01;+6.8608000874519348e-02
3200;+1.0547199845314026e-01;+6.2463998794555664e-02;+1.0444799810647964e-01;+6.4511999487876892e-02;+6.2463998794555664e-02;+1.1673600226640701e-01;+7.1680001914501190e-02
3300;+1.1059200018644333e-01;+6.4511999487876892e-02;+1.1059200018644333e-01;+6.6560000181198120e-02;+6.5535999834537506e-02;+1.2492799758911133e-01;+7.6800003647804260e-02
3400;+1.1673600226640701e-01;+6.7584000527858734e-02;+1.1571200191974640e-01;+6.9632001221179962e-02;+6.7584000527858734e-02;+1.3004800677299500e-01;+7.8847996890544891e-02
3500;+1.2185599654912949e-01;+7.0656001567840576e-02;+1.2185599654912949e-01;+7.2704002261161804e-02;+7.0656001567840576e-02;+1.3823999464511871e-01;+8.0895997583866119e-02
3600;+1.4028799533843994e-01;+7.8847996890544891e-02;+1.3926400244235992e-01;+8.0895997583866119e-02;+7.8847996890544891e-02;+1.4540800452232361e-01;+8.4991998970508575e-02
3700;+1.4540800452232361e-01;+8.2943998277187347e-02;+1.4540800452232361e-01;+8.4991998970508575e-02;+8.2943998277187347e-02;+1.5360000729560852e-01;+8.8064000010490417e-02
3800;+1.5564799308776855e-01;+8.6015999317169189e-02;+1.5564799308776855e-01;+8.8064000010490417e-02;+8.6015999317169189e-02;+1.5872000157833099e-01;+9.2160001397132874e-02
3900;+1.6486400365829468e-01;+9.0112000703811646e-02;+1.6486400365829468e-01;+9.1136001050472260e-02;+9.1136001050472260e-02;+1.6588799655437469e-01;+9.7280003130435944e-02
4000;+1.5667200088500977e-01;+9.2160001397132874e-02;+1.5769599378108978e-01;+8.8064000010490417e-02;+9.2160001397132874e-02;+1.7305600643157959e-01;+1.0035199671983719e-01
4100;+1.6486400365829468e-01;+9.6256002783775330e-02;+1.6588799655437469e-01;+9.2160001397132874e-02;+9.7280003130435944e-02;+1.8124799430370331e-01;+1.0444799810647964e-01
4200;+1.7305600643157959e-01;+9.9327996373176575e-02;+1.7203199863433838e-01;+9.4208002090454102e-02;+9.9327996373176575e-02;+1.8841600418090820e-01;+1.0854399949312210e-01
4300;+1.8022400140762329e-01;+9.9327996373176575e-02;+1.8022400140762329e-01;+9.8304003477096558e-02;+9.9327996373176575e-02;+1.9558399915695190e-01;+1.1264000087976456e-01
4400;+1.8841600418090820e-01;+1.0137599706649780e-01;+1.8739199638366699e-01;+1.0239999741315842e-01;+1.0239999741315842e-01;+2.0070399343967438e-01;+1.1468800157308578e-01
