Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
50;+0.0000000000000000e+00;+1.8450910932790869e-07;+0.0000000000000000e+00;+4.9912490074171209e-08;+1.8450910932790869e-07;+5.8507412426174118e-16;+2.1593646010672844e-07
100;+0.0000000000000000e+00;+3.3259684341293733e-07;+0.0000000000000000e+00;+9.0944485835038626e-08;+3.3259684341293733e-07;+7.5934986358188056e-16;+3.6209823017709487e-07
150;+0.0000000000000000e+00;+3.6994057296442483e-07;+0.0000000000000000e+00;+1.1376507221025811e-07;+3.6994057296442483e-07;+1.1355410446178305e-15;+4.3882780042716351e-07
200;+0.0000000000000000e+00;+3.8750387240222748e-07;+0.0000000000000000e+00;+1.5325976750633127e-07;+3.8750387240222748e-07;+1.2376205074226909e-15;+5.0817147031434453e-07
250;+0.0000000000000000e+00;+5.5633581856925970e-07;+0.0000000000000000e+00;+1.3429940130600156e-07;+5.5633581856925970e-07;+1.5495775362959252e-15;+5.5053157491798724e-07
300;+0.0000000000000000e+00;+6.5584417374777463e-07;+0.0000000000000000e+00;+1.9051830218673950e-07;+6.5584417374777463e-07;+1.6045597777112812e-15;+6.9119024238361308e-07
350;+0.0000000000000000e+00;+8.2031498140366184e-07;+0.0000000000000000e+00;+2.4102864739437097e-07;+8.2031498140366184e-07;+2.1949794909430928e-15;+7.2595573942990689e-07
400;+0.0000000000000000e+00;+9.1921076233530720e-07;+0.0000000000000000e+00;+2.4950245266995436e-07;+9.1921076233530720e-07;+2.3118376648582300e-15;+8.2345379270994132e-07
450;+0.0000000000000000e+00;+9.7019256728191742e-07;+0.0000000000000000e+00;+2.7365856545375382e-07;+9.7019256728191742e-07;+2.3072625447611119e-15;+1.2520022366157984e-06
500;+0.0000000000000000e+00;+9.3013892677289328e-07;+0.0000000000000000e+00;+3.7545939337267091e-07;+9.3013892677289328e-07;+2.5696990687625310e-15;+1.2660062674857988e-06
550;+0.0000000000000000e+00;+1.0253253885952377e-06;+0.0000000000000000e+00;+3.8038608742162640e-07;+1.0253253885952377e-06;+3.0068588001790919e-15;+1.2905547973986487e-06
600;+0.0000000000000000e+00;+1.3195352243059385e-06;+0.0000000000000000e+00;+3.6181511584738024e-07;+1.3195352243059385e-06;+3.0743441740240463e-15;+1.2690008528499257e-06
650;+0.0000000000000000e+00;+1.2928133651480135e-06;+0.0000000000000000e+00;+3.8529833184669739e-07;+1.2928133651480135e-06;+3.2370071247154593e-15;+1.4678554567067102e-06
700;+0.0000000000000000e+00;+1.3409401595319183e-06;+0.0000000000000000e+00;+3.8405391748941307e-07;+1.3409401595319183e-06;+3.0802545936366711e-15;+1.4310695397458713e-06
750;+0.0000000000000000e+00;+1.3837446957976590e-06;+0.0000000000000000e+00;+4.5218421090435504e-07;+1.3837446957976590e-06;+3.7188448497775383e-15;+1.4472832233388633e-06
800;+0.0000000000000000e+00;+1.5224228969687555e-06;+0.0000000000000000e+00;+4.8380096342337314e-07;+1.5224228969687555e-06;+3.7775458871651810e-15;+1.6578443200069701e-06
850;+0.0000000000000000e+00;+1.6761515471080149e-06;+0.0000000000000000e+00;+5.3340100815622422e-07;+1.6761515471080149e-06;+5.2190644843874606e-15;+1.6528441888522781e-06
900;+0.0000000000000000e+00;+1.7679639937774017e-06;+0.0000000000000000e+00;+5.2205197678329119e-07;+1.7679639937774017e-06;+4.1309748205546079e-15;+1.9456978337277880e-06
950;+0.0000000000000000e+00;+1.8001179911675652e-06;+0.0000000000000000e+00;+5.4377297686252327e-07;+1.8001179911675652e-06;+4.9298489323913407e-15;+2.1303900132875093e-06
