Random iter;Vector Size;Result DOT fp64;Result DOT fp32;Result DOT Acc<fp64, fp64>;Result DOT Acc<fp64, fp32>;Result DOT Acc<fp32, fp32>;Result CUBLAS DOT fp64;Result CUBLAS DOT fp32
0;1000000;-2.3465157845828165e+02;-2.3465155029296875e+02;-2.3465157845828122e+02;-2.3465158319114906e+02;-2.3465148925781250e+02;-2.3465157845828170e+02;-2.3465161132812500e+02
0;3000000;-5.8393833164746457e+02;-5.8393756103515625e+02;-5.8393833164746457e+02;-5.8393834228273533e+02;-5.8393768310546875e+02;-5.8393833164746320e+02;-5.8393835449218750e+02
0;5000000;-5.2618484628318492e+02;-5.2618475341796875e+02;-5.2618484628318618e+02;-5.2618485674376439e+02;-5.2618469238281250e+02;-5.2618484628318583e+02;-5.2618493652343750e+02
0;7000000;-4.1449844997124148e+02;-4.1449755859375000e+02;-4.1449844997124075e+02;-4.1449844739161506e+02;-4.1449795532226562e+02;-4.1449844997123944e+02;-4.1449859619140625e+02
0;9000000;-5.2580007581676171e+01;-5.2579826354980469e+01;-5.2580007581678188e+01;-5.2580000933505410e+01;-5.2580062866210938e+01;-5.2580007581678274e+01;-5.2580017089843750e+01
0;11000000;1.8121538720122570e+02;1.8121520996093750e+02;1.8121538720122584e+02;1.8121538132094116e+02;1.8121530151367188e+02;1.8121538720122697e+02;1.8121560668945312e+02
0;13000000;-2.7263746483240067e+02;-2.7263763427734375e+02;-2.7263746483240203e+02;-2.7263748411063585e+02;-2.7263803100585938e+02;-2.7263746483239925e+02;-2.7263766479492188e+02
0;15000000;2.0385661485997261e+02;2.0385659790039062e+02;2.0385661485997389e+02;2.0385658927160264e+02;2.0385649108886719e+02;2.0385661485997355e+02;2.0385653686523438e+02
0;17000000;3.9868019284551117e+01;3.9868057250976562e+01;3.9868019284549611e+01;3.9867996182150684e+01;3.9868144989013672e+01;3.9868019284550996e+01;3.9868103027343750e+01
0;19000000;2.7206671652736554e+02;2.7206661987304688e+02;2.7206671652736662e+02;2.7206670469583889e+02;2.7206610107421875e+02;2.7206671652736617e+02;2.7206658935546875e+02
0;21000000;4.6673530271348932e+02;4.6673623657226562e+02;4.6673530271348938e+02;4.6673528378197949e+02;4.6673587036132812e+02;4.6673530271348955e+02;4.6673529052734375e+02
0;23000000;2.7434246448467775e+02;2.7434301757812500e+02;2.7434246448467832e+02;2.7434248464432125e+02;2.7434240722656250e+02;2.7434246448467775e+02;2.7434271240234375e+02
0;25000000;-3.6244414126856945e+01;-3.6243408203125000e+01;-3.6244414126857727e+01;-3.6244374163950347e+01;-3.6243579864501953e+01;-3.6244414126858004e+01;-3.6244171142578125e+01
0;27000000;5.5607431266004812e+02;5.5607336425781250e+02;5.5607431266004971e+02;5.5607434154762052e+02;5.5607379150390625e+02;5.5607431266004892e+02;5.5607385253906250e+02
0;29000000;1.6548196612936158e+03;1.6548188476562500e+03;1.6548196612936172e+03;1.6548196928865725e+03;1.6548190917968750e+03;1.6548196612936158e+03;1.6548192138671875e+03
0;31000000;1.8303876889144328e+03;1.8303874511718750e+03;1.8303876889144315e+03;1.8303877573353191e+03;1.8303868408203125e+03;1.8303876889144331e+03;1.8303878173828125e+03
0;33000000;1.9931615285615324e+03;1.9931600341796875e+03;1.9931615285615289e+03;1.9931615944778941e+03;1.9931613769531250e+03;1.9931615285615305e+03;1.9931616210937500e+03
0;35000000;1.9215944237226338e+03;1.9215938720703125e+03;1.9215944237226340e+03;1.9215944857171216e+03;1.9215938720703125e+03;1.9215944237226352e+03;1.9215942382812500e+03
0;37000000;1.3941033425081398e+03;1.3941037597656250e+03;1.3941033425081391e+03;1.3941034142306564e+03;1.3941032714843750e+03;1.3941033425081396e+03;1.3941037597656250e+03
0;39000000;1.0935840232418345e+03;1.0935832519531250e+03;1.0935840232418332e+03;1.0935840983705825e+03;1.0935827636718750e+03;1.0935840232418341e+03;1.0935839843750000e+03
0;41000000;1.5847095662472502e+03;1.5847080078125000e+03;1.5847095662472511e+03;1.5847096424693473e+03;1.5847098388671875e+03;1.5847095662472518e+03;1.5847099609375000e+03
0;43000000;1.9727499747837812e+03;1.9727486572265625e+03;1.9727499747837776e+03;1.9727500394223625e+03;1.9727479248046875e+03;1.9727499747837812e+03;1.9727500000000000e+03
0;45000000;1.9099076427916325e+03;1.9099067382812500e+03;1.9099076427916320e+03;1.9099077154290312e+03;1.9099064941406250e+03;1.9099076427916298e+03;1.9099077148437500e+03
0;47000000;2.3045272242364044e+03;2.3045258789062500e+03;2.3045272242363999e+03;2.3045273121219266e+03;2.3045278320312500e+03;2.3045272242364013e+03;2.3045273437500000e+03
