Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;3.7334969399645452e-07;1.0658739946185845e-15;3.4959229960522371e-08;1.9841628625410652e-07;8.5553276539447750e-16;1.3422263561560957e-07
3000000;0.0000000000000000e+00;2.1963866224701099e-06;1.0247197809056734e-14;9.8723038653952076e-07;9.3948544780802063e-06;1.5318836232291162e-14;2.2399807028868814e-06
5000000;0.0000000000000000e+00;2.0047342370464086e-06;5.1354767409236222e-15;1.8363744753107105e-07;1.3655715748700148e-06;4.5239365738424986e-15;4.5255874472208761e-07
7000000;0.0000000000000000e+00;1.0811151561870730e-06;2.1386476873218726e-15;9.0467572629066696e-08;7.7910188056877492e-07;2.5766237965361064e-15;2.2911589181879070e-07
9000000;0.0000000000000000e+00;8.4954345488856504e-07;1.5357372517849722e-15;9.2512149220291895e-08;9.0295390536128269e-07;1.7745943560651597e-15;2.7173694456546882e-07
11000000;0.0000000000000000e+00;3.0370129123820510e-06;6.1583014006927308e-15;1.7007561603838391e-07;2.8054390307377773e-06;5.3260839216211147e-15;1.1164191350288543e-06
13000000;0.0000000000000000e+00;9.2590506529606899e-07;4.3250413557338484e-15;1.0738160714564518e-07;1.2456062083047127e-06;1.8390207178091553e-15;4.1218824788931951e-07
15000000;0.0000000000000000e+00;2.3020549460316449e-06;3.1194449410181516e-15;1.9818645568389917e-07;1.6124959341265919e-06;3.0648396955136348e-15;1.0446619444544810e-06
17000000;0.0000000000000000e+00;1.1593461357266033e-06;2.0108034200446409e-15;1.3882569311188471e-07;1.1362286185919092e-06;1.3150558392764695e-15;3.6045208564121031e-07
19000000;0.0000000000000000e+00;1.4894242924253079e-06;4.5450735600795445e-15;4.6427592310270831e-07;2.2434978034856031e-06;5.4895108637420755e-15;3.0714851113455594e-07
21000000;0.0000000000000000e+00;2.5705462940268516e-06;2.8993647579175932e-15;2.2109190126903338e-07;2.2672005263895603e-06;2.7111201817266344e-15;4.3629447724613151e-07
23000000;0.0000000000000000e+00;1.1382963642615565e-06;3.7520961654179609e-15;1.9776258590914894e-07;1.3589328044976607e-06;3.9078310079054434e-15;7.7712425702761629e-07
25000000;0.0000000000000000e+00;1.2673314584915164e-06;4.0664251090663699e-15;1.3690302931487777e-07;1.6800303107709589e-06;5.4705246646162353e-15;6.1382119469009952e-07
27000000;0.0000000000000000e+00;9.2251071960481930e-07;3.1664352449721141e-15;1.0385517310428122e-07;1.4748844325697827e-06;4.9184538873782951e-15;6.6756079420998810e-07
29000000;0.0000000000000000e+00;5.5216944573248042e-07;1.6982162261160874e-15;8.6869829887632902e-08;1.0169582816035196e-06;2.5770849712165272e-15;3.1799011644611494e-07
