Random iter; Vector Size;Result DOT fp64;Result DOT fp32;Result DOT Acc<fp64, fp64>;Result DOT Acc<fp64, fp32>;Result DOT Acc<fp32, fp32>;Result CUBLAS DOT fp64;Result CUBLAS DOT fp32
0;1000000;-2.1894141582734301e+02;-2.1894140625000000e+02;-2.1894141582734352e+02;-2.1894139347182991e+02;-2.1894137573242188e+02;-2.1894141582734323e+02;-2.1894140625000000e+02
0;3000000;1.9028932071734253e+01;1.9028991699218750e+01;1.9028932071733959e+01;1.9028968294401562e+01;1.9028774261474609e+01;1.9028932071733266e+01;1.9028808593750000e+01
0;5000000;1.3360663519160789e+02;1.3360681152343750e+02;1.3360663519160650e+02;1.3360668634478307e+02;1.3360711669921875e+02;1.3360663519160698e+02;1.3360655212402344e+02
0;7000000;2.2919140852324713e+02;2.2919206237792969e+02;2.2919140852324693e+02;2.2919146876235655e+02;2.2919140625000000e+02;2.2919140852324659e+02;2.2919143676757812e+02
0;9000000;9.2168742248593776e+02;9.2168670654296875e+02;9.2168742248593628e+02;9.2168750054506881e+02;9.2168695068359375e+02;9.2168742248593753e+02;9.2168774414062500e+02
0;11000000;8.8595076701934045e+02;8.8595104980468750e+02;8.8595076701933760e+02;8.8595085027640107e+02;8.8595178222656250e+02;8.8595076701933897e+02;8.8595104980468750e+02
0;13000000;9.3449395169897775e+02;9.3449456787109375e+02;9.3449395169897753e+02;9.3449404911346176e+02;9.3449536132812500e+02;9.3449395169897798e+02;9.3449450683593750e+02
0;15000000;1.3609741300333344e+03;1.3609737548828125e+03;1.3609741300333362e+03;1.3609742422613183e+03;1.3609733886718750e+03;1.3609741300333367e+03;1.3609741210937500e+03
0;17000000;1.9938340494888257e+03;1.9938336181640625e+03;1.9938340494888232e+03;1.9938341656147359e+03;1.9938342285156250e+03;1.9938340494888246e+03;1.9938339843750000e+03
0;19000000;2.5716228777371157e+03;2.5716228027343750e+03;2.5716228777371125e+03;2.5716230142190325e+03;2.5716230468750000e+03;2.5716228777371139e+03;2.5716228027343750e+03
0;21000000;2.4016618443977382e+03;2.4016630859375000e+03;2.4016618443977386e+03;2.4016619851314690e+03;2.4016611328125000e+03;2.4016618443977400e+03;2.4016618652343750e+03
0;23000000;3.1299066652132060e+03;3.1299038085937500e+03;3.1299066652132074e+03;3.1299068060065269e+03;3.1299028320312500e+03;3.1299066652132124e+03;3.1299067382812500e+03
0;25000000;2.9890231094292735e+03;2.9890219726562500e+03;2.9890231094292712e+03;2.9890232608968026e+03;2.9890219726562500e+03;2.9890231094292722e+03;2.9890229492187500e+03
0;27000000;2.6961255278232866e+03;2.6961267089843750e+03;2.6961255278232838e+03;2.6961256646070319e+03;2.6961264648437500e+03;2.6961255278232857e+03;2.6961252441406250e+03
0;29000000;2.7300703383602354e+03;2.7300705566406250e+03;2.7300703383602313e+03;2.7300704744066957e+03;2.7300720214843750e+03;2.7300703383602322e+03;2.7300703125000000e+03
0;31000000;2.3706128181995005e+03;2.3706120605468750e+03;2.3706128181994986e+03;2.3706129494224970e+03;2.3706123046875000e+03;2.3706128181994973e+03;2.3706127929687500e+03
0;33000000;2.2285132709511895e+03;2.2285122070312500e+03;2.2285132709511881e+03;2.2285134151691982e+03;2.2285126953125000e+03;2.2285132709511904e+03;2.2285129394531250e+03
