Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;3.0509081642447428e-06;2.2640057478019746e-15;2.1121267078044191e-07;1.9096681333326925e-06;3.1279622139222173e-15;1.4657306807016820e-06
3000000;0.0000000000000000e+00;3.5118631967221478e-06;2.2848889255057622e-14;2.9556138378038577e-07;1.4063696299308361e-06;2.2306316475524283e-14;1.1136225417980174e-06
5000000;0.0000000000000000e+00;1.6189659557138700e-06;5.7831775736613605e-15;1.1736422083157659e-07;2.6886199043113525e-06;5.8651754294667928e-15;4.2110827043524525e-07
7000000;0.0000000000000000e+00;1.5472006889963858e-06;3.5477158353944229e-15;1.7185750892682559e-07;1.6575044973708860e-06;2.6273705950575733e-15;5.3607812906698083e-07
9000000;0.0000000000000000e+00;1.5056095224414004e-06;6.4742486740013456e-15;1.0500690276905495e-07;2.9274859661968878e-06;3.2272713089864059e-15;4.0445746960426360e-07
11000000;0.0000000000000000e+00;1.4068537992200160e-06;1.2570230161669841e-15;6.8183816844349723e-08;9.5528613863516364e-07;2.2693659826597735e-15;4.2625244726383782e-07
13000000;0.0000000000000000e+00;8.4566085708502887e-07;2.2872726284123335e-15;6.3149840427370071e-08;4.5216796814810185e-07;2.4950513127450308e-15;2.3055317513778673e-07
15000000;0.0000000000000000e+00;2.9785557128627204e-06;3.5372051730891192e-15;9.1576351678738183e-08;1.5965292769731987e-06;2.6340976465121548e-15;5.3886246726396273e-07
17000000;0.0000000000000000e+00;6.8410934761248714e-06;7.5454636337174686e-15;1.7612248291506636e-07;4.7577791407664070e-06;5.5476599806953027e-15;1.2549425327062469e-06
19000000;0.0000000000000000e+00;1.2448625458888634e-06;2.7124028336551960e-15;8.6567943452517627e-08;1.6462961294815002e-06;1.3585855272669713e-15;5.6583690607593173e-07
21000000;0.0000000000000000e+00;1.4657014387344683e-06;1.7562494079445493e-15;7.3331705111880783e-08;1.7169012458432920e-06;1.1388322291941723e-15;4.3635617926309535e-07
