Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;2.2118400037288666e-01;4.5056000351905823e-02;2.2118400037288666e-01;2.1811200678348541e-01;4.7104001045227051e-02;4.0959998965263367e-02;3.0719999223947525e-02;0.0000000000000000e+00;5.3024393968237351e-07;1.3323532949940384e-15;2.0169763496356445e-08;7.5051930579866130e-08;1.0901072413587587e-15;1.4007936045165290e-07
3000000;5.2019202709197998e-01;5.5296000093221664e-02;5.2019202709197998e-01;5.1507198810577393e-01;5.6320000439882278e-02;7.7823996543884277e-02;5.0175998359918594e-02;0.0000000000000000e+00;1.0061111046586878e-06;5.8406940370332295e-16;1.8213002144965506e-08;1.4364509794547596e-07;2.9203470185166149e-15;3.9121806799642885e-08
5000000;5.1916801929473877e-01;6.8608000874519348e-02;5.2019202709197998e-01;5.1609599590301514e-01;6.9632001221179962e-02;1.1366400122642517e-01;6.8608000874519348e-02;0.0000000000000000e+00;1.7149914881598162e-07;1.2963524722310030e-15;1.9880045892370883e-08;5.5503493142629422e-08;3.0248224352056735e-15;1.7149914881598162e-07
7000000;5.2428799867630005e-01;8.4991998970508575e-02;5.2326399087905884e-01;5.1814401149749756e-01;8.6015999317169189e-02;1.4847999811172485e-01;8.6015999317169189e-02;0.0000000000000000e+00;1.6261311236184793e-07;1.2342404893981291e-15;6.2234865197755361e-09;1.8559953117975700e-06;7.1311672720780789e-15;3.5276407877076310e-07
9000000;5.2838397026062012e-01;1.0239999741315842e-01;5.2838397026062012e-01;5.2121597528457642e-01;1.0444799810647964e-01;1.8432000279426575e-01;1.0342399775981903e-01;0.0000000000000000e+00;1.1208483547392794e-05;1.0945978185180614e-14;1.2643918064508320e-07;6.1613435618954546e-07;9.4594873205264561e-16;1.8083233463324761e-07
11000000;5.3145599365234375e-01;1.1878400295972824e-01;5.3248000144958496e-01;5.2326399087905884e-01;1.1776000261306763e-01;2.2015999257564545e-01;1.2287999689579010e-01;0.0000000000000000e+00;1.0427958109953766e-06;8.7830054206999262e-15;3.2449152927199630e-08;1.6516842634686877e-06;7.5282903605999357e-15;1.2112008156493808e-06
13000000;5.3350400924682617e-01;1.3516800105571747e-01;5.3350400924682617e-01;5.2428799867630005e-01;1.3619199395179749e-01;2.5600001215934753e-01;1.4028799533843994e-01;0.0000000000000000e+00;4.9784367163944915e-07;6.2548357646758378e-15;7.0710152310773700e-08;1.4050453111492004e-06;8.3397810195677839e-16;7.3343743487085362e-07
15000000;5.3759998083114624e-01;1.5360000729560852e-01;5.3759998083114624e-01;5.2633601427078247e-01;1.5360000729560852e-01;2.9183998703956604e-01;1.5872000157833099e-01;0.0000000000000000e+00;2.9275163206236096e-06;7.8075255453245233e-15;1.2552141140749679e-07;1.3389676350720226e-06;1.1153607921892175e-15;3.8259606634902196e-07
17000000;5.4169601202011108e-01;1.7100800573825836e-01;5.4272001981735229e-01;5.2838397026062012e-01;1.7203199863433838e-01;3.2767999172210693e-01;1.7715199291706085e-01;0.0000000000000000e+00;9.7551515993122346e-06;4.5981723977226579e-14;5.7947206709365148e-07;1.3008378354961539e-05;4.8120408813376654e-14;2.1005004095491642e-06
19000000;4.9766400456428528e-01;1.8739199638366699e-01;4.9766400456428528e-01;4.8435199260711670e-01;1.8841600418090820e-01;3.6249598860740662e-01;1.9353599846363068e-01;0.0000000000000000e+00;3.1775717674740232e-07;7.5215487771113297e-15;4.3487587611461858e-08;1.8134626643855041e-06;8.3572764190125874e-15;4.6742908051208959e-07
