Random iter; Vector Size;Result DOT fp64;Result DOT fp32;Result DOT Acc<fp64, fp64>;Result DOT Acc<fp64, fp32>;Result DOT Acc<fp32, fp32>;Result CUBLAS DOT fp64;Result CUBLAS DOT fp32
0;1000000;-2.3465157845828224e+02;-2.3465164184570312e+02;-2.3465157845828176e+02;-2.3465158319114886e+02;-2.3465156555175781e+02;-2.3465157845828170e+02;-2.3465161132812500e+02
1;1000000;-1.1656602623813551e+02;-1.1656603240966797e+02;-1.1656602623813558e+02;-1.1656602836551041e+02;-1.1656608581542969e+02;-1.1656602623813558e+02;-1.1656604003906250e+02
2;1000000;6.3284647029934479e+02;6.3284686279296875e+02;6.3284647029934320e+02;6.3284646441403311e+02;6.3284649658203125e+02;6.3284647029934513e+02;6.3284649658203125e+02
3;1000000;3.0553266276405765e+01;3.0553318023681641e+01;3.0553266276405566e+01;3.0553237439235758e+01;3.0553419113159180e+01;3.0553266276405466e+01;3.0553283691406250e+01
4;1000000;6.2753876087933065e+01;6.2753887176513672e+01;6.2753876087933179e+01;6.2753886023446711e+01;6.2753845214843750e+01;6.2753876087933151e+01;6.2753936767578125e+01
5;1000000;3.5005159672043033e+02;3.5005169677734375e+02;3.5005159672043044e+02;3.5005160574808923e+02;3.5005151367187500e+02;3.5005159672043033e+02;3.5005163574218750e+02
6;1000000;-1.8907935146342691e+01;-1.8907987594604492e+01;-1.8907935146342659e+01;-1.8907947443261200e+01;-1.8908025741577148e+01;-1.8907935146342467e+01;-1.8907981872558594e+01
7;1000000;-5.8505714697575044e+00;-5.8505706787109375e+00;-5.8505714697570941e+00;-5.8505700614033387e+00;-5.8506155014038086e+00;-5.8505714697573694e+00;-5.8505706787109375e+00
8;1000000;-5.5549034126161359e+02;-5.5549060058593750e+02;-5.5549034126161348e+02;-5.5549032240082022e+02;-5.5549029541015625e+02;-5.5549034126161314e+02;-5.5549035644531250e+02
9;1000000;3.5630643020007135e+01;3.5630592346191406e+01;3.5630643020006914e+01;3.5630643427187017e+01;3.5630943298339844e+01;3.5630643020006957e+01;3.5630630493164062e+01
0;3000000;-5.8393833164746434e+02;-5.8393823242187500e+02;-5.8393833164746502e+02;-5.8393834228273590e+02;-5.8393768310546875e+02;-5.8393833164746320e+02;-5.8393835449218750e+02
1;3000000;-1.4680660729444352e+02;-1.4680696105957031e+02;-1.4680660729444347e+02;-1.4680663013825961e+02;-1.4680694580078125e+02;-1.4680660729444378e+02;-1.4680654907226562e+02
