Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;4.3364488511794462e-07;1.3972568656778152e-15;6.8728423431653420e-08;9.3874471792268147e-07;2.1697109272192288e-15;1.3764388595636988e-07
3000000;0.0000000000000000e+00;8.8589528806498047e-07;1.0696402505140450e-15;4.2805645559290325e-08;8.3628087547712785e-07;1.9665614597952988e-15;2.2855091488902873e-07
5000000;0.0000000000000000e+00;6.0436493124077593e-07;6.2038339554189480e-16;6.6803154296335306e-08;9.7908990887751650e-07;8.0438856907544132e-16;2.3062555968514227e-07
7000000;0.0000000000000000e+00;9.4657873805361054e-07;5.5184038526069224e-16;2.6975985177976976e-08;7.2307519432606620e-07;2.4335063087681695e-15;1.4119302405076281e-07
9000000;0.0000000000000000e+00;8.5007820826169121e-07;2.3655456811357151e-15;3.8873845325817974e-08;1.2731607334456258e-06;1.5459223091861047e-15;1.6109912488713115e-07
11000000;0.0000000000000000e+00;6.3131946184329951e-07;1.3852911317803591e-15;3.2939707571606888e-08;9.7937562792088945e-07;1.5099704888054956e-15;1.9074296814611291e-07
13000000;0.0000000000000000e+00;8.9048866938438510e-07;7.8049361256549313e-16;6.6457922575780208e-08;6.4646539113656342e-07;1.2278240990905916e-15;1.8916271340241220e-07
15000000;0.0000000000000000e+00;9.3676188419547888e-07;7.1737446739226245e-16;6.6897311744615887e-08;1.0744932722683208e-06;1.2991227837660701e-15;2.4813754797128627e-07
17000000;0.0000000000000000e+00;1.2382330213726459e-06;1.1849296265734385e-15;4.7849383045130405e-08;1.3887808391228873e-06;1.7364951189826690e-15;3.0279129502407486e-07
19000000;0.0000000000000000e+00;6.9216318746803387e-07;5.4721362776623189e-16;6.4303976889360319e-08;5.2347123143267563e-07;1.8209023732602052e-15;2.5649525924682705e-07
21000000;0.0000000000000000e+00;3.4206441553431977e-07;7.7271727959073241e-16;5.6621636009216028e-08;2.6794601126662146e-07;1.3037829468238542e-15;2.5965711985815387e-07
23000000;0.0000000000000000e+00;4.7778895273081151e-07;6.7450010715705751e-16;6.7676121689721941e-08;8.3311782884909907e-07;1.3670454953149626e-15;2.7307925187957907e-07
25000000;0.0000000000000000e+00;9.6965116262851696e-07;1.3171903923104582e-15;5.2902840379327019e-08;1.0649389262463419e-06;1.4060564855697170e-15;2.3148432295487984e-07
27000000;0.0000000000000000e+00;4.0894083336890012e-07;1.5601496695045989e-15;5.5978235391803552e-08;3.6931898276893697e-07;1.3616392500380514e-15;2.0000507295523311e-07
29000000;0.0000000000000000e+00;4.4988735004268944e-07;9.8873462042184194e-16;4.7562342407091462e-08;6.7125230134018507e-07;8.6886312383991960e-16;2.4659812861412259e-07
31000000;0.0000000000000000e+00;5.9784091136443453e-07;8.6531895760536442e-16;5.2097195004373601e-08;8.2199739108789226e-07;1.6531853237669055e-15;3.8740292622414944e-07
33000000;0.0000000000000000e+00;5.5106886666603030e-07;8.8574014304243086e-16;4.8492933799473667e-08;4.0620746841858823e-07;6.5643085559541973e-16;2.0675278385689287e-07
35000000;0.0000000000000000e+00;1.0498935247034845e-06;8.5950159124815739e-16;3.6409729955820813e-08;9.9721592096368071e-07;1.5649029581160380e-15;1.4548049736847136e-07
37000000;0.0000000000000000e+00;2.3519464805697300e-07;1.1278066545085950e-15;4.8837107595929322e-08;6.8867760687560225e-07;1.4140680588624729e-15;2.8275840253775851e-07
39000000;0.0000000000000000e+00;6.4385928270415203e-07;1.4490444034406239e-15;5.5183847835499330e-08;1.1456928756948990e-06;1.0168635651862274e-15;3.4380546145254377e-07
41000000;0.0000000000000000e+00;6.2001803600470885e-07;1.4027155595396693e-15;4.9498735330530722e-08;5.3555854117820034e-07;1.2265407309917430e-15;2.8686171295945961e-07
43000000;0.0000000000000000e+00;5.2512694009439500e-07;7.2210884574117547e-16;2.6533181341464384e-08;8.5553881702915402e-07;1.2490270977467891e-15;3.2149948962711520e-07
45000000;0.0000000000000000e+00;3.5026218777162775e-07;9.9025555856199438e-16;4.0068143222701930e-08;5.5119581051532453e-07;9.6903896449955241e-16;2.7665630871263502e-07
47000000;0.0000000000000000e+00;7.0332945191743463e-07;8.5698549705287499e-16;2.4849413701881956e-08;4.5450404280703695e-07;9.7654974368476723e-16;2.3545498140735410e-07
49000000;0.0000000000000000e+00;7.0074848445956856e-07;1.4357309090506130e-15;4.1606252893937565e-08;7.5742604350543818e-07;2.0459857057664047e-15;3.4267610133095000e-07
51000000;0.0000000000000000e+00;1.2066931214720705e-06;1.2921577806192243e-15;2.4053446753694000e-08;2.7922845545174295e-07;1.7771081949500944e-15;2.4736100930078497e-07
53000000;0.0000000000000000e+00;5.4174885224965281e-07;9.8875327028392243e-16;3.9367996189358647e-08;8.3502178576538796e-07;2.0357800173118572e-15;3.3142402037859854e-07
55000000;0.0000000000000000e+00;1.3229558173438367e-06;1.9466906019949125e-15;3.4268045609209975e-08;1.6211949944808573e-06;2.3373818144999219e-15;3.6951892819122591e-07
57000000;0.0000000000000000e+00;8.0721904351568861e-07;6.9981160242378789e-16;1.7505935829468863e-08;1.1412368177366741e-06;1.6036795056740402e-15;9.0492397286879263e-07
59000000;0.0000000000000000e+00;1.8576946103067868e-06;2.1749842638948151e-15;3.8689853485223519e-08;1.6778606306401347e-06;2.5445728573156126e-15;8.2490108455646163e-07
61000000;0.0000000000000000e+00;1.1329870257428537e-06;2.0028040653290554e-15;2.0269983710335779e-08;1.3142543127746152e-06;1.8248679841781809e-15;5.1718781379136165e-07
63000000;0.0000000000000000e+00;1.6995335913542635e-06;9.2289842035151953e-16;4.5215508890867843e-08;1.0395109338791576e-06;2.3493908141221591e-15;8.2881596466841647e-07
65000000;0.0000000000000000e+00;9.6714833854129919e-07;2.6546445918405222e-15;2.3099804335063919e-08;1.3080779115738054e-06;1.6424740359633413e-15;7.4955876130275351e-07
67000000;0.0000000000000000e+00;1.3054807757170063e-06;1.0804654403376617e-15;1.4442082555534944e-08;4.9817199113174072e-07;2.8805055730622724e-15;6.7470359672074266e-07
69000000;0.0000000000000000e+00;1.6227456436723112e-06;2.8256534211810232e-15;2.8990232498248779e-08;1.0040823685244710e-06;2.9008748786726016e-15;5.9101209538560177e-07
71000000;0.0000000000000000e+00;1.2722913657214578e-06;1.8335947252038225e-15;3.3135612675731487e-08;6.9170387057442444e-07;2.5012183717321077e-15;5.3379448219479733e-07
73000000;0.0000000000000000e+00;9.9586771470294380e-07;3.5234732566461033e-15;2.5173336808484204e-08;1.5016699270348904e-06;2.1585965599689329e-15;4.5676742831782648e-07
75000000;0.0000000000000000e+00;5.3652273582569244e-07;2.0147052326276196e-15;6.9068292268649672e-09;1.0298822770077144e-06;1.8148659031097932e-15;7.4108513482401891e-07
77000000;0.0000000000000000e+00;6.4131720779072586e-07;9.2971731255694899e-16;3.8260753392715422e-08;9.4121512310141038e-07;1.1162902732177603e-15;6.5469101729601491e-07
79000000;0.0000000000000000e+00;7.9075044601208487e-07;1.7354883272224878e-15;1.6353491878244634e-08;8.5831091356227888e-07;1.3742019392924223e-15;4.7576929035408190e-07
81000000;0.0000000000000000e+00;2.8639545882309496e-07;9.4303879582666988e-16;2.9620917340186217e-08;2.1944581196231804e-07;1.7964068206283917e-15;3.9230402910161022e-07
