Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;-2.3465157845828224e+02;-2.3465161132812500e+02;-2.3465157845828190e+02;-2.3465158081054688e+02;-2.3465171813964844e+02;-2.3465157845828170e+02;-2.3465161132812500e+02
1;1000000;-1.1656602623813566e+02;-1.1656600189208984e+02;-1.1656602623813551e+02;-1.1656602478027344e+02;-1.1656596374511719e+02;-1.1656602623813558e+02;-1.1656604003906250e+02
2;1000000;6.3284647029934411e+02;6.3284686279296875e+02;6.3284647029934422e+02;6.3284643554687500e+02;6.3284649658203125e+02;6.3284647029934513e+02;6.3284649658203125e+02
3;1000000;3.0553266276405083e+01;3.0553527832031250e+01;3.0553266276405530e+01;3.0553237915039062e+01;3.0553173065185547e+01;3.0553266276405466e+01;3.0553283691406250e+01
4;1000000;6.2753876087933023e+01;6.2753822326660156e+01;6.2753876087933037e+01;6.2753887176513672e+01;6.2753795623779297e+01;6.2753876087933151e+01;6.2753936767578125e+01
5;1000000;3.5005159672043004e+02;3.5005157470703125e+02;3.5005159672043038e+02;3.5005160522460938e+02;3.5005157470703125e+02;3.5005159672043033e+02;3.5005163574218750e+02
6;1000000;-1.8907935146342645e+01;-1.8907936096191406e+01;-1.8907935146342453e+01;-1.8907947540283203e+01;-1.8907896041870117e+01;-1.8907935146342467e+01;-1.8907981872558594e+01
7;1000000;-5.8505714697574192e+00;-5.8506407737731934e+00;-5.8505714697573632e+00;-5.8505702018737793e+00;-5.8505558967590332e+00;-5.8505714697573694e+00;-5.8505706787109375e+00
8;1000000;-5.5549034126161371e+02;-5.5549047851562500e+02;-5.5549034126161393e+02;-5.5549029541015625e+02;-5.5549053955078125e+02;-5.5549034126161314e+02;-5.5549035644531250e+02
9;1000000;3.5630643020007547e+01;3.5630870819091797e+01;3.5630643020007277e+01;3.5630641937255859e+01;3.5630805969238281e+01;3.5630643020006957e+01;3.5630630493164062e+01
0;3000000;-5.8393833164746422e+02;-5.8393786621093750e+02;-5.8393833164746491e+02;-5.8393835449218750e+02;-5.8393792724609375e+02;-5.8393833164746320e+02;-5.8393835449218750e+02
1;3000000;-1.4680660729444418e+02;-1.4680677795410156e+02;-1.4680660729444401e+02;-1.4680662536621094e+02;-1.4680728149414062e+02;-1.4680660729444378e+02;-1.4680654907226562e+02
2;3000000;3.5751277406518852e+02;3.5751309204101562e+02;3.5751277406518847e+02;3.5751275634765625e+02;3.5751336669921875e+02;3.5751277406518813e+02;3.5751263427734375e+02
3;3000000;-6.0341473840705578e+02;-6.0341461181640625e+02;-6.0341473840705532e+02;-6.0341479492187500e+02;-6.0341448974609375e+02;-6.0341473840705476e+02;-6.0341479492187500e+02
4;3000000;7.6561521442492833e+01;7.6561416625976562e+01;7.6561521442493074e+01;7.6561523437500000e+01;7.6561485290527344e+01;7.6561521442493103e+01;7.6561614990234375e+01
5;3000000;1.0313818800360007e+01;1.0313819885253906e+01;1.0313818800360755e+01;1.0313844680786133e+01;1.0314098358154297e+01;1.0313818800359840e+01;1.0313842773437500e+01
6;3000000;-6.3229596059512197e+01;-6.3229812622070312e+01;-6.3229596059511692e+01;-6.3229598999023438e+01;-6.3229915618896484e+01;-6.3229596059511834e+01;-6.3229614257812500e+01
