Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;2.5000102635429869e+05;2.5000107812500000e+05;2.5000102635429878e+05;2.5000103125000000e+05;2.5000103125000000e+05;2.5000102635429878e+05;2.5000101562500000e+05
1;1000000;2.4977439134532269e+05;2.4977437500000000e+05;2.4977439134532269e+05;2.4977439062500000e+05;2.4977435937500000e+05;2.4977439134532236e+05;2.4977439062500000e+05
2;1000000;2.5005753281970409e+05;2.5005731250000000e+05;2.5005753281970409e+05;2.5005753125000000e+05;2.5005731250000000e+05;2.5005753281970456e+05;2.5005753125000000e+05
3;1000000;2.4988896375374807e+05;2.4988898437500000e+05;2.4988896375374807e+05;2.4988896875000000e+05;2.4988898437500000e+05;2.4988896375374804e+05;2.4988895312500000e+05
4;1000000;2.4997278791015796e+05;2.4997278125000000e+05;2.4997278791015793e+05;2.4997278125000000e+05;2.4997273437500000e+05;2.4997278791015781e+05;2.4997279687500000e+05
5;1000000;2.5045582809190985e+05;2.5045573437500000e+05;2.5045582809190991e+05;2.5045582812500000e+05;2.5045575000000000e+05;2.5045582809191005e+05;2.5045582812500000e+05
6;1000000;2.4989841545696484e+05;2.4989857812500000e+05;2.4989841545696475e+05;2.4989842187500000e+05;2.4989854687500000e+05;2.4989841545696478e+05;2.4989840625000000e+05
7;1000000;2.4974831966566917e+05;2.4974828125000000e+05;2.4974831966566920e+05;2.4974831250000000e+05;2.4974823437500000e+05;2.4974831966566911e+05;2.4974831250000000e+05
8;1000000;2.4966346934371706e+05;2.4966325000000000e+05;2.4966346934371709e+05;2.4966346875000000e+05;2.4966320312500000e+05;2.4966346934371736e+05;2.4966345312500000e+05
9;1000000;2.5014036489749982e+05;2.5014029687500000e+05;2.5014036489749985e+05;2.5014035937500000e+05;2.5014025000000000e+05;2.5014036489750008e+05;2.5014035937500000e+05
0;3000000;7.5015283166100387e+05;7.5015293750000000e+05;7.5015283166100387e+05;7.5015281250000000e+05;7.5015287500000000e+05;7.5015283166100411e+05;7.5015287500000000e+05
1;3000000;7.4972562410477397e+05;7.4972575000000000e+05;7.4972562410477409e+05;7.4972562500000000e+05;7.4972581250000000e+05;7.4972562410477316e+05;7.4972562500000000e+05
2;3000000;7.5008320634437585e+05;7.5008287500000000e+05;7.5008320634437597e+05;7.5008318750000000e+05;7.5008287500000000e+05;7.5008320634437585e+05;7.5008318750000000e+05
3;3000000;7.4940525968319061e+05;7.4940475000000000e+05;7.4940525968319061e+05;7.4940525000000000e+05;7.4940487500000000e+05;7.4940525968318991e+05;7.4940525000000000e+05
4;3000000;7.5023097489911783e+05;7.5023118750000000e+05;7.5023097489911818e+05;7.5023100000000000e+05;7.5023112500000000e+05;7.5023097489911772e+05;7.5023100000000000e+05
5;3000000;7.5023659822574444e+05;7.5023618750000000e+05;7.5023659822574409e+05;7.5023662500000000e+05;7.5023625000000000e+05;7.5023659822574269e+05;7.5023662500000000e+05
6;3000000;7.5024883998958580e+05;7.5024975000000000e+05;7.5024883998958592e+05;7.5024881250000000e+05;7.5024981250000000e+05;7.5024883998958569e+05;7.5024875000000000e+05
7;3000000;7.4986708509783319e+05;7.4986756250000000e+05;7.4986708509783319e+05;7.4986706250000000e+05;7.4986756250000000e+05;7.4986708509783284e+05;7.4986706250000000e+05
8;3000000;7.4947464603053709e+05;7.4947537500000000e+05;7.4947464603053732e+05;7.4947462500000000e+05;7.4947531250000000e+05;7.4947464603053674e+05;7.4947468750000000e+05
9;3000000;7.5068142405570019e+05;7.5068150000000000e+05;7.5068142405569996e+05;7.5068143750000000e+05;7.5068150000000000e+05;7.5068142405569879e+05;7.5068137500000000e+05
0;5000000;1.2498913611260299e+06;1.2498912500000000e+06;1.2498913611260299e+06;1.2498913750000000e+06;1.2498918750000000e+06;1.2498913611260294e+06;1.2498915000000000e+06
1;5000000;1.2500663137451620e+06;1.2500687500000000e+06;1.2500663137451622e+06;1.2500663750000000e+06;1.2500686250000000e+06;1.2500663137451648e+06;1.2500663750000000e+06
2;5000000;1.2499502499707018e+06;1.2499500000000000e+06;1.2499502499707025e+06;1.2499502500000000e+06;1.2499500000000000e+06;1.2499502499707018e+06;1.2499502500000000e+06
3;5000000;1.2491883973351310e+06;1.2491882500000000e+06;1.2491883973351317e+06;1.2491883750000000e+06;1.2491883750000000e+06;1.2491883973351279e+06;1.2491883750000000e+06
