Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;2.3950963626834894e-07;1.1648031627148888e-16;1.9788306358890100e-08;3.2665280536149062e-07;6.9778205031715275e-16;3.2277416457319162e-08
3000000;0.0000000000000000e+00;4.9460255732276503e-07;1.5524022272827285e-16;2.6801585892840023e-08;4.5294903085670883e-07;4.6586576249594554e-16;3.4572644142750522e-08
5000000;0.0000000000000000e+00;5.4961121748945855e-07;2.7936408076676661e-16;1.8550758982573291e-08;6.9953831082723894e-07;1.3036542057824412e-15;4.9926020994258907e-08
7000000;0.0000000000000000e+00;6.0703641285954598e-07;1.3304240054768377e-16;1.6291995327823803e-08;6.0703641285954598e-07;1.5298151785425224e-15;2.9499209292268386e-08
9000000;0.0000000000000000e+00;7.3462517851671740e-07;3.1043137730819197e-16;1.2414876393013954e-08;8.2662093031676392e-07;1.2418116325221359e-15;2.4040141076404944e-08
11000000;0.0000000000000000e+00;8.6067121576427704e-07;1.6933125001068623e-16;1.6654375599982337e-08;9.8757993970724736e-07;5.9262036664125163e-16;1.6654375599982337e-08
13000000;0.0000000000000000e+00;5.8324934004664782e-07;1.4328942511046906e-16;1.2850321357083265e-08;5.4478415822550556e-07;5.7315057644156654e-16;2.0288451497406659e-08
15000000;0.0000000000000000e+00;5.0721841745740021e-07;1.2417132631016619e-16;1.4172677922053848e-08;5.4055067573704293e-07;1.5521164780740138e-15;1.4172677922053848e-08
17000000;0.0000000000000000e+00;5.8046701659269901e-07;2.1912605291553248e-16;1.2139748771861844e-08;5.7380371523299965e-07;6.5738872965728988e-16;1.2139748771861844e-08
19000000;0.0000000000000000e+00;3.9318552221777556e-07;3.9211036527441085e-16;1.3734239260460156e-08;3.3632438464157796e-07;1.1763629373923092e-15;5.0987998992980151e-08
21000000;0.0000000000000000e+00;2.0361094551469141e-07;2.6609990781484809e-16;1.4612205949349354e-08;2.5041421990757112e-07;1.1530401669579191e-15;3.7352114785545792e-08
23000000;0.0000000000000000e+00;4.4540666559411837e-07;1.6197695999455654e-16;1.5706569062006426e-08;5.2238202251495291e-07;8.9078230289590546e-16;3.7030193338043074e-08
25000000;0.0000000000000000e+00;6.5361364944257010e-07;2.2351718380353491e-16;1.7737528792371696e-08;7.4046635310645475e-07;1.0430790553267732e-15;2.1148976653906350e-08
27000000;0.0000000000000000e+00;5.8706365581875776e-07;2.7596617727521815e-16;1.1163732646830231e-08;6.9721942706190850e-07;8.9681570617967111e-16;3.1397567634452895e-08
29000000;0.0000000000000000e+00;4.6888846790284168e-07;3.8534299205060558e-16;8.5059398243892690e-09;6.1616472256685971e-07;4.4961216770885726e-16;2.0330432500619569e-08
31000000;0.0000000000000000e+00;3.0887153052972274e-07;1.8025332870875368e-16;1.2277025322951484e-08;3.8780706009122641e-07;7.2097412763514401e-16;2.1789578895968598e-08
33000000;0.0000000000000000e+00;4.5462432053897398e-07;1.1289263633691489e-16;9.9124050815386206e-09;5.1883842611983405e-07;5.6443065882674065e-16;2.9516656429812154e-08
35000000;0.0000000000000000e+00;6.5664757948997754e-07;3.1931135242967986e-16;2.1228200199839981e-08;7.0468195984630777e-07;5.3220915264119237e-16;2.8773237158439659e-08
37000000;0.0000000000000000e+00;5.7874936011413216e-07;2.0137211480764649e-16;1.8316453558543259e-08;4.1769698700890477e-07;1.3088803580995134e-15;3.0168541263637714e-08
39000000;0.0000000000000000e+00;6.4691921676669032e-07;1.9104290458325118e-16;2.5090475234709849e-08;5.7619010417653012e-07;1.2417303306018931e-15;3.4960160963820832e-08
