Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;5.1711998879909515e-02;4.6048000454902649e-02;5.2032001316547394e-02;5.1743999123573303e-02;4.6048000454902649e-02;4.1919998824596405e-02;3.2095998525619507e-02;0.0000000000000000e+00;2.6958169836200777e-07;1.1641484389543294e-16;1.9582724712092911e-08;2.6958169836200777e-07;2.3282968779086587e-16;4.2917018700385808e-08
3000000;7.0880003273487091e-02;5.5199999362230301e-02;7.0656001567840576e-02;6.2304001301527023e-02;5.6511998176574707e-02;7.7760003507137299e-02;5.0528001040220261e-02;0.0000000000000000e+00;1.4108991082661685e-07;1.5518880541871128e-16;2.5542800168051282e-08;2.2440626632395094e-07;3.1037761083742255e-16;5.7773555329282787e-08
5000000;1.0636799782514572e-01;6.8223997950553894e-02;1.0659199953079224e-01;7.5680002570152283e-02;6.9888003170490265e-02;1.1350400000810623e-01;6.8479999899864197e-02;0.0000000000000000e+00;1.1110883232705377e-07;5.5884211435171109e-16;1.1100140461716631e-08;3.1112621605772804e-07;7.4512281913561479e-16;1.1110883232705377e-07
7000000;1.4198400080204010e-01;8.4863997995853424e-02;1.4227199554443359e-01;9.1743998229503632e-02;8.5823997855186462e-02;1.4892800152301788e-01;8.6751997470855713e-02;0.0000000000000000e+00;8.9900051413032550e-07;0.0000000000000000e+00;2.9493424131502792e-08;8.9900051413032550e-07;1.0642798339653798e-15;2.9493424131502792e-08
9000000;1.7740799486637115e-01;1.0175999999046326e-01;1.7721599340438843e-01;1.0911999642848969e-01;1.0316800326108932e-01;1.8505600094795227e-01;1.0463999956846237e-01;0.0000000000000000e+00;1.0181722769609486e-06;0.0000000000000000e+00;1.8244067829805210e-08;6.8486287391723419e-07;2.2764028568322828e-15;1.8244067829805210e-08
11000000;2.1318399906158447e-01;1.1807999759912491e-01;2.1350400149822235e-01;1.2438400089740753e-01;1.1945600062608719e-01;2.2057600319385529e-01;1.2297599762678146e-01;0.0000000000000000e+00;8.7247052554998943e-07;5.0796007067749461e-16;3.6559429130713963e-08;8.7247052554998943e-07;1.0159201413549892e-15;3.6559429130713963e-08
13000000;2.4873599410057068e-01;1.3622400164604187e-01;2.4899199604988098e-01;1.4195199310779572e-01;1.3660800457000732e-01;2.5625601410865784e-01;1.4153599739074707e-01;0.0000000000000000e+00;8.8547044779664982e-08;1.4329628160062965e-16;1.1615439390526123e-08;1.1615439390526123e-08;3.1525181952138520e-15;1.1615439390526123e-08
15000000;2.8435200452804565e-01;1.5468800067901611e-01;2.8380799293518066e-01;1.5971200168132782e-01;1.5571199357509613e-01;2.9193601012229919e-01;1.5926399827003479e-01;0.0000000000000000e+00;6.6415870758118918e-07;1.2418984653761263e-16;2.5804541366921696e-09;5.3081087523761288e-07;1.8628476980641897e-15;2.5804541366921696e-09
17000000;3.2006400823593140e-01;1.7238399386405945e-01;3.2019200921058655e-01;1.7753599584102631e-01;1.7305600643157959e-01;3.2761600613594055e-01;1.7753599584102631e-01;0.0000000000000000e+00;4.7156737604885712e-07;2.1912301991182623e-16;1.0042738878319063e-09;5.8920815158911346e-07;4.3824603982365246e-16;1.0042738878319063e-09
19000000;3.5561600327491760e-01;1.8960000574588776e-01;3.5523200035095215e-01;1.9388799369335175e-01;1.8979200720787048e-01;3.6304000020027161e-01;1.9484800100326538e-01;0.0000000000000000e+00;2.9035137192756609e-07;1.9604477218195779e-16;2.5400834974913634e-08;3.9560210756172598e-07;7.8417908872783116e-16;7.9849900659246270e-08
