Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;2.8672000765800476e-01;4.1983999311923981e-02;2.8774398565292358e-01;2.8672000765800476e-01;4.4032000005245209e-02;2.0479999482631683e-02;2.0479999482631683e-02;0.0000000000000000e+00;1.0024501555940558e-08;8.4786118772347968e-16;2.0169765555447919e-08;6.6029880027380874e-07;1.2112302681763996e-16;1.4007936129951419e-07
3000000;7.3625600337982178e-01;5.1199998706579208e-02;7.3523199558258057e-01;7.2703999280929565e-01;5.5296000093221664e-02;4.9152001738548279e-02;2.4576000869274139e-02;0.0000000000000000e+00;2.4816839240103645e-07;1.9468980123444164e-16;1.8213007596279998e-08;4.8349464561979737e-07;3.8937960246888328e-16;3.9121810109369639e-08
5000000;8.7040001153945923e-01;6.4511999487876892e-02;8.6937600374221802e-01;8.5606402158737183e-01;6.9632001221179962e-02;7.1680001914501190e-02;4.5056000351905823e-02;0.0000000000000000e+00;1.3364443788266494e-06;2.3766461990901629e-15;1.9880042867548370e-08;6.4047044478653879e-07;4.3211749074366600e-16;2.9248347776648350e-07
7000000;8.7859201431274414e-01;7.2704002261161804e-02;8.7859201431274414e-01;8.5913598537445068e-01;7.6800003647804260e-02;9.4208002090454102e-02;5.6320000439882278e-02;0.0000000000000000e+00;5.8262832729050320e-08;1.3713783215534851e-16;6.2234740402328476e-09;6.4726533688060930e-07;4.1141349646604551e-16;6.0436498444145358e-07
9000000;8.8780802488327026e-01;8.3967998623847961e-02;8.8780802488327026e-01;7.1987199783325195e-01;7.6800003647804260e-02;1.1161600053310394e-01;6.3487999141216278e-02;0.0000000000000000e+00;1.4184134378075919e-05;3.7973084815256155e-14;1.2643916780720737e-07;1.9552859310603585e-05;1.6891941643797222e-14;1.3416377240986849e-06
11000000;6.9631999731063843e-01;7.6800003647804260e-02;6.9427198171615601e-01;6.7481601238250732e-01;7.9871997237205505e-02;1.3414399325847626e-01;7.4752002954483032e-02;0.0000000000000000e+00;7.2545672501084553e-07;6.7440934480375299e-15;3.2449146653624748e-08;6.4125422268384249e-07;1.8820725901500084e-15;1.8848208471262503e-06
13000000;7.0963197946548462e-01;8.0895997583866119e-02;7.0553600788116455e-01;6.7891198396682739e-01;8.1919997930526733e-02;1.5564799308776855e-01;8.6015999317169189e-02;0.0000000000000000e+00;3.5318035872816039e-06;4.1698905097838974e-15;7.0710152310773792e-08;3.8590902434209130e-07;2.5019343058703384e-15;5.0956814402903906e-07
15000000;7.2908800840377808e-01;9.1136001050472260e-02;7.1987199783325195e-01;6.8505597114562988e-01;9.0112000703811646e-02;1.7817600071430206e-01;9.8304003477096558e-02;0.0000000000000000e+00;2.1790103463353902e-06;1.7427512377956823e-14;1.2552140178751210e-07;6.6507525083402159e-08;2.1888955546713769e-14;2.3287115377633097e-06
17000000;7.3932802677154541e-01;1.0035199671983719e-01;7.2703999280929565e-01;6.8505597114562988e-01;1.0239999741315842e-01;2.0070399343967438e-01;1.0956799983978271e-01;0.0000000000000000e+00;4.1722377568617401e-05;1.3723227698630780e-14;5.7947194572333533e-07;1.0146941410842108e-05;3.2258496278599626e-14;8.6160111728893656e-06
19000000;7.6288002729415894e-01;1.1264000087976456e-01;7.4035197496414185e-01;6.8607997894287109e-01;1.1366400122642517e-01;2.2220799326896667e-01;1.2185599654912949e-01;0.0000000000000000e+00;4.2992663329504286e-07;3.5518424780803185e-15;4.3487596386601715e-08;1.4394518212000950e-06;2.0893191047531287e-15;2.0378016038061956e-06
