Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;-2.3465157845828162e+02;-2.3465150451660156e+02;-2.3465157845828108e+02;-2.3465158319114892e+02;-2.3465159606933594e+02;-2.3465157845828173e+02;-2.3465161132812500e+02
1;1000000;-1.1656602623813544e+02;-1.1656604003906250e+02;-1.1656602623813558e+02;-1.1656602836551059e+02;-1.1656595611572266e+02;-1.1656602623813569e+02;-1.1656613159179688e+02
2;1000000;6.3284647029934445e+02;6.3284655761718750e+02;6.3284647029934342e+02;6.3284646441403265e+02;6.3284661865234375e+02;6.3284647029934490e+02;6.3284649658203125e+02
3;1000000;3.0553266276405530e+01;3.0553352355957031e+01;3.0553266276405651e+01;3.0553237439235723e+01;3.0553359985351562e+01;3.0553266276405566e+01;3.0553207397460938e+01
4;1000000;6.2753876087933207e+01;6.2753898620605469e+01;6.2753876087933321e+01;6.2753886023446753e+01;6.2753776550292969e+01;6.2753876087933079e+01;6.2753929138183594e+01
5;1000000;3.5005159672043044e+02;3.5005157470703125e+02;3.5005159672043015e+02;3.5005160574808906e+02;3.5005160522460938e+02;3.5005159672043050e+02;3.5005163574218750e+02
6;1000000;-1.8907935146343000e+01;-1.8907955169677734e+01;-1.8907935146342723e+01;-1.8907947443261161e+01;-1.8908027648925781e+01;-1.8907935146342581e+01;-1.8907958984375000e+01
7;1000000;-5.8505714697569253e+00;-5.8505229949951172e+00;-5.8505714697572273e+00;-5.8505700614032436e+00;-5.8505969047546387e+00;-5.8505714697573126e+00;-5.8506240844726562e+00
8;1000000;-5.5549034126161280e+02;-5.5549060058593750e+02;-5.5549034126161246e+02;-5.5549032240081976e+02;-5.5549047851562500e+02;-5.5549034126161325e+02;-5.5549029541015625e+02
9;1000000;3.5630643020007085e+01;3.5630741119384766e+01;3.5630643020006993e+01;3.5630643427187508e+01;3.5630813598632812e+01;3.5630643020007099e+01;3.5630630493164062e+01
0;3000000;-5.8393833164746275e+02;-5.8393829345703125e+02;-5.8393833164746263e+02;-5.8393834228273749e+02;-5.8393853759765625e+02;-5.8393833164746320e+02;-5.8393835449218750e+02
1;3000000;-1.4680660729444404e+02;-1.4680717468261719e+02;-1.4680660729444409e+02;-1.4680663013825932e+02;-1.4680712890625000e+02;-1.4680660729444395e+02;-1.4680657958984375e+02
