Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;3.1085517229456008e+02;3.1085501098632812e+02;3.1085517229456036e+02;3.1085516357421875e+02;3.1085528564453125e+02;3.1085517229456076e+02;3.1085501098632812e+02
1;1000000;-1.0851523429487655e+02;-1.0851458740234375e+02;-1.0851523429487584e+02;-1.0851526641845703e+02;-1.0851488494873047e+02;-1.0851523429487516e+02;-1.0851528930664062e+02
2;1000000;1.7105301140841993e+03;1.7105308837890625e+03;1.7105301140842002e+03;1.7105301513671875e+03;1.7105299072265625e+03;1.7105301140842007e+03;1.7105302734375000e+03
3;1000000;4.7519442956273610e+02;4.7519412231445312e+02;4.7519442956273639e+02;4.7519442749023438e+02;4.7519454956054688e+02;4.7519442956273707e+02;4.7519433593750000e+02
4;1000000;-1.5454694827668482e+02;-1.5454681396484375e+02;-1.5454694827668456e+02;-1.5454692077636719e+02;-1.5454675292968750e+02;-1.5454694827668493e+02;-1.5454705810546875e+02
5;1000000;-7.3921386350598436e+02;-7.3921411132812500e+02;-7.3921386350598448e+02;-7.3921392822265625e+02;-7.3921405029296875e+02;-7.3921386350598425e+02;-7.3921386718750000e+02
6;1000000;1.3648371997305111e+02;1.3648443603515625e+02;1.3648371997305173e+02;1.3648373413085938e+02;1.3648414611816406e+02;1.3648371997305105e+02;1.3648385620117188e+02
7;1000000;-4.1577835138062335e+02;-4.1577819824218750e+02;-4.1577835138062392e+02;-4.1577832031250000e+02;-4.1577807617187500e+02;-4.1577835138062380e+02;-4.1577844238281250e+02
8;1000000;-3.7213491696494867e+02;-3.7213485717773438e+02;-3.7213491696494867e+02;-3.7213491821289062e+02;-3.7213458251953125e+02;-3.7213491696494765e+02;-3.7213485717773438e+02
9;1000000;-1.0304684472698073e+03;-1.0304685058593750e+03;-1.0304684472698070e+03;-1.0304683837890625e+03;-1.0304678955078125e+03;-1.0304684472698082e+03;-1.0304685058593750e+03
0;3000000;-8.2219323632302280e+02;-8.2219506835937500e+02;-8.2219323632302485e+02;-8.2219329833984375e+02;-8.2219451904296875e+02;-8.2219323632302257e+02;-8.2219293212890625e+02
1;3000000;-5.1425831022167495e+02;-5.1425878906250000e+02;-5.1425831022167574e+02;-5.1425836181640625e+02;-5.1425836181640625e+02;-5.1425831022167540e+02;-5.1425854492187500e+02
2;3000000;1.3858645153473722e+03;1.3858641357421875e+03;1.3858645153473685e+03;1.3858643798828125e+03;1.3858616943359375e+03;1.3858645153473717e+03;1.3858642578125000e+03
3;3000000;-1.5206423691596829e+03;-1.5206413574218750e+03;-1.5206423691596819e+03;-1.5206423339843750e+03;-1.5206416015625000e+03;-1.5206423691596797e+03;-1.5206422119140625e+03
4;3000000;2.6818212875627978e+02;2.6818139648437500e+02;2.6818212875627967e+02;2.6818212890625000e+02;2.6818246459960938e+02;2.6818212875627933e+02;2.6818225097656250e+02
5;3000000;-1.0296152765893880e+03;-1.0296181640625000e+03;-1.0296152765893910e+03;-1.0296153564453125e+03;-1.0296169433593750e+03;-1.0296152765893939e+03;-1.0296152343750000e+03
6;3000000;-3.2885661573642949e+02;-3.2885665893554688e+02;-3.2885661573642869e+02;-3.2885659790039062e+02;-3.2885620117187500e+02;-3.2885661573643267e+02;-3.2885644531250000e+02
7;3000000;7.7537404558188655e+01;7.7537689208984375e+01;7.7537404558187689e+01;7.7537406921386719e+01;7.7537628173828125e+01;7.7537404558189792e+01;7.7537536621093750e+01
8;3000000;9.6493808845351759e+02;9.6493774414062500e+02;9.6493808845351737e+02;9.6493817138671875e+02;9.6493798828125000e+02;9.6493808845351828e+02;9.6493774414062500e+02
9;3000000;-3.3041713019092902e+02;-3.3041827392578125e+02;-3.3041713019092970e+02;-3.3041705322265625e+02;-3.3041720581054688e+02;-3.3041713019092833e+02;-3.3041735839843750e+02
0;5000000;7.1968476468189363e+02;7.1968359375000000e+02;7.1968476468189942e+02;7.1968463134765625e+02;7.1968652343750000e+02;7.1968476468189431e+02;7.1968444824218750e+02
1;5000000;7.2166389422384100e+01;7.2166397094726562e+01;7.2166389422385407e+01;7.2166229248046875e+01;7.2167037963867188e+01;7.2166389422383759e+01;7.2166931152343750e+01
2;5000000;1.9318941320047034e+03;1.9318946533203125e+03;1.9318941320047029e+03;1.9318940429687500e+03;1.9318939208984375e+03;1.9318941320047049e+03;1.9318937988281250e+03
3;5000000;-1.5559948532499263e+01;-1.5561775207519531e+01;-1.5559948532498641e+01;-1.5559923171997070e+01;-1.5561916351318359e+01;-1.5559948532498311e+01;-1.5559997558593750e+01
4;5000000;-1.6918271296547707e+03;-1.6918262939453125e+03;-1.6918271296547734e+03;-1.6918271484375000e+03;-1.6918256835937500e+03;-1.6918271296547709e+03;-1.6918276367187500e+03
5;5000000;1.2049480942269413e+03;1.2049471435546875e+03;1.2049480942269406e+03;1.2049479980468750e+03;1.2049476318359375e+03;1.2049480942269379e+03;1.2049483642578125e+03
6;5000000;-2.6161737885387547e+03;-2.6161738281250000e+03;-2.6161737885387547e+03;-2.6161738281250000e+03;-2.6161740722656250e+03;-2.6161737885387556e+03;-2.6161735839843750e+03
7;5000000;8.3618058430188796e+02;8.3618035888671875e+02;8.3618058430189001e+02;8.3618060302734375e+02;8.3618218994140625e+02;8.3618058430188580e+02;8.3618048095703125e+02
8;5000000;1.1653838126707021e+03;1.1653826904296875e+03;1.1653838126707039e+03;1.1653839111328125e+03;1.1653820800781250e+03;1.1653838126707001e+03;1.1653834228515625e+03
9;5000000;-2.2623282690003663e+02;-2.2623194885253906e+02;-2.2623282690003532e+02;-2.2623266601562500e+02;-2.2623175048828125e+02;-2.2623282690003794e+02;-2.2623303222656250e+02
0;7000000;-8.8386604294256017e+02;-8.8386627197265625e+02;-8.8386604294255778e+02;-8.8386621093750000e+02;-8.8386651611328125e+02;-8.8386604294255903e+02;-8.8386712646484375e+02
1;7000000;-3.9872848035301706e+02;-3.9873153686523438e+02;-3.9872848035301695e+02;-3.9872869873046875e+02;-3.9873019409179688e+02;-3.9872848035301706e+02;-3.9872869873046875e+02
2;7000000;2.3130598765004634e+03;2.3130593261718750e+03;2.3130598765004597e+03;2.3130598144531250e+03;2.3130590820312500e+03;2.3130598765004597e+03;2.3130593261718750e+03
3;7000000;3.0480280023492178e+03;3.0480241699218750e+03;3.0480280023492182e+03;3.0480280761718750e+03;3.0480229492187500e+03;3.0480280023492146e+03;3.0480280761718750e+03
4;7000000;-2.7019298433515050e+03;-2.7019274902343750e+03;-2.7019298433515023e+03;-2.7019299316406250e+03;-2.7019282226562500e+03;-2.7019298433515087e+03;-2.7019299316406250e+03
5;7000000;1.4760202929515913e+03;1.4760223388671875e+03;1.4760202929515892e+03;1.4760202636718750e+03;1.4760207519531250e+03;1.4760202929515876e+03;1.4760205078125000e+03
6;7000000;-2.5606366266721225e+03;-2.5606386718750000e+03;-2.5606366266721238e+03;-2.5606367187500000e+03;-2.5606381835937500e+03;-2.5606366266721225e+03;-2.5606372070312500e+03
7;7000000;-6.2442482771414211e+02;-6.2442449951171875e+02;-6.2442482771414348e+02;-6.2442480468750000e+02;-6.2442474365234375e+02;-6.2442482771413961e+02;-6.2442504882812500e+02
8;7000000;8.4087865572928905e+01;8.4088394165039062e+01;8.4087865572928052e+01;8.4087997436523438e+01;8.4088470458984375e+01;8.4087865572926944e+01;8.4087585449218750e+01
9;7000000;-2.2755214284148434e+02;-2.2755413818359375e+02;-2.2755214284148335e+02;-2.2755198669433594e+02;-2.2755296325683594e+02;-2.2755214284148366e+02;-2.2755218505859375e+02
0;9000000;2.5785469625827767e+02;2.5785479736328125e+02;2.5785469625827830e+02;2.5785449218750000e+02;2.5785348510742188e+02;2.5785469625827568e+02;2.5785443115234375e+02
1;9000000;-7.4607387578026783e+02;-7.4607720947265625e+02;-7.4607387578027169e+02;-7.4607415771484375e+02;-7.4607727050781250e+02;-7.4607387578026987e+02;-7.4607336425781250e+02
2;9000000;1.9591367037591012e+03;1.9591414794921875e+03;1.9591367037591028e+03;1.9591365966796875e+03;1.9591409912109375e+03;1.9591367037591021e+03;1.9591369628906250e+03
