Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;4.8444897200599218e-07;7.5620703371034915e-16;6.8163287623994940e-08;5.9867994890859613e-07;9.8816428572796507e-16;2.0794849608369864e-07
3000000;0.0000000000000000e+00;1.5796799351113023e-06;2.2421737262531174e-15;7.6493757916083075e-08;1.2564598739217770e-06;1.8800450209398650e-15;4.1285748999468450e-07
5000000;0.0000000000000000e+00;6.4147110145421327e-07;2.0300090609217550e-15;8.2154959251609820e-08;1.7034603880925620e-06;2.1695950445187472e-15;3.1710616322414521e-07
7000000;0.0000000000000000e+00;1.0641244401411054e-06;1.4796025126641814e-15;3.6417771264638284e-08;6.0392503839790679e-07;1.4596182096371378e-15;2.3228437413033801e-07
9000000;0.0000000000000000e+00;1.9481985037218758e-06;1.7697344805313499e-15;5.2584083955943305e-08;1.4652688584454661e-06;1.1413257012751964e-15;3.5313743115733202e-07
11000000;0.0000000000000000e+00;1.0079084971795078e-06;6.2465356718484963e-16;3.4808237607313983e-08;4.1716781849230227e-07;1.5035644931796805e-15;1.3855609443556817e-07
13000000;0.0000000000000000e+00;6.5262477983916200e-07;1.6082451835352164e-15;3.1677925396866389e-08;1.1103536907762347e-06;1.4826685845682319e-15;2.1326233762550307e-07
15000000;0.0000000000000000e+00;1.0105083685874228e-06;1.2698402637654458e-15;5.6266678681390764e-08;5.2699131338044372e-07;1.5777817514568763e-15;2.2422084155393420e-07
17000000;0.0000000000000000e+00;7.5198327771050592e-07;1.0659880797570888e-15;5.6928555539709562e-08;6.3878641895204089e-07;1.8050379365293518e-15;2.3406858404125239e-07
19000000;0.0000000000000000e+00;6.2573458470890526e-07;9.7199148860619240e-16;5.3458642710949720e-08;5.9104327802733122e-07;1.3861750752187234e-15;4.2182296435292052e-07
21000000;0.0000000000000000e+00;8.4010442297173183e-07;1.6790316196530210e-15;6.3534668254614510e-08;6.7894634535016454e-07;2.5095851813359035e-15;3.7064192949131675e-07
23000000;0.0000000000000000e+00;8.2649930880764017e-07;9.8559394755839108e-16;6.5208138310649699e-08;1.1077128574499426e-06;1.8503576729899603e-15;1.8805702890708835e-07
25000000;0.0000000000000000e+00;1.0482544332880098e-06;1.4711854352118839e-15;2.4407049217099501e-08;1.3767527566891577e-06;1.3847378593862904e-15;3.6412308333503046e-07
27000000;0.0000000000000000e+00;2.1528083285962727e-06;1.4996780234922146e-15;2.6703484624071571e-08;5.5291337049867523e-07;1.5892561361002324e-15;2.9866958199459723e-07
29000000;0.0000000000000000e+00;3.9637874990718205e-07;1.4343632300408241e-15;3.9482625724505939e-08;6.7352992922058753e-07;2.0161819467859669e-15;5.2728198509952192e-07
31000000;0.0000000000000000e+00;7.1940116752911898e-07;8.2873705566716528e-16;4.6565842175406101e-08;8.4868813769183224e-07;1.0195688062950112e-15;4.4587266072814231e-07
33000000;0.0000000000000000e+00;9.2031020646507410e-07;8.7551278716664749e-16;5.2070767287801829e-08;6.9920749208697279e-07;1.5094693973576187e-15;2.4791850273492674e-07
35000000;0.0000000000000000e+00;8.6791336422599757e-07;1.2063373704125990e-15;5.4041242375582408e-08;1.2615515641183474e-06;2.3921363131396208e-15;5.6149054646035219e-07
37000000;0.0000000000000000e+00;9.9328645616235809e-07;1.7747538162027709e-15;4.8415874772701790e-08;1.6406286581655740e-06;1.4248278556011823e-15;3.0264217728857721e-07
39000000;0.0000000000000000e+00;3.6434741364996013e-07;1.4611227457071101e-15;2.2631455134924525e-08;9.5125168734542033e-07;1.6250364439564296e-15;5.5923185216494612e-07
41000000;0.0000000000000000e+00;6.3660686460390261e-07;1.0367635664522167e-15;5.1575696491281333e-08;6.5051521972408146e-07;2.1681864050871195e-15;3.2930349749936292e-07
43000000;0.0000000000000000e+00;1.3513084845323051e-06;9.6832650804396095e-16;8.4120708708049309e-08;1.2182157608612873e-06;1.5825420570853470e-15;4.9064402847210478e-07
45000000;0.0000000000000000e+00;7.4457653515985433e-07;7.8995376040983923e-16;3.1221219453022230e-08;5.7252466118512404e-07;1.8519470125126113e-15;4.4896742605782213e-07
47000000;0.0000000000000000e+00;7.7868800105899282e-07;1.4350024423955239e-15;4.6714751835942217e-08;4.8385839624222590e-07;9.2189104002420924e-16;4.0017167056987205e-07
49000000;0.0000000000000000e+00;9.0657880557595404e-07;1.2648410777763041e-15;2.9626733447476596e-08;7.8995503083537861e-07;1.7192430923164062e-15;3.9319674997998166e-07
51000000;0.0000000000000000e+00;3.0222689648150275e-07;1.3949581985221330e-15;3.6779425732736519e-08;9.9149759157919012e-07;1.1210939020392081e-15;3.7008086152065526e-07
53000000;0.0000000000000000e+00;3.7297547431569531e-07;5.7781190122920421e-16;2.9985629887301773e-08;6.1957060678775066e-07;1.4190485223883674e-15;2.0739562894359781e-07
55000000;0.0000000000000000e+00;1.1118471496925641e-06;1.4146890189270260e-15;3.9420091896639707e-08;1.0808045460730334e-06;1.7138596478339817e-15;4.8849889740923220e-07
57000000;0.0000000000000000e+00;5.8104212074404193e-07;1.3230183671339560e-15;6.0744053924836561e-08;8.5271613674294000e-07;1.6354172809205693e-15;3.5077323221987597e-07
59000000;0.0000000000000000e+00;7.2905724117129689e-07;1.1542270261876612e-15;7.0251781720813801e-08;3.1140960029754074e-07;1.9025617129809645e-15;4.5152598325594324e-07
61000000;0.0000000000000000e+00;9.3959597063842278e-07;1.4505622522726107e-15;5.7057420560868300e-08;6.7737910498568745e-07;1.7279185887448686e-15;6.8184753971513367e-07
63000000;0.0000000000000000e+00;1.5140882723620984e-06;2.7317951766724070e-16;3.3604229972287373e-08;1.4462232831640716e-06;2.3071055833888602e-15;5.5321344433661228e-07
65000000;0.0000000000000000e+00;6.7712058248528144e-07;1.4694920717282702e-15;4.4238821960898080e-08;5.1793489005220866e-07;1.5925506471210867e-15;4.8169360711538259e-07
