Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;5.3247999399900436e-02;4.6080000698566437e-02;5.2223999053239822e-02;5.1199998706579208e-02;4.6080000698566437e-02;4.0959998965263367e-02;3.1743999570608139e-02;0.0000000000000000e+00;5.1891763969257612e-07;2.0114756426712665e-15;2.8052747534981124e-08;1.4024744455762470e-06;1.0971685323661454e-15;5.1891763969257612e-07
3000000;6.9632001221179962e-02;5.5296000093221664e-02;7.0656001567840576e-02;6.2463998794555664e-02;5.6320000439882278e-02;7.7823996543884277e-02;4.9152001738548279e-02;0.0000000000000000e+00;9.6624328803106649e-07;4.2864521546434558e-15;7.5428522544177263e-08;1.5601197983556593e-06;1.3827265014978890e-16;3.6997886019926739e-07
5000000;1.0547199845314026e-01;6.8608000874519348e-02;1.0547199845314026e-01;7.6800003647804260e-02;7.0656001567840576e-02;1.1264000087976456e-01;6.8608000874519348e-02;0.0000000000000000e+00;1.0020469828532729e-06;2.8434158667977200e-15;1.8526756017125353e-07;1.5396516640718262e-07;3.3173185112640067e-15;4.3969210510508058e-07
7000000;1.4233599603176117e-01;8.6015999317169189e-02;1.4233599603176117e-01;9.3184001743793488e-02;8.8064000010490417e-02;1.4950400590896606e-01;8.7039999663829803e-02;0.0000000000000000e+00;1.7095947986723741e-08;2.1866166900509307e-15;1.9006832788069941e-07;5.0047925834404440e-07;1.2862451117946653e-16;1.2258897072178152e-06
9000000;1.7817600071430206e-01;1.0239999741315842e-01;1.7715199291706085e-01;1.1059200018644333e-01;1.0444799810647964e-01;1.8432000279426575e-01;1.0444799810647964e-01;0.0000000000000000e+00;3.2768063962833474e-06;2.6453698002322090e-15;7.9141772613448044e-07;7.9141772613448044e-07;6.6134245005805228e-15;1.0281214090058011e-06
11000000;2.1401600539684296e-01;1.1878400295972824e-01;2.1299199759960175e-01;1.2595200538635254e-01;1.2083200365304947e-01;2.2015999257564545e-01;1.2287999689579010e-01;0.0000000000000000e+00;4.5178841442059465e-07;1.0122687288951981e-15;1.7022305883758009e-08;4.5178841442059465e-07;8.0981498311615857e-16;1.2571383301796717e-07
13000000;2.4985599517822266e-01;1.3721600174903870e-01;2.4985599517822266e-01;1.4233599603176117e-01;1.3823999464511871e-01;2.5600001215934753e-01;1.4131200313568115e-01;0.0000000000000000e+00;3.1726404401044670e-07;3.7083855535311430e-16;1.8625393884663262e-08;4.1681026071904121e-07;0.0000000000000000e+00;1.8046703953252570e-07
15000000;2.8364801406860352e-01;1.5462400019168854e-01;2.8364801406860352e-01;1.5974399447441101e-01;1.5667200088500977e-01;2.9183998703956604e-01;1.5872000157833099e-01;0.0000000000000000e+00;8.8522476152782778e-07;1.8228401614958668e-16;4.4578875885658343e-09;4.8485704237769086e-07;1.4582721291966934e-15;2.0018385957506849e-07
17000000;3.1948798894882202e-01;1.7203199863433838e-01;3.2051199674606323e-01;1.7919999361038208e-01;1.7305600643157959e-01;3.2767999172210693e-01;1.7715199291706085e-01;0.0000000000000000e+00;4.9430215545746720e-07;1.0674331887399218e-15;3.5843091827171320e-08;1.1103045672485685e-06;6.4045991324395300e-16;7.8771674080402664e-08
19000000;3.5635200142860413e-01;1.8943999707698822e-01;3.5532799363136292e-01;1.9558399915695190e-01;1.9046400487422943e-01;3.6249598860740662e-01;1.9456000626087189e-01;0.0000000000000000e+00;2.6777156562875455e-07;3.3644183957871649e-16;2.6937115962643583e-08;1.4735434079569907e-07;7.8503095901700524e-16;9.3480108870411899e-08
