Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
100;+0.0000000000000000e+00;+7.6487181949024049e-08;+0.0000000000000000e+00;+4.2161278806643940e-08;+7.6487181949024049e-08;+1.9560329738641642e-16;+1.0008305373186204e-07
200;+0.0000000000000000e+00;+9.0945530387379998e-08;+0.0000000000000000e+00;+4.2563123446607027e-08;+9.0945530387379998e-08;+2.0683438871866474e-16;+1.0576950969844486e-07
300;+0.0000000000000000e+00;+8.8202333170674096e-08;+0.0000000000000000e+00;+4.2583903862992760e-08;+8.8202333170674096e-08;+2.1964948725348999e-16;+1.1834920409314949e-07
400;+0.0000000000000000e+00;+9.1938779901502122e-08;+0.0000000000000000e+00;+4.1077170684146247e-08;+9.1938779901502122e-08;+2.3552839073739098e-16;+1.2637884811706125e-07
500;+0.0000000000000000e+00;+9.3739597711214601e-08;+0.0000000000000000e+00;+3.9602507954616957e-08;+9.3739597711214601e-08;+2.7030999748578561e-16;+1.2485988037386693e-07
600;+0.0000000000000000e+00;+8.8643216134535458e-08;+0.0000000000000000e+00;+4.0700728588209094e-08;+8.8643216134535458e-08;+2.6322325643353536e-16;+1.2924574265343741e-07
700;+0.0000000000000000e+00;+9.3293669190010565e-08;+0.0000000000000000e+00;+4.1717181848558901e-08;+9.3293669190010565e-08;+2.5852298856479381e-16;+1.3183882204199741e-07
800;+0.0000000000000000e+00;+9.8557637465969164e-08;+0.0000000000000000e+00;+4.1972030856676480e-08;+9.8557637465969164e-08;+2.8057077344895510e-16;+1.2900901356936327e-07
900;+0.0000000000000000e+00;+9.8471519688872889e-08;+0.0000000000000000e+00;+4.3374285501427653e-08;+9.8471519688872889e-08;+2.9424141942757868e-16;+1.3523970703537570e-07
1000;+0.0000000000000000e+00;+9.6345367831245578e-08;+0.0000000000000000e+00;+4.2566923034172418e-08;+9.6345367831245578e-08;+2.9933093996913365e-16;+1.3807090720311776e-07
1100;+0.0000000000000000e+00;+9.5688299780715762e-08;+0.0000000000000000e+00;+4.2497150520919487e-08;+9.5688299780715762e-08;+2.7882481204119385e-16;+1.3547879989360663e-07
1200;+0.0000000000000000e+00;+9.5155428962058564e-08;+0.0000000000000000e+00;+4.3250049884514492e-08;+9.5155428962058564e-08;+2.8076915607097377e-16;+1.3363437550283756e-07
1300;+0.0000000000000000e+00;+9.5306082278336561e-08;+0.0000000000000000e+00;+4.1436514025164965e-08;+9.5306082278336561e-08;+2.7522443381307673e-16;+1.3574388107479663e-07
1400;+0.0000000000000000e+00;+9.9192386244718052e-08;+0.0000000000000000e+00;+4.2379148114632006e-08;+9.9192386244718052e-08;+2.7902908574337049e-16;+1.3591743531937595e-07
1500;+0.0000000000000000e+00;+1.0160989185461503e-07;+0.0000000000000000e+00;+4.2657869839289523e-08;+1.0160989185461503e-07;+2.9380343783550243e-16;+1.4150091688941054e-07
1600;+0.0000000000000000e+00;+1.0046039441499690e-07;+0.0000000000000000e+00;+4.2989382216449077e-08;+1.0046039441499690e-07;+2.9100985287514665e-16;+1.4204296564990456e-07
1700;+0.0000000000000000e+00;+9.7553571547292029e-08;+0.0000000000000000e+00;+4.2723395986177632e-08;+9.7553571547292029e-08;+2.7965889172760375e-16;+1.3768421577028365e-07
1800;+0.0000000000000000e+00;+9.6191346820864449e-08;+0.0000000000000000e+00;+4.2891079946441613e-08;+9.6191346820864449e-08;+2.7945063309341048e-16;+1.3749963074608982e-07
