Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
100;+1.0656000114977360e-02;+1.0623999871313572e-02;+1.0143999941647053e-02;+1.0015999898314476e-02;+9.7599998116493225e-03;+1.2703999876976013e-02;+1.3120000250637531e-02
200;+1.0944000445306301e-02;+1.0912000201642513e-02;+1.1040000244975090e-02;+1.0912000201642513e-02;+1.0784000158309937e-02;+1.3567999936640263e-02;+1.3695999979972839e-02
300;+1.1199999600648880e-02;+1.0879999957978725e-02;+1.1103999800980091e-02;+1.1103999800980091e-02;+1.1040000244975090e-02;+1.3439999893307686e-02;+1.3600000180304050e-02
400;+1.2512000277638435e-02;+1.2160000391304493e-02;+1.2671999633312225e-02;+1.2480000033974648e-02;+1.2160000391304493e-02;+1.4240000396966934e-02;+1.3984000310301781e-02
500;+1.3248000293970108e-02;+1.3024000450968742e-02;+1.3216000050306320e-02;+1.2351999990642071e-02;+1.2223999947309494e-02;+1.3728000223636627e-02;+1.3248000293970108e-02
600;+1.3439999893307686e-02;+1.2575999833643436e-02;+1.2831999920308590e-02;+1.3407999649643898e-02;+1.3472000136971474e-02;+1.4592000283300877e-02;+1.3376000337302685e-02
700;+1.4783999882638454e-02;+1.4143999665975571e-02;+1.5680000185966492e-02;+1.5039999969303608e-02;+1.4783999882638454e-02;+1.7087999731302261e-02;+1.5584000386297703e-02
800;+1.6416000202298164e-02;+1.5424000099301338e-02;+1.6704000532627106e-02;+1.5936000272631645e-02;+1.5776000916957855e-02;+1.7184000462293625e-02;+1.5839999541640282e-02
900;+1.7888000234961510e-02;+1.6640000045299530e-02;+1.7888000234961510e-02;+1.6799999400973320e-02;+1.6575999557971954e-02;+1.9487999379634857e-02;+1.6287999227643013e-02
1000;+2.1247999742627144e-02;+1.7599999904632568e-02;+2.0991999655961990e-02;+1.7791999503970146e-02;+1.7567999660968781e-02;+2.2975999861955643e-02;+1.7055999487638474e-02
1100;+2.3903999477624893e-02;+1.8688000738620758e-02;+2.3615999147295952e-02;+1.9071999937295914e-02;+1.8719999119639397e-02;+2.6240000501275063e-02;+1.7664000391960144e-02
1200;+2.6016000658273697e-02;+1.9616000354290009e-02;+2.5823999196290970e-02;+2.0320000126957893e-02;+1.9680000841617584e-02;+2.8127999976277351e-02;+1.8368000164628029e-02
1300;+2.7904000133275986e-02;+2.1471999585628510e-02;+2.8127999976277351e-02;+2.1983999758958817e-02;+2.1376000717282295e-02;+3.1039999797940254e-02;+2.0896000787615776e-02
1400;+3.0944000929594040e-02;+2.3647999390959740e-02;+3.0400000512599945e-02;+2.4159999564290047e-02;+2.3455999791622162e-02;+3.3280000090599060e-02;+2.2848000749945641e-02
1500;+3.3215999603271484e-02;+2.5183999910950661e-02;+3.3440001308917999e-02;+2.6335999369621277e-02;+2.5472000241279602e-02;+4.8000000417232513e-02;+3.3472001552581787e-02
1600;+3.6416001617908478e-02;+2.7168000116944313e-02;+3.6575999110937119e-02;+2.7327999472618103e-02;+2.6976000517606735e-02;+5.0080001354217529e-02;+3.4976001828908920e-02
1700;+4.3519999831914902e-02;+3.0527999624609947e-02;+4.3584000319242477e-02;+3.1295999884605408e-02;+3.0719999223947525e-02;+5.3311999887228012e-02;+3.6671999841928482e-02
