Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
50;+0.0000000000000000e+00;+1.3589219700176581e-07;+0.0000000000000000e+00;+5.8480627331051276e-08;+1.3589219700176581e-07;+3.2683228985068959e-16;+1.2626045538113764e-07
100;+0.0000000000000000e+00;+2.0805985338468580e-07;+0.0000000000000000e+00;+8.3502134554747459e-08;+2.0805985338468580e-07;+6.1720661786175755e-16;+2.2552326515939628e-07
150;+0.0000000000000000e+00;+3.2561198959573710e-07;+0.0000000000000000e+00;+9.8556277392715786e-08;+3.2561198959573710e-07;+8.6272436205665164e-16;+3.6904176358227535e-07
200;+0.0000000000000000e+00;+5.3280972271742062e-07;+0.0000000000000000e+00;+1.2684424235964010e-07;+5.3280972271742062e-07;+1.2604759000160086e-15;+5.4274257916634646e-07
250;+0.0000000000000000e+00;+5.6791175543486817e-07;+0.0000000000000000e+00;+1.6007145399870987e-07;+5.6791175543486817e-07;+1.3497215498845927e-15;+5.2965217853931916e-07
300;+0.0000000000000000e+00;+5.4559581725059690e-07;+0.0000000000000000e+00;+1.9098012287347027e-07;+5.4559581725059690e-07;+1.5449148838174301e-15;+8.4598206532799433e-07
350;+0.0000000000000000e+00;+6.7313305559843027e-07;+0.0000000000000000e+00;+2.0322482380630174e-07;+6.7313305559843027e-07;+2.0615414903174271e-15;+7.6391930726526759e-07
400;+0.0000000000000000e+00;+7.8310284723217546e-07;+0.0000000000000000e+00;+2.1672958311479420e-07;+7.8310284723217546e-07;+1.6043859364661640e-15;+9.4170739611135716e-07
450;+0.0000000000000000e+00;+9.2865986416331789e-07;+0.0000000000000000e+00;+2.6008160560785618e-07;+9.2865986416331789e-07;+2.7291713692419412e-15;+1.0196695884570958e-06
500;+0.0000000000000000e+00;+9.3303265310648599e-07;+0.0000000000000000e+00;+3.0555255025472194e-07;+9.3303265310648599e-07;+3.2207188249844368e-15;+1.1488255737342635e-06
550;+0.0000000000000000e+00;+1.0151694805174349e-06;+0.0000000000000000e+00;+3.1211585088382864e-07;+1.0151694805174349e-06;+2.9129461710992410e-15;+1.1369926112840346e-06
600;+0.0000000000000000e+00;+1.0770943677139025e-06;+0.0000000000000000e+00;+3.2352262639328870e-07;+1.0770943677139025e-06;+2.7452744473938845e-15;+1.2481280505645537e-06
650;+0.0000000000000000e+00;+1.2953491039959634e-06;+0.0000000000000000e+00;+3.4966270989375058e-07;+1.2953491039959634e-06;+3.1280352156282602e-15;+1.5682838285757764e-06
700;+0.0000000000000000e+00;+1.3479408602376296e-06;+0.0000000000000000e+00;+4.0018313070252992e-07;+1.3479408602376296e-06;+3.5690338370979997e-15;+1.4313713152532724e-06
