Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;2.5949728938132579e-07;3.4932284096787110e-16;5.0684187148633519e-11;2.0170357126122083e-07;7.5709589504051093e-16;3.2277416573956426e-08
3000000;0.0000000000000000e+00;5.5506717079741949e-07;5.4339629777107074e-16;1.3808913981887493e-11;5.6902091750739702e-07;1.0092392967919918e-15;4.5509563411889469e-08
5000000;0.0000000000000000e+00;4.8499714214105219e-07;4.6570051531476148e-16;1.0346786309987575e-11;4.7148454798218279e-07;1.3037189627108497e-15;5.0922100625405324e-08
7000000;0.0000000000000000e+00;5.9278504922349307e-07;6.6517173081733997e-16;6.8721971033111891e-12;6.8357737231239177e-07;7.9835228396311731e-16;2.9499210024030926e-08
9000000;0.0000000000000000e+00;3.8912425334982689e-07;1.1383112496252078e-15;7.1422562009392468e-12;3.3912254016363976e-07;7.2452542697159789e-16;1.9061607868550958e-08
11000000;0.0000000000000000e+00;7.6694431937611265e-07;9.3124722704287483e-16;7.2414515032058484e-12;7.1343902066581100e-07;8.4682113970522222e-16;1.6654373906775655e-08
13000000;0.0000000000000000e+00;6.2536986934203936e-07;7.8801508885312999e-16;3.1158007762215347e-12;5.4843552185108156e-07;1.0029505069138375e-15;4.2461065575537695e-08
15000000;0.0000000000000000e+00;5.7497446749027688e-07;4.3467168085469195e-16;3.3836699239262245e-12;5.6800212061973437e-07;1.3659101615259395e-15;1.4591011506316553e-08
17000000;0.0000000000000000e+00;5.8234936167432932e-07;7.6699285619445684e-16;3.6366292123525494e-12;6.9999013721458561e-07;6.5738063805899485e-16;1.3630134379108740e-08
19000000;0.0000000000000000e+00;6.4434603198377194e-07;1.1764730356262978e-15;3.4589038115268207e-12;7.6980952853283165e-07;8.8235179392971326e-16;5.0988000953786409e-08
21000000;0.0000000000000000e+00;4.4969451083334516e-07;1.0643969832734358e-15;4.9612870621310824e-12;5.3324017745576554e-07;1.2417797387945096e-15;3.3442595566120390e-08
23000000;0.0000000000000000e+00;7.4586924292591495e-07;9.7183985787923113e-16;4.8050710754336539e-12;6.8405033699081741e-07;1.2146826012721163e-15;3.7030194147753195e-08
25000000;0.0000000000000000e+00;7.5796902522482241e-07;2.9803654197511369e-16;4.8488211844537376e-12;6.3797636785530274e-07;1.2665555923616281e-15;2.4323774075279300e-08
27000000;0.0000000000000000e+00;6.4076505898956568e-07;4.8296682439768953e-16;4.5385725052183848e-12;4.4975728934760378e-07;1.4488379158171480e-15;3.1397567565468050e-08
29000000;0.0000000000000000e+00;7.9810186370851290e-07;1.2203871434315952e-15;4.4825417021868084e-12;6.3550040494101451e-07;6.4225696771335824e-16;4.4039381278800505e-08
31000000;0.0000000000000000e+00;5.5144008193090440e-07;5.4074794779686673e-16;5.0319118879045753e-12;6.1595108311990494e-07;7.8109374240224372e-16;1.7526484630651217e-08
33000000;0.0000000000000000e+00;4.8888126690874523e-07;5.6441065925125377e-16;5.5160586934156798e-12;4.5857537352345129e-07;1.6934173084836936e-16;1.5005961539840967e-08
