Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;2.5000102635429884e+05;2.5000109375000000e+05;2.5000102635429875e+05;2.5000102636144607e+05;2.5000109375000000e+05;2.5000102635429878e+05;2.5000103125000000e+05
1;1000000;2.4977439134532242e+05;2.4977440625000000e+05;2.4977439134532242e+05;2.4977439135973895e+05;2.4977439062500000e+05;2.4977439134532236e+05;2.4977439062500000e+05
2;1000000;2.5005753281970418e+05;2.5005731250000000e+05;2.5005753281970427e+05;2.5005753279625927e+05;2.5005731250000000e+05;2.5005753281970456e+05;2.5005753125000000e+05
3;1000000;2.4988896375374810e+05;2.4988895312500000e+05;2.4988896375374819e+05;2.4988896377747032e+05;2.4988900000000000e+05;2.4988896375374804e+05;2.4988895312500000e+05
4;1000000;2.4997278791015802e+05;2.4997279687500000e+05;2.4997278791015802e+05;2.4997278790326766e+05;2.4997278125000000e+05;2.4997278791015781e+05;2.4997279687500000e+05
5;1000000;2.5045582809190961e+05;2.5045576562500000e+05;2.5045582809190976e+05;2.5045582808263597e+05;2.5045578125000000e+05;2.5045582809191005e+05;2.5045582812500000e+05
6;1000000;2.4989841545696507e+05;2.4989856250000000e+05;2.4989841545696495e+05;2.4989841544404314e+05;2.4989848437500000e+05;2.4989841545696478e+05;2.4989840625000000e+05
7;1000000;2.4974831966566929e+05;2.4974828125000000e+05;2.4974831966566926e+05;2.4974831967899745e+05;2.4974826562500000e+05;2.4974831966566911e+05;2.4974831250000000e+05
8;1000000;2.4966346934371712e+05;2.4966326562500000e+05;2.4966346934371695e+05;2.4966346935611533e+05;2.4966325000000000e+05;2.4966346934371733e+05;2.4966348437500000e+05
9;1000000;2.5014036489749991e+05;2.5014029687500000e+05;2.5014036489750014e+05;2.5014036489093749e+05;2.5014032812500000e+05;2.5014036489750008e+05;2.5014037500000000e+05
0;3000000;7.5015283166100073e+05;7.5015237500000000e+05;7.5015283166099957e+05;7.5015283167028893e+05;7.5015256250000000e+05;7.5015283166100411e+05;7.5015287500000000e+05
1;3000000;7.4972562410477293e+05;7.4972600000000000e+05;7.4972562410477235e+05;7.4972562410268700e+05;7.4972606250000000e+05;7.4972562410477304e+05;7.4972562500000000e+05
2;3000000;7.5008320634437585e+05;7.5008312500000000e+05;7.5008320634437609e+05;7.5008320631941478e+05;7.5008300000000000e+05;7.5008320634437585e+05;7.5008312500000000e+05
3;3000000;7.4940525968318863e+05;7.4940531250000000e+05;7.4940525968318933e+05;7.4940525970012159e+05;7.4940537500000000e+05;7.4940525968318980e+05;7.4940525000000000e+05
4;3000000;7.5023097489911783e+05;7.5023131250000000e+05;7.5023097489911783e+05;7.5023097487660183e+05;7.5023125000000000e+05;7.5023097489911772e+05;7.5023100000000000e+05
5;3000000;7.5023659822574211e+05;7.5023706250000000e+05;7.5023659822574107e+05;7.5023659822869406e+05;7.5023712500000000e+05;7.5023659822574258e+05;7.5023662500000000e+05
6;3000000;7.5024883998958510e+05;7.5024975000000000e+05;7.5024883998958534e+05;7.5024883997248486e+05;7.5024975000000000e+05;7.5024883998958569e+05;7.5024875000000000e+05
7;3000000;7.4986708509783156e+05;7.4986731250000000e+05;7.4986708509783156e+05;7.4986708509671804e+05;7.4986750000000000e+05;7.4986708509783307e+05;7.4986706250000000e+05
8;3000000;7.4947464603053767e+05;7.4947587500000000e+05;7.4947464603053697e+05;7.4947464604195673e+05;7.4947600000000000e+05;7.4947464603053674e+05;7.4947468750000000e+05
