Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;1.0595808899095016e-06;1.2733707115033866e-15;6.8728422650537186e-08;3.5063089683675190e-07;1.3041827279200557e-15;5.9847254796171137e-07
3000000;0.0000000000000000e+00;1.2646438183360839e-06;1.0356425268581608e-15;4.2805650226085197e-08;6.1457348825062114e-07;1.5759976825682424e-15;1.7900188285516954e-07
5000000;0.0000000000000000e+00;6.7628983640312391e-07;1.2436197632986782e-15;6.6803153864217782e-08;4.5411931257609674e-07;1.2004879886810919e-15;1.8399107254954528e-07
7000000;0.0000000000000000e+00;6.3018786308422984e-07;1.6407187354439707e-15;2.6975982410098033e-08;3.8699317446332922e-07;1.0598392202285127e-15;2.5232492456850961e-07
9000000;0.0000000000000000e+00;7.5956235012619500e-07;9.6953929497658040e-16;3.8873843210531032e-08;9.7467508216133393e-07;7.2718880064538122e-16;2.3201736031927434e-07
11000000;0.0000000000000000e+00;5.9163256439211563e-07;1.3594042263646329e-15;3.2939708470115054e-08;8.5179477188380691e-07;1.0573772441236595e-15;1.2573427860636885e-07
13000000;0.0000000000000000e+00;4.2089733681413381e-07;5.9001135361772622e-16;6.6457922520241304e-08;4.5846189940014572e-07;1.7492423975762864e-15;2.2779843604961599e-07
15000000;0.0000000000000000e+00;8.4235202953067008e-07;1.0182751807552548e-15;6.6897310632475167e-08;8.8793222305130701e-07;1.4830314121126599e-15;1.5908110828615686e-07
17000000;0.0000000000000000e+00;7.0732587556503211e-07;6.1529935429070881e-16;4.7849383432664271e-08;8.6508046999799367e-07;1.3430734997378036e-15;3.0720760283150524e-07
19000000;0.0000000000000000e+00;6.9854235052224617e-07;1.3848617456508531e-15;6.4303974322219052e-08;6.0604694449887385e-07;1.1644217158386477e-15;2.2419054659518074e-07
21000000;0.0000000000000000e+00;6.6877436252144483e-07;1.5667118474434099e-15;5.6621633223669917e-08;7.1339973697904517e-07;1.0076072687253989e-15;3.1976138038360108e-07
23000000;0.0000000000000000e+00;9.5234314773330003e-07;1.1077211294517787e-15;6.7676124141797990e-08;1.1174275293340570e-06;1.8701462905995798e-15;4.3028503540246809e-07
25000000;0.0000000000000000e+00;1.7569130599440728e-06;1.4433453446853555e-15;5.2902839007732397e-08;1.3160043646817488e-06;1.4597583415092489e-15;4.4563223854395960e-07
27000000;0.0000000000000000e+00;4.8382901219400901e-07;1.3132361415755228e-15;5.5978233439720907e-08;3.8631908394854941e-07;5.4916655706443345e-16;4.2578918918429216e-07
