Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;4.3007999658584595e-02;4.1983999311923981e-02;4.5056000351905823e-02;4.8128001391887665e-02;4.3007999658584595e-02;2.1503999829292297e-02;1.8432000651955605e-02;0.0000000000000000e+00;1.4458221130422063e-07;1.1641484389543291e-16;1.9582724479263218e-08;2.0708195471669932e-07;0.0000000000000000e+00;1.9582724479263218e-08
3000000;5.9392001479864120e-02;5.0175998359918594e-02;6.3487999141216278e-02;6.0416001826524734e-02;5.5296000093221664e-02;4.9152001738548279e-02;2.3552000522613525e-02;0.0000000000000000e+00;2.7549186293552319e-07;3.1037761083742374e-16;2.5542796443520047e-08;2.7549186293552319e-07;4.0349089408865086e-15;5.7773559053814333e-08
5000000;7.6800003647804260e-02;6.5535999834537506e-02;8.0895997583866119e-02;7.5776003301143646e-02;6.9632001221179962e-02;7.0656001567840576e-02;4.4032000005245209e-02;0.0000000000000000e+00;9.8898677688769124e-07;0.0000000000000000e+00;1.1100141765681579e-08;8.8897808502235394e-07;5.5884211435171188e-16;1.1100141765681579e-08
7000000;9.1136001050472260e-02;7.2704002261161804e-02;9.6256002783775330e-02;8.2943998277187347e-02;7.6800003647804260e-02;9.4208002090454102e-02;5.5296000093221664e-02;0.0000000000000000e+00;3.8660647824037358e-07;1.3303497924567235e-16;2.9493425062747620e-08;5.2945169951142398e-07;1.3303497924567235e-16;2.9493425062747620e-08
9000000;1.1161600053310394e-01;8.3967998623847961e-02;1.1366400122642517e-01;9.3184001743793488e-02;8.8064000010490417e-02;1.1673600226640701e-01;6.6560000181198120e-02;0.0000000000000000e+00;1.2934720631662378e-07;4.1389142851495879e-16;1.8244071968719418e-08;1.2934720631662378e-07;1.8625114283173144e-15;1.8244071968719418e-08
11000000;1.3209599256515503e-01;8.7039999663829803e-02;1.3312000036239624e-01;9.7280003130435944e-02;9.0112000703811646e-02;1.3823999464511871e-01;7.7823996543884277e-02;0.0000000000000000e+00;1.2360825103007075e-06;3.3864004711832879e-16;3.6559426252273457e-08;1.3269855057687777e-06;1.8625202591508083e-15;3.6559426252273457e-08
13000000;1.5155200660228729e-01;8.7039999663829803e-02;1.5462400019168854e-01;9.3184001743793488e-02;8.8064000010490417e-02;1.6076800227165222e-01;9.0112000703811646e-02;0.0000000000000000e+00;6.5316169294426990e-08;4.2988884480188752e-16;1.1615436094711608e-08;3.7304259085098143e-07;2.8659256320125837e-16;1.1615436094711608e-08
15000000;1.7203199863433838e-01;9.4208002090454102e-02;1.7407999932765961e-01;1.0035199671983719e-01;9.6256002783775330e-02;1.8329599499702454e-01;1.0137599706649780e-01;0.0000000000000000e+00;3.3595003623753092e-07;1.2418984653761248e-16;2.5804553785906320e-09;4.6929786858110700e-07;6.2094923268806237e-16;6.4093460793197417e-08
17000000;1.9251200556755066e-01;1.0649599879980087e-01;1.9660800695419312e-01;1.1366400122642517e-01;1.0854399949312210e-01;2.0479999482631683e-01;1.1264000087976456e-01;0.0000000000000000e+00;4.6955882827319334e-07;2.1912301991182623e-16;1.0042738878319063e-09;4.6955882827319334e-07;4.3824603982365246e-16;1.0042738878319063e-09
19000000;2.1503999829292297e-01;1.1878400295972824e-01;2.1811200678348541e-01;1.2595200538635254e-01;1.2083200365304947e-01;2.2630399465560913e-01;1.2492799758911133e-01;0.0000000000000000e+00;1.3065157335370001e-07;7.8417908872782899e-16;2.5400837719540375e-08;2.3590230898785961e-07;1.9604477218195725e-15;7.9849897914619242e-08
