Num rows;Res norm IR fp64;Res norm IR fp32;Res norm IR Acc<fp64, fp32>;Res norm CUBLAS IR fp64;Res norm CUBLAS IR fp32
+0;+1.0954451150103323e+02;+1.0954451150103323e+02;+1.0954451150103323e+02;+1.0954451150103323e+02;+1.0954451150103323e+02
+1;+2.2324661621990610e-09;+1.1580632638950039e+00;+1.0683197497555794e-01;+2.2396782384871324e-09;+1.1043059892650340e+00
+2;+3.9311284555179990e-12;+8.8855825487772040e-05;+1.2593359828847806e-06;+3.9541507733593342e-12;+1.2954137328133499e-04
+3;+3.9438135324926771e-12;+6.2098796384887258e-09;+1.2243326086719024e-11;+4.0014108652095970e-12;+1.0877518597239019e-08
+4;+3.9577544312596783e-12;+3.9872884496856164e-12;+3.9437467236103892e-12;+3.9830807595795327e-12;+3.9901381648462986e-12
+5;+3.9463201480400910e-12;+3.9988955799553124e-12;+3.9856369020228595e-12;+3.9383569789518591e-12;+3.9818939485005630e-12
+6;+3.9399251318134820e-12;+3.9487286818604691e-12;+3.9966331442813845e-12;+3.9835785345720515e-12;+3.9364309043896772e-12
+7;+3.9776043956465214e-12;+3.9462492836167062e-12;+3.9616374788669072e-12;+3.9601624848274616e-12;+3.9530352004271394e-12
+8;+4.0363423413708073e-12;+3.9593202809675769e-12;+3.9779136724456344e-12;+3.9560824781837330e-12;+3.9851589812020130e-12
+9;+3.9675311761835267e-12;+3.9685420936906213e-12;+3.9938822804015436e-12;+3.9585177544997340e-12;+4.0297000422665302e-12
