Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;8.4525762409514107e-07;9.2247810489116116e-16;6.8728422675553894e-08;1.6279869469610344e-08;1.0465752287820438e-03;8.4219985472520045e-07;1.2866036121076835e-15;5.9847254912021570e-07
3000000;0.0000000000000000e+00;9.7484804150915729e-07;9.5968803771693535e-16;4.2805647825052200e-08;1.2225603662347972e-08;1.2073297793812143e-03;5.9482958612895523e-07;1.4254874104048508e-15;1.7900188192286611e-07
5000000;0.0000000000000000e+00;6.8128790185409020e-07;9.1535291420102121e-16;6.6803153908345631e-08;1.7075289759966962e-08;8.8097090449093995e-04;5.7748403632782280e-07;1.2302479071975316e-15;1.8399107259462408e-07
7000000;0.0000000000000000e+00;5.7606304305682613e-07;1.2313616194200132e-15;2.6975982035482929e-08;1.6431207511463044e-08;7.4634207312461866e-04;6.0863342475089523e-07;2.1377607401355879e-15;2.5232492460339196e-07
9000000;0.0000000000000000e+00;7.1050974511649509e-07;1.0787908808502747e-15;3.8873842976803560e-08;1.3863919501571001e-08;1.6389723772854731e-03;6.4071670738143101e-07;1.0579689389085836e-15;2.3201736011984716e-07
11000000;0.0000000000000000e+00;5.8975682790917069e-07;7.9517369996916755e-16;3.2939707961831308e-08;1.7242396890458722e-08;9.9623168368453258e-04;3.6861293705547947e-07;1.4593123639247560e-15;1.2573427808681167e-07
13000000;0.0000000000000000e+00;7.0077141293252216e-07;5.6164301343761309e-16;6.6457923320277792e-08;1.6809949070221016e-08;9.7544148001687267e-04;5.1897802107793394e-07;2.4350605583131997e-15;2.2779843584194337e-07
15000000;0.0000000000000000e+00;7.6068551305322262e-07;1.9807837854572793e-15;6.6897308029197119e-08;1.3609267111869728e-08;1.0133436116126196e-03;6.9963596147257275e-07;1.5494130229499133e-15;1.5908110876894939e-07
17000000;0.0000000000000000e+00;7.0642880164541211e-07;2.1548401643881915e-15;4.7849381779755383e-08;1.3675131157490838e-08;1.1035736274445428e-03;6.2671795961403811e-07;1.7894879331351650e-15;3.0720760546068497e-07
19000000;0.0000000000000000e+00;5.4107604456818051e-07;6.2948436985904488e-16;6.4303972628965793e-08;1.5878179399938120e-08;1.2233200849754526e-03;8.7141425746498888e-07;1.7486659447994511e-15;2.2419054537664057e-07
21000000;0.0000000000000000e+00;8.8930707227295577e-07;9.3676035923350902e-16;5.6621634882141409e-08;1.4902813029994963e-08;8.3901999669913261e-04;6.7602077524690041e-07;8.7197774481657893e-16;3.1976138179946853e-07
23000000;0.0000000000000000e+00;6.8661787305786342e-07;1.1312434822550764e-15;6.7676122010388524e-08;1.5047776319647925e-08;1.1743257801017039e-03;5.4604764170692699e-07;1.4616141257069031e-15;4.3028503602452506e-07
25000000;0.0000000000000000e+00;1.1354895455799686e-06;2.4646516886302085e-15;5.2902840280323379e-08;1.3612925318826255e-08;9.0101206319980072e-04;1.3725263592295768e-06;1.5614906480983058e-15;4.4563224031061437e-07
27000000;0.0000000000000000e+00;9.7083551097298817e-07;9.7127064168480907e-16;5.5978234583873087e-08;2.1032711195143134e-08;7.5603797077747727e-04;5.1614475423713582e-07;1.0382294459366830e-15;4.2578919215947395e-07
29000000;0.0000000000000000e+00;8.2517977201188583e-07;5.4926332691578930e-16;4.7562344411987498e-08;1.1075912017898745e-08;6.0043339049143177e-04;1.3477973646817417e-06;1.5296891053904431e-15;3.0824139377958491e-07
31000000;0.0000000000000000e+00;1.9915268243065706e-07;1.6594497394930772e-15;5.2097192362492873e-08;1.3249719792248232e-08;9.7905659817746314e-04;6.9605794046760802e-07;2.3435850409296020e-15;4.4734884676165180e-07
33000000;0.0000000000000000e+00;7.2951636363091929e-07;1.0044628613233919e-15;4.8492935264874480e-08;1.5267211834187605e-08;7.1684358360752038e-04;9.5033734871693693e-07;1.9016771850967470e-15;4.1950162698654090e-07
35000000;0.0000000000000000e+00;7.5187739315924135e-07;1.4003895480361217e-15;3.6409727060271366e-08;1.4169279127471362e-08;8.2108507301874127e-04;7.4994153267523265e-07;9.2705246658908505e-16;3.4346343848282192e-07
37000000;0.0000000000000000e+00;6.5035057841897566e-07;1.3891112727896772e-15;4.8837105038121710e-08;7.9846301627195021e-09;9.1645696242538240e-04;8.0020246792259224e-07;1.7960904320651813e-15;4.3962378434493869e-07
39000000;0.0000000000000000e+00;8.8058052357613567e-07;1.1038387062958713e-15;5.5183848170861770e-08;2.0735349540387964e-08;8.4375382644415523e-04;8.9589984855200835e-07;1.3386838733619368e-15;3.8811021376551966e-07
41000000;0.0000000000000000e+00;5.4115488760003384e-07;8.4015524338108781e-16;4.9498734035915170e-08;1.7673427786343443e-08;1.1244982210012527e-03;1.0871217184868040e-06;1.5780474344189059e-15;4.1858889291485191e-07
43000000;0.0000000000000000e+00;4.6684237710540945e-07;1.0416103121152255e-15;2.6533184098805847e-08;1.5951721029293857e-08;1.1251885991227792e-03;4.4528596333475463e-07;1.3659992169232498e-15;4.3251006458498432e-07
45000000;0.0000000000000000e+00;8.9076321317571749e-07;7.3093983305580480e-16;4.0068143304791513e-08;1.5726051288546331e-08;1.0508362948613249e-03;6.8213381604008526e-07;1.7892660072972899e-15;4.6642374258757298e-07
47000000;0.0000000000000000e+00;1.1816193233094931e-06;7.2032363460309565e-16;2.4849414674129706e-08;1.9052710548393779e-08;6.4811557355465386e-04;7.5093640457216293e-07;9.7892687948682398e-16;4.5724310576738191e-07
49000000;0.0000000000000000e+00;5.4210264502751166e-07;1.3930206822674716e-15;4.1606252949923015e-08;1.8975044264376245e-08;1.1204896601321496e-03;5.5311767506694239e-07;1.6604015552146580e-15;2.7110787734086398e-07
51000000;0.0000000000000000e+00;8.6739376391684146e-07;2.6690208578689301e-15;2.4053441815896706e-08;1.6985489484598795e-08;7.0219982078729612e-04;7.7754688046139842e-07;2.3193668595258932e-15;6.1419597403337647e-07
53000000;0.0000000000000000e+00;1.6432531447074087e-06;1.6189612869649152e-15;3.9367994783671075e-08;1.3886882662917360e-08;7.7800090764188943e-04;1.1322506305662447e-06;2.7493334523690663e-15;5.1175690416125492e-07
55000000;0.0000000000000000e+00;1.2436314001021681e-06;1.4178709350013124e-15;3.4268043630035663e-08;2.1372949536738887e-08;9.1429650396920978e-04;9.4421064145810967e-07;3.3847559177488282e-15;8.1471836766680301e-07
57000000;0.0000000000000000e+00;2.0460015968430602e-06;1.8638427080642137e-15;1.7505936455866747e-08;1.6912436920858366e-08;1.0948863677434639e-03;1.5563338990465411e-06;1.7563809459764305e-15;4.3858261402338145e-07
59000000;0.0000000000000000e+00;2.2136502240505831e-06;2.6260972798801203e-15;3.8689849437896359e-08;2.2926174112869052e-08;8.7155169644364888e-04;2.2645520080196908e-06;4.2122025732802111e-15;4.1977233087782269e-07
61000000;0.0000000000000000e+00;1.8788734482665773e-06;2.3897836568963199e-15;2.0269985369252169e-08;2.3747797655700328e-08;7.0647300692666692e-04;1.9618203008975279e-06;3.1837628001938663e-15;6.9529881726337958e-07
63000000;0.0000000000000000e+00;1.9856093623153029e-06;1.2550138112505180e-15;4.5215507606570945e-08;2.4560872424232712e-08;1.0440127317293871e-03;1.1424297976846290e-06;2.9662831479777069e-15;7.7439567295399555e-07
65000000;0.0000000000000000e+00;1.4926480504518636e-06;1.7792793614442269e-15;2.3099771069795685e-08;1.3585649272680953e-08;8.2495307213752383e-04;1.8059777795697945e-06;1.8191644567765918e-15;5.8174346607928175e-07
67000000;0.0000000000000000e+00;1.5932015049575995e-06;1.6434774319540496e-15;1.4442088784014145e-08;1.2986073499382086e-08;1.2025256675940183e-03;1.7847898582385716e-06;3.4762541262043607e-15;4.9725826200356081e-07
69000000;0.0000000000000000e+00;1.8686108506816194e-06;1.8955089390479144e-15;2.8990245454160146e-08;1.3794857259068421e-08;1.1675934932676084e-03;2.1458722555805474e-06;2.3867688529507541e-15;5.5592179045473504e-07
71000000;0.0000000000000000e+00;2.5737864759264791e-06;2.2596252296908565e-15;3.3135613759961473e-08;1.7174202455375815e-08;1.6292557535672388e-03;1.2143493255205645e-06;2.4664407168182437e-15;5.7029244458068066e-07
73000000;0.0000000000000000e+00;2.3587284233888502e-06;1.5198309015741366e-15;2.5173344807144201e-08;1.6653310183257345e-08;1.0234209386545637e-03;1.7670787742309265e-06;3.1348932380225617e-15;5.5574121870957427e-07
75000000;0.0000000000000000e+00;4.7846826269512597e-07;7.5610904155923500e-16;6.9068274505960529e-09;6.0348464096564657e-09;1.5069775207428725e-03;7.0331862663865174e-07;2.3833429716433287e-15;4.0659339873163660e-07
77000000;0.0000000000000000e+00;7.6776531463705734e-07;1.7052526948778608e-15;3.8260749402380484e-08;1.5384771782695565e-08;1.3112778772603252e-03;6.4693717127816345e-07;1.4983316191163564e-15;5.1024906266544072e-07
79000000;0.0000000000000000e+00;4.8618857865376953e-07;2.6017271403521155e-15;1.6353492633311975e-08;7.6892377076379408e-09;9.5220784598194688e-04;6.0296333851521052e-07;2.2663599434782250e-15;3.2979188106201000e-07
81000000;0.0000000000000000e+00;1.2020705964469475e-06;9.1214237300919693e-16;2.9620920868524554e-08;1.2550199450686012e-08;9.2698776612595423e-04;1.0782940109496641e-06;1.2860764819493077e-15;3.5202628110796210e-07
83000000;0.0000000000000000e+00;9.6402897694241275e-07;1.0371681882724622e-15;3.3791490011416726e-08;1.5203142251736464e-08;9.2111444741419142e-04;8.4678999310007747e-07;1.8364224917515630e-15;2.5329467843872955e-07
85000000;0.0000000000000000e+00;5.5978968092958982e-07;7.8906484842454958e-16;2.4868746588913395e-08;1.1350612508361238e-08;8.5439066685790712e-04;1.5222747823556022e-07;1.5247350796453969e-15;3.2848992134037085e-07
