Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp64, posit32>;DOT Acc<fp64, posit16>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;6.1439998447895050e-02;5.8368001133203506e-02;6.3487999141216278e-02;6.7584000527858734e-02;7.4752002954483032e-02;7.7823996543884277e-02;6.1439998447895050e-02;2.5599999353289604e-02;2.2528000175952911e-02;0.0000000000000000e+00;1.4007936045165290e-07;1.5745993486293180e-15;1.0024500708079361e-08;6.2323567598673296e-09;6.4597246384562161e-04;4.6521650981058673e-07;9.6898421454111887e-16;1.4007936045165290e-07
3000000;7.9871997237205505e-02;7.1680001914501190e-02;8.6015999317169189e-02;8.4991998970508575e-02;1.0751999914646149e-01;1.1673600226640701e-01;7.8847996890544891e-02;5.4271999746561050e-02;2.9696000739932060e-02;0.0000000000000000e+00;6.5401481231153560e-08;9.7344900617220811e-16;3.9121809914679831e-08;1.3139835658236865e-08;1.6069019562661279e-03;1.6992477237698694e-07;1.9468980123444159e-16;3.9121809914679831e-08
5000000;9.7280003130435944e-02;8.7039999663829803e-02;1.0444799810647964e-01;1.0239999741315842e-01;1.4847999811172485e-01;1.5360000729560852e-01;9.5232002437114716e-02;7.6800003647804260e-02;5.0175998359918594e-02;0.0000000000000000e+00;5.2447478889712832e-07;2.1605874537183305e-16;5.5503489469630547e-08;2.4943383670453446e-09;3.5129533754511290e-04;6.4047044457048017e-07;2.1605874537183305e-16;2.9248347755042482e-07
7000000;1.0956799983978271e-01;9.3184001743793488e-02;1.1776000261306763e-01;1.0854399949312210e-01;1.7715199291706085e-01;1.9148799777030945e-01;1.0137599706649780e-01;9.8304003477096558e-02;6.1439998447895050e-02;0.0000000000000000e+00;5.7364002591873315e-07;8.2282699293209269e-16;1.5362478232827108e-08;1.5362478232827108e-08;3.7395284857333694e-06;1.5362478232827108e-08;1.6456539858641854e-15;6.0436498238438738e-07
9000000;1.2902399897575378e-01;1.0444799810647964e-01;1.3516800105571747e-01;1.2083200365304947e-01;2.1094399690628052e-01;2.4063999950885773e-01;1.1264000087976456e-01;1.2083200365304947e-01;7.3728002607822418e-02;0.0000000000000000e+00;7.3644027521621966e-06;4.9459605133036034e-14;1.0936905955756929e-07;5.3869198526034831e-08;2.6386914856145974e-03;1.5054738466323102e-05;2.8243326428427681e-14;1.3416376789633563e-06
11000000;1.4131200313568115e-01;1.1161600053310394e-01;1.4745600521564484e-01;1.2800000607967377e-01;2.4473600089550018e-01;2.8057599067687988e-01;1.1878400295972824e-01;1.4336000382900238e-01;8.6015999317169189e-02;0.0000000000000000e+00;3.8409493209908034e-06;6.7440934480374628e-15;5.1836716275701374e-08;4.1311403484826093e-08;2.5681439551875178e-03;1.4638083256103394e-06;7.9988085081374558e-15;1.8848208372453507e-06
13000000;1.8329599499702454e-01;1.0547199845314026e-01;1.6588799655437469e-01;1.2185599654912949e-01;2.7443200349807739e-01;3.1539198756217957e-01;1.1264000087976456e-01;1.6588799655437469e-01;9.8304003477096558e-02;0.0000000000000000e+00;1.6289145959446625e-06;1.8764507294027378e-15;6.1829551295197802e-08;5.8622282720026385e-09;5.0420375088769322e-04;1.1811760117591011e-06;6.0463412391865993e-15;5.0956813548075916e-07
15000000;2.1811200678348541e-01;1.0444799810647964e-01;1.8943999707698822e-01;1.2390399724245071e-01;3.0617600679397583e-01;3.5430398583412170e-01;1.1161600053310394e-01;1.8841600418090820e-01;1.1161600053310394e-01;0.0000000000000000e+00;2.3287115535177444e-06;9.2017265355610572e-15;1.5804427781294578e-07;2.7055735313518286e-08;1.1361655354285621e-03;1.4886688278941427e-06;6.1344843570407053e-15;2.3287115535177444e-06
17000000;2.3552000522613525e-01;1.1776000261306763e-01;2.0992000401020050e-01;1.3619199395179749e-01;3.3587199449539185e-01;3.9116799831390381e-01;1.2390399724245071e-01;2.0992000401020050e-01;1.2287999689579010e-01;0.0000000000000000e+00;2.3255531556916254e-05;1.4792570116706150e-14;5.7862740724089940e-07;1.0021170788065983e-07;3.7440857917612432e-03;4.6123801986335704e-05;4.8655080022419023e-14;8.6160111564929236e-06
19000000;2.5292798876762390e-01;1.3107199966907501e-01;2.3142400383949280e-01;1.4745600521564484e-01;3.6659198999404907e-01;4.3110400438308716e-01;1.3619199395179749e-01;2.3347200453281403e-01;1.3619199395179749e-01;0.0000000000000000e+00;1.3272823533701253e-06;4.8054339409321841e-15;1.8751230503274304e-08;4.6793596833970123e-08;2.0830057222745888e-03;3.5525962647162417e-07;4.1786382095062468e-16;2.0378016063133737e-06
21000000;2.7238398790359497e-01;1.4233599603176117e-01;2.5395199656486511e-01;1.5667200088500977e-01;3.9731198549270630e-01;4.6796798706054688e-01;1.5052799880504608e-01;2.5702399015426636e-01;1.4950400590896606e-01;0.0000000000000000e+00;9.1494526112302474e-08;8.5252589575362054e-16;2.6109332518464879e-08;2.6109332518464879e-08;5.0414595194100628e-04;1.0722724300198663e-06;1.3396835504699750e-15;4.1842049408149045e-07
23000000;2.9388800263404846e-01;1.5462400019168854e-01;2.7647998929023743e-01;1.7203199863433838e-01;4.2905598878860474e-01;5.0687998533248901e-01;1.6179199516773224e-01;2.7852800488471985e-01;1.6179199516773224e-01;0.0000000000000000e+00;1.2098612541421718e-06;2.2791863762083063e-15;1.2500660230829571e-07;4.1851879748012739e-08;1.2483101561429914e-03;1.2373964826836853e-06;4.3511739909431307e-15;1.3211002421797107e-06
25000000;2.7750399708747864e-01;1.4745600521564484e-01;2.7852800488471985e-01;1.5257599949836731e-01;2.8364801406860352e-01;3.2870399951934814e-01;1.4643199741840363e-01;2.8876799345016479e-01;1.5462400019168854e-01;0.0000000000000000e+00;4.6762569459701159e-05;5.5675927399346644e-14;1.1258375589485746e-06;9.7684928066377361e-08;1.0163186254065174e-03;3.1606678007644977e-05;4.1560903551624957e-14;1.6029789570809462e-05
27000000;2.9695999622344971e-01;1.5769599378108978e-01;2.9900801181793213e-01;1.6076800227165222e-01;2.9388800263404846e-01;3.4099200367927551e-01;1.5462400019168854e-01;3.1027200818061829e-01;1.6588799655437469e-01;0.0000000000000000e+00;2.6849001623358531e-06;4.0889080877619038e-15;5.0641185342762238e-08;3.1679407688271857e-08;1.9319587968576735e-03;1.0469667217376924e-06;2.0444540438809518e-16;1.4860098845698741e-06
29000000;3.1641599535942078e-01;1.6793599724769592e-01;3.1846401095390320e-01;1.7100800573825836e-01;3.1129598617553711e-01;3.6044800281524658e-01;1.6486400365829468e-01;3.3177599310874939e-01;1.7715199291706085e-01;0.0000000000000000e+00;5.4105412546502831e-07;2.4732158154192914e-15;2.4688380310647693e-08;1.2194887200379494e-08;4.9531759429278447e-04;4.6728759044297392e-07;2.1984140581504815e-15;3.4414429479962416e-07
31000000;3.3792001008987427e-01;1.7715199291706085e-01;3.4099200367927551e-01;1.8124799430370331e-01;3.2665601372718811e-01;3.7785598635673523e-01;1.7715199291706085e-01;3.5328000783920288e-01;1.8841600418090820e-01;0.0000000000000000e+00;2.6326837134185294e-07;6.2110796750955687e-16;7.0186429625469217e-08;1.3177270616361321e-08;1.3044716859147323e-03;3.4954694320047883e-09;1.2422159350191137e-15;3.9665029172878185e-07
33000000;3.5942399501800537e-01;1.8943999707698822e-01;3.6249598860740662e-01;1.9353599846363068e-01;3.4508800506591797e-01;4.0038400888442993e-01;1.8943999707698822e-01;3.7580800056457520e-01;2.0275199413299561e-01;0.0000000000000000e+00;4.6424846089601882e-08;6.8446136106388102e-16;4.6424846089601882e-08;1.4819719767585970e-08;5.8275686385091000e-04;1.4819719767585970e-08;3.4223068053194051e-16;3.2104254905352523e-07
35000000;3.8092800974845886e-01;2.0172800123691559e-01;3.8400000333786011e-01;2.0582400262355804e-01;3.6351999640464783e-01;4.2291200160980225e-01;1.9968000054359436e-01;3.9936000108718872e-01;2.1299199759960175e-01;0.0000000000000000e+00;9.8343016595711295e-07;3.5497658502164380e-16;3.0547151261035630e-08;1.7096999473768232e-08;8.2973998204608304e-04;2.8464928851332289e-07;1.6565573967676712e-15;2.8708052030432346e-07
