Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
+100;+0.0000000000000000e+00;+9.2570843874610211e-08;+0.0000000000000000e+00;+3.6483328215057319e-08;+9.2570843874610211e-08;+2.0090766148674963e-16;+8.2893287220669323e-08
+200;+0.0000000000000000e+00;+8.3398472451086915e-08;+0.0000000000000000e+00;+3.9372237338897700e-08;+8.3398472451086915e-08;+2.0179460303549898e-16;+8.3709237117297756e-08
+300;+0.0000000000000000e+00;+8.9705128659148423e-08;+0.0000000000000000e+00;+4.0520617644945911e-08;+8.9705128659148423e-08;+1.8227412985672208e-16;+9.3762444108170950e-08
+400;+0.0000000000000000e+00;+9.2128239715206453e-08;+0.0000000000000000e+00;+3.9725784711967368e-08;+9.2128239715206453e-08;+2.0215287893182964e-16;+9.0564402585186997e-08
+500;+0.0000000000000000e+00;+9.9459960706613154e-08;+0.0000000000000000e+00;+4.2425046785898198e-08;+9.9459960706613154e-08;+2.2834029732394698e-16;+1.0446501007612298e-07
+600;+0.0000000000000000e+00;+9.2499045645288669e-08;+0.0000000000000000e+00;+4.0865831763209772e-08;+9.2499045645288669e-08;+2.3186921759328137e-16;+1.0564982483853915e-07
+700;+0.0000000000000000e+00;+9.5733138535686279e-08;+0.0000000000000000e+00;+4.1042086156535797e-08;+9.5733138535686279e-08;+2.4323754018412066e-16;+1.1275315607663389e-07
+800;+0.0000000000000000e+00;+9.2280009066367198e-08;+0.0000000000000000e+00;+3.8206759912140372e-08;+9.2280009066367198e-08;+2.8472904276386985e-16;+1.1237322006104347e-07
+900;+0.0000000000000000e+00;+9.3562848018795231e-08;+0.0000000000000000e+00;+4.0458839694462451e-08;+9.3562848018795231e-08;+3.0991944033586302e-16;+1.2496955307049970e-07
+1000;+0.0000000000000000e+00;+9.3114284489604122e-08;+0.0000000000000000e+00;+3.9751566659511756e-08;+9.3114284489604122e-08;+3.0856895064044998e-16;+1.2930070029813513e-07
+1100;+0.0000000000000000e+00;+9.4855241105162593e-08;+0.0000000000000000e+00;+3.9941402065923994e-08;+9.4855241105162593e-08;+3.1380948078830329e-16;+1.2602574174341263e-07
+1200;+0.0000000000000000e+00;+9.8274307078574613e-08;+0.0000000000000000e+00;+4.0252662971655999e-08;+9.8274307078574613e-08;+3.3449413566380464e-16;+1.3653574064678801e-07
+1300;+0.0000000000000000e+00;+9.8483810925145130e-08;+0.0000000000000000e+00;+4.0616830692996430e-08;+9.8483810925145130e-08;+3.3852275233254679e-16;+1.8456717869640571e-07
+1400;+0.0000000000000000e+00;+9.6553835075643102e-08;+0.0000000000000000e+00;+4.1683404069828350e-08;+9.6553835075643102e-08;+3.6530181992771017e-16;+1.9387910604474579e-07
+1500;+0.0000000000000000e+00;+9.7756015435989583e-08;+0.0000000000000000e+00;+4.0430329908748603e-08;+9.7756015435989583e-08;+3.0027520225009468e-16;+1.4265234200982470e-07
+1600;+0.0000000000000000e+00;+9.5661431506695189e-08;+0.0000000000000000e+00;+4.0346531728043641e-08;+9.5661431506695189e-08;+2.9832789618046614e-16;+1.4362508321889227e-07
+1700;+0.0000000000000000e+00;+9.6254956569216196e-08;+0.0000000000000000e+00;+3.9185327628958053e-08;+9.6254956569216196e-08;+3.0131396153635171e-16;+1.4538922671993690e-07
+1800;+0.0000000000000000e+00;+9.7983764683563916e-08;+0.0000000000000000e+00;+3.8850942835462685e-08;+9.7983764683563916e-08;+3.2338171413795462e-16;+1.4701265411465958e-07
+1900;+0.0000000000000000e+00;+9.6235764707327019e-08;+0.0000000000000000e+00;+3.9431217398103669e-08;+9.6235764707327019e-08;+3.1651818678764188e-16;+1.9934665613588522e-07
+2000;+0.0000000000000000e+00;+9.6696460690536499e-08;+0.0000000000000000e+00;+3.9665678328577933e-08;+9.6696460690536499e-08;+4.0973455795484055e-16;+2.0601517069240411e-07
+2100;+0.0000000000000000e+00;+9.7179425521194122e-08;+0.0000000000000000e+00;+3.9593558367523971e-08;+9.7179425521194122e-08;+4.1102687800479950e-16;+2.0836660611094173e-07
+2200;+0.0000000000000000e+00;+9.7050987466561264e-08;+0.0000000000000000e+00;+3.9236189484333193e-08;+9.7050987466561264e-08;+4.2092528187905236e-16;+2.1290513520206072e-07
+2300;+0.0000000000000000e+00;+9.6133454383231054e-08;+0.0000000000000000e+00;+3.8959555768294829e-08;+9.6133454383231054e-08;+4.3862556252816367e-16;+2.1693422349852470e-07
+2400;+0.0000000000000000e+00;+9.8278244157645206e-08;+0.0000000000000000e+00;+3.8482381365196554e-08;+9.8278244157645206e-08;+4.5036284441775790e-16;+2.2290301658155030e-07
